AirQualityIndex,Year,MonthNo,MonthName,Zone,Station,Value
aqi,2014,1,Jan,Northern Zone,Forest Knolls,0
aqi,2014,2,Feb,Northern Zone,Forest Knolls,0
aqi,2014,3,Mar,Northern Zone,Forest Knolls,0
aqi,2014,4,Apr,Northern Zone,Forest Knolls,0
aqi,2014,5,May,Northern Zone,Forest Knolls,0
aqi,2014,6,Jun,Northern Zone,Forest Knolls,0
aqi,2014,7,Jul,Northern Zone,Forest Knolls,0
aqi,2014,8,Aug,Northern Zone,Forest Knolls,0
aqi,2014,9,Sep,Northern Zone,Forest Knolls,0
aqi,2014,10,Oct,Northern Zone,Forest Knolls,0
aqi,2014,11,Nov,Northern Zone,Forest Knolls,0
aqi,2014,1,Jan,Northern Zone,Napa - Napa Valley College,0
aqi,2014,2,Feb,Northern Zone,Napa - Napa Valley College,0
aqi,2014,3,Mar,Northern Zone,Napa - Napa Valley College,0
aqi,2014,4,Apr,Northern Zone,Napa - Napa Valley College,0
aqi,2014,5,May,Northern Zone,Napa - Napa Valley College,0
aqi,2014,6,Jun,Northern Zone,Napa - Napa Valley College,0
aqi,2014,7,Jul,Northern Zone,Napa - Napa Valley College,0
aqi,2014,8,Aug,Northern Zone,Napa - Napa Valley College,0
aqi,2014,9,Sep,Northern Zone,Napa - Napa Valley College,0
aqi,2014,10,Oct,Northern Zone,Napa - Napa Valley College,0
aqi,2014,11,Nov,Northern Zone,Napa - Napa Valley College,0
aqi,2014,1,Jan,Northern Zone,Napa,88.0
aqi,2014,2,Feb,Northern Zone,Napa,59.0
aqi,2014,3,Mar,Northern Zone,Napa,61.0
aqi,2014,4,Apr,Northern Zone,Napa,58.0
aqi,2014,5,May,Northern Zone,Napa,69.0
aqi,2014,6,Jun,Northern Zone,Napa,67.0
aqi,2014,7,Jul,Northern Zone,Napa,56.0
aqi,2014,8,Aug,Northern Zone,Napa,65.0
aqi,2014,9,Sep,Northern Zone,Napa,75.0
aqi,2014,10,Oct,Northern Zone,Napa,53.0
aqi,2014,11,Nov,Northern Zone,Napa,70.0
aqi,2014,1,Jan,Northern Zone,San Rafael,107.0
aqi,2014,2,Feb,Northern Zone,San Rafael,61.0
aqi,2014,3,Mar,Northern Zone,San Rafael,57.0
aqi,2014,4,Apr,Northern Zone,San Rafael,63.0
aqi,2014,5,May,Northern Zone,San Rafael,64.0
aqi,2014,6,Jun,Northern Zone,San Rafael,58.0
aqi,2014,7,Jul,Northern Zone,San Rafael,51.0
aqi,2014,8,Aug,Northern Zone,San Rafael,64.0
aqi,2014,9,Sep,Northern Zone,San Rafael,76.0
aqi,2014,10,Oct,Northern Zone,San Rafael,46.0
aqi,2014,11,Nov,Northern Zone,San Rafael,82.0
aqi,2014,1,Jan,Northern Zone,Sebastopol,77.0
aqi,2014,2,Feb,Northern Zone,Sebastopol,39.0
aqi,2014,3,Mar,Northern Zone,Sebastopol,40.0
aqi,2014,4,Apr,Northern Zone,Sebastopol,45.0
aqi,2014,5,May,Northern Zone,Sebastopol,56.0
aqi,2014,6,Jun,Northern Zone,Sebastopol,68.0
aqi,2014,7,Jul,Northern Zone,Sebastopol,54.0
aqi,2014,8,Aug,Northern Zone,Sebastopol,55.0
aqi,2014,9,Sep,Northern Zone,Sebastopol,81.0
aqi,2014,10,Oct,Northern Zone,Sebastopol,40.0
aqi,2014,11,Nov,Northern Zone,Sebastopol,62.0
aqi,2014,1,Jan,Northern Zone,Vallejo,111.0
aqi,2014,2,Feb,Northern Zone,Vallejo,48.0
aqi,2014,3,Mar,Northern Zone,Vallejo,56.0
aqi,2014,4,Apr,Northern Zone,Vallejo,59.0
aqi,2014,5,May,Northern Zone,Vallejo,60.0
aqi,2014,6,Jun,Northern Zone,Vallejo,63.0
aqi,2014,7,Jul,Northern Zone,Vallejo,59.0
aqi,2014,8,Aug,Northern Zone,Vallejo,67.0
aqi,2014,9,Sep,Northern Zone,Vallejo,74.0
aqi,2014,10,Oct,Northern Zone,Vallejo,53.0
aqi,2014,11,Nov,Northern Zone,Vallejo,91.0
aqi,2014,1,Jan,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,2,Feb,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,3,Mar,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,4,Apr,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,5,May,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,6,Jun,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,7,Jul,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,8,Aug,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,9,Sep,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,10,Oct,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,11,Nov,Coast & Central Bay,Berkeley Aquatic Park,0
aqi,2014,1,Jan,Coast & Central Bay,Crockett - Kendall Ave.,0
aqi,2014,2,Feb,Coast & Central Bay,Crockett - Kendall Ave.,0
aqi,2014,3,Mar,Coast & Central Bay,Crockett - Kendall Ave.,0
