County,Year,MonthNo,Value
Alameda,2014,1,20.041935
Alameda,2014,2,8.014286
Alameda,2014,3,8.677419
Alameda,2014,4,10.053333
Alameda,2014,5,10.167742
Alameda,2014,6,11.793333
Alameda,2014,7,8.922581
Alameda,2014,8,7.941935
Alameda,2014,9,10.090000
Alameda,2014,10,9.393548
Alameda,2014,11,13.013333
Alameda,2014,12,9.277419
Alameda,2015,1,22.154839
Alameda,2015,2,12.085714
Alameda,2015,3,10.822581
Alameda,2015,4,9.330000
Alameda,2015,5,8.658065
Alameda,2015,6,10.686667
Alameda,2015,7,7.648387
Alameda,2015,8,11.958065
Alameda,2015,9,9.970000
Alameda,2015,10,9.590323
Alameda,2015,11,10.923333
Alameda,2015,12,10.522581
Alameda,2016,1,10.525806
Alameda,2016,2,11.886207
Alameda,2016,3,7.990323
Alameda,2016,4,9.586667
Alameda,2016,5,9.832258
Alameda,2016,6,10.400000
Alameda,2016,7,9.287097
Alameda,2016,8,8.787097
Alameda,2016,9,11.890000
Alameda,2016,10,6.993548
Alameda,2016,11,9.996667
Alameda,2016,12,11.922581
Alameda,2017,1,11.870968
Alameda,2017,2,8.689286
Alameda,2017,3,9.641935
Alameda,2017,4,9.793333
Alameda,2017,5,11.367742
Alameda,2017,6,11.956667
Alameda,2017,7,11.835484
Alameda,2017,8,13.954839
Alameda,2017,9,17.990000
Alameda,2017,10,21.212903
Alameda,2017,11,12.710000
Alameda,2017,12,21.896774
Alameda,2018,1,17.390323
Alameda,2018,2,13.085714
Alameda,2018,3,10.706452
Alameda,2018,4,12.266667
Alameda,2018,5,10.948387
Alameda,2018,6,13.933333
Alameda,2018,7,11.687097
Alameda,2018,8,19.067742
Alameda,2018,9,15.196667
Alameda,2018,10,12.625806
Alameda,2018,11,50.473333
Alameda,2018,12,11.635484
Alameda,2019,1,11.919355
Alameda,2019,2,6.303571
Alameda,2019,3,7.645161
Alameda,2019,4,10.350000
Alameda,2019,5,8.693548
Alameda,2019,6,10.566667
Alameda,2019,7,10.203226
Alameda,2019,8,8.945161
Alameda,2019,9,8.953333
Alameda,2019,10,11.777419
Alameda,2019,11,8.803333
Alameda,2019,12,0.000000
Butte,2014,1,21.903226
Butte,2014,2,11.496429
Butte,2014,3,6.141935
Butte,2014,4,6.953333
Butte,2014,5,7.212903
Butte,2014,6,9.810000
Butte,2014,7,12.719355
Butte,2014,8,12.012903
Butte,2014,9,13.480000
Butte,2014,10,11.377419
Butte,2014,11,14.470000
Butte,2014,12,10.745161
Butte,2015,1,23.374194
Butte,2015,2,12.382143
Butte,2015,3,6.332258
Butte,2015,4,5.580000
Butte,2015,5,7.606452
Butte,2015,6,8.410000
Butte,2015,7,8.319355
Butte,2015,8,12.848387
Butte,2015,9,11.543333
Butte,2015,10,9.061290
Butte,2015,11,16.910000
Butte,2015,12,14.435484
Butte,2016,1,11.500000
Butte,2016,2,11.586207
Butte,2016,3,6.338710
Butte,2016,4,6.363333
Butte,2016,5,7.603226
Butte,2016,6,10.090000
Butte,2016,7,11.545161
Butte,2016,8,14.712903
Butte,2016,9,18.390000
Butte,2016,10,11.361290
Butte,2016,11,17.790000
Butte,2016,12,23.006452
Butte,2017,1,12.819355
Butte,2017,2,12.575000
Butte,2017,3,9.774194
Butte,2017,4,9.483333
Butte,2017,5,9.841935
Butte,2017,6,10.546667
Butte,2017,7,13.141935
Butte,2017,8,17.574194
Butte,2017,9,18.133333
Butte,2017,10,17.209677
Butte,2017,11,15.193333
Butte,2017,12,25.758065
Butte,2018,1,16.441935
Butte,2018,2,13.146429
Butte,2018,3,7.561290
Butte,2018,4,8.153333
Butte,2018,5,9.822581
Butte,2018,6,10.863333
Butte,2018,7,19.070968
Butte,2018,8,31.612903
Butte,2018,9,14.743333
Butte,2018,10,13.935484
Butte,2018,11,88.953333
Butte,2018,12,13.767742
Butte,2019,1,15.209677
Butte,2019,2,8.307143
Butte,2019,3,7.929032
Butte,2019,4,9.220000
Butte,2019,5,8.967742
Butte,2019,6,8.873333
Butte,2019,7,10.193548
Butte,2019,8,9.638710
Butte,2019,9,8.310000
Butte,2019,10,9.664516
Butte,2019,11,14.086667
Butte,2019,12,0.000000
Calaveras,2014,1,11.725806
Calaveras,2014,2,9.600000
Calaveras,2014,3,6.958065
Calaveras,2014,4,8.020000
Calaveras,2014,5,7.077419
Calaveras,2014,6,8.256667
Calaveras,2014,7,7.248387
Calaveras,2014,8,9.348387
Calaveras,2014,9,6.590000
Calaveras,2014,10,6.103226
Calaveras,2014,11,5.516667
Calaveras,2014,12,5.416129
Calaveras,2015,1,11.080645
Calaveras,2015,2,6.464286
Calaveras,2015,3,5.141935
Calaveras,2015,4,4.810000
Calaveras,2015,5,5.319355
Calaveras,2015,6,5.390000
Calaveras,2015,7,4.890323
Calaveras,2015,8,6.996774
Calaveras,2015,9,31.250000
Calaveras,2015,10,6.351613
Calaveras,2015,11,8.820000
Calaveras,2015,12,8.812903
Calaveras,2016,1,7.851613
Calaveras,2016,2,9.420690
Calaveras,2016,3,7.074194
Calaveras,2016,4,5.826667
Calaveras,2016,5,6.087097
Calaveras,2016,6,6.393333
Calaveras,2016,7,7.045161
Calaveras,2016,8,8.503226
Calaveras,2016,9,9.610000
Calaveras,2016,10,5.345161
Calaveras,2016,11,5.200000
Calaveras,2016,12,13.241935
Calaveras,2017,1,10.232258
Calaveras,2017,2,10.000000
