dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,6.2,4.6,8.3,10.0,13.6,10.5,9.4,5.5,7.6,6.7,14.3, 
2,12.0,4.4,8.7,5.5,13.7,4.9,10.8,5.5,9.0,9.7,16.4, 
3,21.6,5.0,8.2,4.6,13.0,9.5,10.9,4.6,8.0,9.5,15.8, 
4,29.3,4.3,5.4,3.7,10.0,19.0,19.5,8.5,9.0,8.5,14.2, 
5,13.3,5.5,6.8,4.7,6.3,17.3,14.8,10.8,6.9,9.5,16.9, 
6,5.6,6.9,5.5,5.3,4.4,10.2,12.9,13.1,5.8,8.7,17.6, 
7,7.8,9.9,6.3,7.0,4.5,11.0,11.2,10.2,6.2,12.0,21.3, 
8,8.1,9.3,4.3,6.3,7.5,8.4,9.4,8.0,6.7,12.3,26.1, 
9,6.8,5.2,4.5,6.0,5.8,11.4,6.6,5.7,8.4,12.6,23.3, 
10,13.9,5.1,5.1,8.5,6.8,12.0,5.7,3.9,8.9,7.8,17.1, 
11,9.2,9.3,7.8,7.8,7.5,15.5,5.8,5.4,10.3,10.6,15.2, 
12,9.5,9.2,8.5,8.8,7.5,13.5,7.4,10.5,10.5,12.1,15.8, 
13,10.4,4.6,5.3,11.4,6.3,6.6,8.8,11.8,13.5,10.3,20.0, 
14,10.3,6.0,6.3,9.7,5.3,7.4,9.4,13.5,9.9,12.7,12.3, 
15,4.8,7.0,9.7,8.2,6.0,6.3,10.0,16.4,7.6,14.9,7.2, 
16,4.1,6.0,9.7,5.9,9.3,7.6,7.9,19.4,5.8,9.8,10.6, 
17,13.5,4.8,11.8,8.9,8.1,10.6,11.2,12.8,7.7,7.5,, 
18,14.3,8.5,13.5,9.8,7.0,9.5,6.7,5.9,6.6,10.7,, 
19,14.1,6.2,13.6,8.4,7.5,7.0,12.6,4.8,7.2,10.4,, 
20,8.3,4.0,7.0,9.7,6.7,10.8,6.6,6.4,9.5,10.0,, 
21,5.7,3.4,7.4,13.0,6.8,13.3,7.8,7.3,9.9,12.3,, 
22,7.5,7.0,5.9,16.4,11.3,18.8,7.9,8.9,9.8,11.5,, 
23,10.7,7.9,7.0,18.6,14.1,15.3,9.2,11.3,10.4,13.9,, 
24,14.8,8.3,9.2,18.6,7.8,11.1,13.1,8.4,13.7,5.8,, 
25,15.0,6.1,8.1,16.0,11.7,10.5,13.0,7.5,13.9,21.1,, 
26,15.3,5.3,5.6,17.0,8.5,6.8,7.3,6.8,12.6,20.0,, 
27,21.3,5.9,6.9,16.3,8.3,6.1,8.4,7.2,7.9,10.0,, 
28,13.4,6.8,6.8,16.9,11.9,8.0,14.8,8.9,9.6,27.3,, 
29,9.8,,8.1,14.0,15.3,9.3,14.8,9.5,8.3,18.4,, 
30,13.5,,7.2,13.5,6.7,8.8,11.5,8.9,7.4,6.5,, 
31,19.4,,8.5,,10.3,,10.9,9.9,,12.0,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 17:47:02
  
