dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,28.1,21.1,6.3,9.9,9.3,8.9,11.3,53.0,17.5,12.5,16.0,7.9 
2,28.2,19.6,3.5,8.0,13.7,10.1,16.5,34.1,20.6,11.1,21.9,12.2 
3,36.5,9.8,5.0,8.5,16.0,11.9,20.6,38.7,24.2,9.3,26.4,17.1 
4,24.9,26.3,8.3,11.2,11.2,11.5,20.8,69.8,25.1,6.4,12.3,15.0 
5,15.9,17.5,9.7,9.7,10.4,12.2,16.2,44.8,19.1,9.0,8.0,10.2 
6,16.0,6.7,13.8,4.5,8.3,13.5,13.0,54.0,20.5,5.0,7.2,10.9 
7,21.4,10.3,13.4,6.0,8.3,11.2,8.8,57.6,13.6,18.8,7.2,15.8 
8,13.4,18.0,6.1,7.2,10.6,13.0,11.1,53.7,14.0,7.1,27.8,20.2 
9,6.5,19.1,9.7,7.5,7.0,7.2,12.5,58.5,15.6,9.4,279.8,25.0 
10,9.3,12.8,13.3,9.2,8.2,6.0,10.4,45.4,30.3,20.0,246.8,10.3 
11,12.4,11.2,10.3,5.8,10.0,7.1,8.8,36.7,26.5,12.8,55.6,16.5 
12,13.5,8.4,10.3,5.3,7.1,9.2,10.5,15.8,16.4,6.7,125.3,14.3 
13,22.1,11.0,4.7,4.8,10.9,12.0,19.6,26.4,11.1,8.2,162.7,21.6 
14,22.5,13.8,6.5,6.2,9.2,11.0,16.4,13.3,10.8,6.3,260.5,24.5 
15,14.2,13.1,5.0,6.5,7.8,14.0,11.2,18.5,8.9,6.8,306.2,11.3 
16,18.9,17.1,4.7,6.1,6.7,12.9,12.4,19.5,7.2,8.3,417.1,11.1 
17,19.5,19.4,8.3,6.0,9.5,11.3,10.3,16.0,9.3,11.3,224.0,8.3 
18,20.0,11.3,7.5,6.5,11.4,11.2,11.8,11.7,10.0,13.9,143.1,7.4 
19,8.3,8.7,7.9,7.1,10.6,10.5,13.9,34.2,13.1,14.5,85.7,8.3 
20,10.4,12.1,9.0,6.7,12.1,10.9,11.1,24.0,10.8,13.9,93.3,14.6 
21,12.7,13.5,6.4,8.6,11.8,8.8,10.8,24.3,12.4,14.0,41.4,11.8 
22,8.3,13.3,3.8,8.6,13.0,10.3,10.6,21.2,16.5,20.8,6.9,8.9 
23,11.7,10.8,5.8,10.6,9.9,9.8,15.1,26.6,9.7,15.4,5.9,11.5 
24,15.2,13.5,5.0,13.5,8.5,10.2,12.7,37.0,14.0,19.4,8.6,11.6 
25,5.8,9.0,6.4,12.6,6.0,12.2,14.5,38.4,8.2,33.3,12.4,6.1 
26,12.0,6.2,6.4,13.9,7.6,13.3,22.2,31.0,10.8,31.7,23.0,10.6 
27,13.3,4.1,5.1,10.3,7.8,13.8,25.8,18.8,13.9,36.0,18.9,9.0 
28,12.1,10.4,6.1,8.0,6.8,14.6,51.2,17.0,13.7,13.6,10.6,11.5 
29,18.8,,5.9,7.3,9.8,8.4,42.5,11.9,11.2,11.9,4.9,25.3 
30,19.5,,8.7,8.5,14.5,8.9,68.0,14.3,7.3,15.4,9.1,29.0 
31,18.3,,11.5,,10.5,,50.6,13.8,,9.2,,9.0
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 17:52:28
  
