dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,13.5,13.8,8.8,12.2,8.6,7.2,10.8,10.8,6.9,5.6,15.0, 
2,24.4,6.7,7.2,8.9,9.7,8.4,11.5,9.4,8.2,7.7,21.0, 
3,35.8,6.0,7.8,5.6,10.8,8.9,11.8,9.9,12.8,9.2,16.0, 
4,35.2,5.9,8.9,7.8,12.0,10.5,11.4,7.8,9.0,6.5,20.4, 
5,19.5,6.8,6.6,6.7,9.0,10.1,16.3,9.5,10.4,6.0,25.2, 
6,5.6,12.5,5.2,6.8,8.0,7.6,13.2,10.5,9.3,9.3,23.4, 
7,6.3,15.3,5.9,7.4,8.8,6.6,12.7,11.8,8.5,13.4,23.0, 
8,9.8,13.1,5.9,7.9,13.1,4.9,12.2,8.4,8.6,14.9,97.3, 
9,8.2,7.9,5.6,5.8,12.2,5.9,10.7,8.2,8.0,6.5,24.0, 
10,8.3,6.6,7.1,5.2,7.1,8.0,8.8,6.5,8.2,5.1,22.1, 
11,10.4,8.1,6.2,6.1,12.0,10.7,5.1,5.8,8.0,9.0,36.3, 
12,11.5,9.9,6.8,3.8,10.8,12.0,5.1,7.6,13.9,12.7,27.5, 
13,14.0,6.3,6.6,7.8,8.9,13.2,6.4,11.1,15.9,14.7,18.5, 
14,13.4,6.0,6.6,9.7,9.2,11.9,7.0,10.4,13.1,12.2,18.9, 
15,8.0,6.0,8.3,9.5,8.4,10.7,5.0,10.0,8.0,13.0,17.2, 
16,5.8,6.2,11.9,7.3,6.7,8.3,7.8,10.8,5.8,12.5,16.8, 
17,8.0,6.3,11.6,9.9,8.4,11.5,9.3,13.5,5.7,6.7,, 
18,8.8,6.8,13.9,12.9,8.0,9.9,10.5,10.5,6.3,6.7,, 
19,8.0,7.7,16.3,11.9,5.8,10.6,8.5,7.9,4.3,10.3,, 
20,7.8,9.1,7.2,7.5,7.7,8.1,10.0,9.0,5.8,17.9,, 
21,7.0,6.7,8.7,5.5,6.9,6.4,8.7,8.4,5.7,5.4,, 
22,6.8,7.9,7.5,7.4,6.2,6.5,10.0,6.4,7.6,11.8,, 
23,10.0,12.1,8.2,8.4,7.4,7.5,9.1,9.4,6.0,7.4,, 
24,13.0,11.3,8.2,10.7,9.6,11.3,6.8,10.4,6.1,7.5,, 
25,19.5,9.7,11.5,13.5,11.1,10.4,10.8,9.7,6.7,16.7,, 
26,26.5,5.9,5.0,13.7,6.8,7.1,10.0,11.4,10.3,13.3,, 
27,19.5,6.0,4.1,15.5,7.8,7.5,11.5,14.2,9.3,5.4,, 
28,20.0,6.0,7.1,14.2,9.4,8.0,15.0,12.0,9.2,7.6,, 
29,29.7,,7.0,14.7,10.7,8.4,16.7,11.8,5.9,7.2,, 
30,29.5,,5.7,12.3,9.4,8.1,12.0,7.3,5.8,8.0,, 
31,27.7,,8.4,,7.5,,11.3,8.4,,9.4,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 17:52:09
  
