dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,15.5,7.5,4.4,,10.1,11.8,7.2,7.5,9.7,6.6,3.6,5.0 
2,11.5,7.1,6.1,4.8,10.1,8.5,8.1,8.2,12.4,6.1,4.0,4.8 
3,10.1,11.4,6.0,4.9,5.9,8.4,9.5,9.3,10.4,7.4,,1.0 
4,13.5,15.2,5.2,5.4,4.8,10.4,7.3,8.6,11.0,7.9,,3.0 
5,12.7,15.8,5.3,7.5,4.8,10.9,6.3,15.4,11.6,6.7,,3.5 
6,9.9,8.4,5.6,7.2,5.2,11.1,13.2,18.7,11.0,7.6,,3.5 
7,13.3,5.0,5.6,7.3,7.7,12.5,8.8,19.6,11.0,8.6,,3.8 
8,15.0,,8.5,7.6,7.8,9.3,8.5,17.3,9.4,6.6,8.4,7.3 
9,16.8,,9.1,10.8,6.0,8.8,6.3,19.0,6.6,5.1,7.7,11.5 
10,11.5,6.6,4.9,10.5,4.5,12.2,5.2,11.7,7.8,6.2,7.8,11.9 
11,20.0,10.0,4.7,9.9,3.1,11.2,4.8,8.4,9.8,7.0,9.3,3.5 
12,9.8,10.1,3.0,12.8,5.3,9.6,5.8,7.7,9.9,6.1,8.4,4.3 
13,10.1,9.9,3.5,11.5,7.6,4.9,7.0,4.8,6.1,8.0,7.2,5.2 
14,10.7,10.8,7.1,11.2,9.1,4.9,17.6,4.4,6.8,8.5,4.5,4.7 
15,12.1,19.4,7.8,17.1,8.0,9.2,9.9,7.7,,7.2,6.1,3.1 
16,9.3,10.2,9.4,9.6,8.6,8.5,8.9,7.3,,6.2,7.8,1.7 
17,9.8,18.2,5.5,10.0,7.3,6.6,6.3,5.6,6.9,5.3,7.5,2.9 
18,7.7,15.0,3.7,9.8,6.0,5.1,6.2,7.6,4.7,6.0,7.0,3.2 
19,9.8,8.4,5.4,8.0,4.8,6.8,4.3,9.0,,6.0,4.3,2.6 
20,8.8,9.7,6.0,10.0,5.2,7.5,6.5,8.1,,5.3,6.5,3.0 
21,8.4,10.5,12.0,9.3,6.9,7.7,4.6,7.8,,4.6,5.0,3.7 
22,13.6,10.9,18.5,5.3,8.9,9.8,6.2,8.6,,4.2,5.1,3.6 
23,26.6,10.8,17.7,5.9,9.3,10.5,3.5,6.8,8.8,3.5,3.1,5.3 
24,15.6,8.4,12.3,7.0,8.6,7.5,5.0,6.1,5.8,7.2,6.7,5.0 
25,8.2,10.0,5.6,4.5,9.3,6.4,3.8,7.4,5.7,5.0,8.1,4.3 
26,8.5,9.2,4.0,4.3,7.6,4.8,7.6,7.6,6.8,4.3,7.0,6.9 
27,10.2,5.8,6.1,5.9,7.1,4.4,10.3,8.6,5.5,4.3,5.6,10.2 
28,10.0,4.5,6.0,7.5,6.0,5.7,6.1,10.7,5.0,4.4,11.4,12.2 
29,8.0,,5.3,7.8,5.5,5.9,6.6,8.6,7.5,5.4,9.4,13.8 
30,6.9,,6.5,7.2,7.7,6.8,6.8,6.4,7.5,5.6,4.0,8.5 
31,9.6,,4.9,,10.6,,6.5,5.3,,6.3,,4.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 17:57:10
  
