dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,23.6,0.9,2.1,3.5,12.4,,,14.0,23.3,6.5,4.6,7.8 
2,13.1,10.8,4.2,3.9,11.4,,,13.0,18.3,13.8,4.3,7.3 
3,14.1,7.8,3.3,6.9,8.0,,,15.4,17.2,13.6,6.2,7.5 
4,8.0,7.9,2.4,8.5,7.1,8.2,9.3,14.5,10.7,11.0,9.2,6.2 
5,17.5,16.1,6.0,6.9,7.3,14.6,,22.3,14.9,7.9,11.4,11.8 
6,18.8,8.3,3.6,6.2,7.0,16.0,,29.3,18.7,11.7,25.5,9.5 
7,8.7,11.1,2.5,11.3,7.1,13.0,,23.5,18.5,18.0,18.8,6.5 
8,20.0,4.9,6.7,13.7,8.6,11.9,,17.3,15.8,10.5,17.0,19.1 
9,30.4,0.8,6.0,12.6,5.3,13.4,12.2,22.1,13.2,11.9,10.9,17.6 
10,21.8,1.9,3.3,13.3,4.8,11.0,10.0,14.8,12.6,14.9,7.1,24.1 
11,14.5,5.6,,12.6,5.0,12.2,8.7,11.1,16.5,21.8,7.3,16.3 
12,8.4,10.0,2.1,15.3,7.6,10.0,8.8,11.3,13.8,6.3,10.0,3.0 
13,10.0,8.5,,8.4,13.6,7.3,13.3,8.7,9.4,9.2,11.9,12.7 
14,5.7,6.0,,11.6,11.5,6.1,17.3,8.6,13.0,11.7,13.8,14.8 
15,19.1,2.7,,17.9,12.0,13.3,15.7,11.3,10.6,5.8,11.1,10.6 
16,10.3,3.3,,9.3,15.7,11.4,10.6,8.9,10.0,10.6,9.1,6.7 
17,16.2,2.1,,8.4,13.2,7.9,9.5,9.0,10.1,7.8,9.1,5.3 
18,6.9,4.9,2.6,7.5,9.7,5.5,9.3,8.7,9.0,21.3,9.0,8.4 
19,5.0,1.5,4.0,9.4,10.7,,10.7,12.6,11.4,10.2,17.8,10.0 
20,3.3,4.9,14.8,8.7,8.7,,8.5,8.7,12.3,4.8,11.5,14.3 
21,12.3,3.3,6.0,13.4,13.8,9.7,11.6,9.7,8.0,8.2,9.3,12.4 
22,7.9,3.7,6.2,5.4,12.3,13.0,9.2,9.3,35.1,9.8,20.8,6.0 
23,5.9,6.4,10.3,6.0,13.9,,10.0,8.7,8.3,10.9,8.3,7.2 
24,16.5,7.1,12.2,6.0,9.3,,9.3,8.8,6.5,10.4,7.8,8.4 
25,8.5,11.9,10.0,7.2,11.3,,9.9,12.2,7.8,8.4,12.0,3.6 
26,7.3,10.7,5.0,5.1,9.4,,10.9,10.3,6.4,4.7,14.3,4.4 
27,12.2,5.0,6.8,7.5,11.4,,13.9,10.8,8.8,16.8,12.1,13.7 
28,27.2,2.3,8.0,8.5,6.3,4.0,13.5,12.7,12.4,10.5,18.4,15.5 
29,24.2,,3.0,6.8,5.1,,11.6,11.8,13.0,20.0,11.0,17.3 
30,12.9,,4.1,9.7,,,14.0,9.3,9.5,19.3,6.8,4.5 
31,2.3,,5.2,,,,14.0,15.9,,5.6,,7.2
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:01:25
  
