dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,13.9,30.6,8.6,10.4,10.9,6.4,11.9,13.8,42.8,9.0,12.1,13.5 
2,8.3,11.8,9.0,14.8,11.1,9.6,11.0,14.0,34.7,8.4,11.1,21.1 
3,6.3,5.9,8.0,12.6,10.1,11.6,8.9,11.6,49.3,11.2,11.5,10.8 
4,5.0,6.2,4.7,13.6,7.0,14.3,9.6,13.0,46.8,9.6,9.6,8.9 
5,8.2,6.2,6.5,9.7,8.3,14.9,8.2,9.8,13.4,9.0,9.0,9.0 
6,11.3,6.6,7.6,9.0,10.7,14.0,8.3,14.9,13.3,9.7,10.0,17.4 
7,7.9,6.5,8.3,8.7,15.0,10.2,11.7,17.3,15.2,13.6,10.2,17.4 
8,4.0,6.2,7.5,7.3,19.0,6.3,14.3,14.0,14.5,11.8,10.9,24.0 
9,5.7,5.3,7.1,7.3,19.3,6.0,12.1,13.8,13.3,42.9,8.1,21.2 
10,4.3,7.1,8.8,8.2,12.4,7.4,12.8,14.3,14.8,68.5,8.4,15.6 
11,6.6,6.2,8.9,9.7,9.8,6.5,15.3,15.2,15.0,89.4,9.2,15.1 
12,8.6,8.6,7.6,5.9,8.4,10.6,13.8,17.0,11.6,62.7,9.2,15.0 
13,9.0,10.3,8.4,6.0,8.2,10.0,11.1,9.5,7.8,71.3,7.8,23.3 
14,11.1,11.8,11.3,7.1,11.0,10.9,11.5,14.6,11.8,31.0,8.3,23.0 
15,18.1,18.3,8.9,8.6,11.8,8.5,13.5,14.5,12.8,14.0,9.1,42.6 
16,22.8,9.0,5.4,8.0,7.8,9.8,17.0,15.0,18.7,32.9,6.1,14.3 
17,27.3,8.3,8.9,7.6,7.0,14.8,17.0,14.1,18.3,35.7,9.5,10.7 
18,17.2,7.0,7.5,6.4,11.0,17.9,13.3,15.4,7.4,20.0,12.6,22.3 
19,8.5,6.8,6.8,10.1,13.7,14.3,12.4,12.6,7.8,8.0,14.5,16.0 
20,5.7,6.0,7.5,9.3,9.3,14.2,10.0,14.5,6.0,8.0,25.0,9.3 
21,8.9,8.5,7.2,8.5,11.5,14.7,11.3,12.2,8.8,9.5,14.7,14.0 
22,7.0,6.7,6.7,8.5,11.7,17.6,12.1,15.3,8.9,8.0,18.0,27.4 
23,6.7,6.2,7.6,9.2,10.2,8.3,10.9,23.0,8.7,10.3,13.4,28.9 
24,9.6,7.8,7.4,8.5,9.5,7.0,9.8,12.5,8.7,10.3,7.9,29.3 
25,11.3,10.5,9.3,6.6,9.3,7.3,10.3,19.4,11.9,12.7,18.3,23.4 
26,10.3,8.3,5.5,7.2,9.8,6.9,6.5,15.0,11.2,13.7,11.9,12.9 
27,9.8,5.4,7.0,7.6,9.6,6.9,10.2,15.6,10.0,12.8,8.3,14.4 
28,14.6,6.5,7.7,8.9,10.4,12.7,13.5,17.4,9.2,15.2,9.8,14.5 
29,14.4,,10.7,9.7,7.9,13.6,11.9,14.2,9.6,15.4,12.4,27.8 
30,17.8,,12.0,11.4,10.7,12.1,10.5,9.1,11.5,9.3,12.3,33.3 
31,27.0,,8.6,,8.4,,9.1,25.7,,12.8,,28.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:03:06
  
