dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,20.0,10.8,6.2,12.9,12.2,13.1,13.3,12.8,12.5,10.6,8.9,5.0 
2,32.4,12.6,6.7,13.6,13.4,11.1,13.0,8.9,15.7,8.9,9.8,4.5 
3,52.0,13.8,7.4,14.0,7.9,15.8,18.0,14.8,17.5,6.3,7.8,6.5 
4,53.4,13.5,12.6,12.3,11.0,14.3,14.0,12.9,18.4,6.0,11.8,9.6 
5,15.5,11.9,7.2,10.4,9.3,12.9,13.6,8.0,13.8,8.7,7.8,7.0 
6,10.1,11.8,9.0,5.8,6.9,13.6,9.7,7.4,11.9,8.0,6.7,7.5 
7,12.8,20.8,8.8,10.8,8.0,14.0,12.0,9.1,13.6,23.5,5.3,9.8 
8,11.4,15.7,5.8,10.7,7.3,13.4,13.8,25.1,11.9,8.5,22.4,17.3 
9,7.5,11.2,7.0,11.3,7.7,9.0,11.4,20.8,12.6,8.5,42.0,26.0 
10,7.8,10.3,11.3,7.8,11.9,10.7,12.1,7.9,12.5,9.1,88.3,25.8 
11,15.0,10.8,10.2,7.0,13.5,11.8,11.2,10.1,14.0,7.3,72.2,8.3 
12,12.1,8.2,9.3,8.1,12.1,15.7,10.9,15.6,8.3,7.3,73.0,11.6 
13,16.8,8.2,8.2,9.5,10.3,17.0,9.9,14.4,8.8,10.8,57.9,15.5 
14,27.3,26.4,7.7,11.4,7.3,17.1,8.9,8.1,8.0,11.5,76.4,17.8 
15,28.1,11.6,5.9,10.8,6.0,17.2,10.0,15.7,6.7,5.8,143.0,16.0 
16,21.6,12.0,7.6,6.8,5.9,14.0,12.6,20.5,7.0,7.3,195.4,10.3 
17,19.8,13.6,9.1,7.3,8.5,14.9,14.5,17.1,6.7,16.5,159.3,9.6 
18,16.9,10.4,12.4,7.1,7.6,14.6,16.5,27.0,11.4,13.3,103.5,9.6 
19,7.1,10.8,11.8,9.2,9.4,12.9,13.5,30.9,15.5,13.3,104.8,10.2 
20,8.4,10.9,13.8,14.6,10.5,12.2,15.5,22.3,15.9,13.4,67.8,17.4 
21,10.2,12.0,9.5,13.9,13.8,12.0,10.8,15.7,14.8,15.3,30.4,12.1 
22,11.5,11.7,10.6,16.4,9.4,14.9,11.5,27.4,10.7,12.1,2.2,7.5 
23,10.9,10.9,11.5,19.1,5.6,17.6,12.9,41.8,13.3,6.7,0.9,9.0 
24,9.9,11.5,8.3,16.5,6.7,13.9,15.8,20.1,15.5,7.7,3.5,8.9 
25,9.1,10.5,9.3,13.8,6.6,13.0,16.5,14.4,17.7,10.7,5.8,6.5 
26,10.3,7.9,8.9,14.1,8.5,17.5,15.0,14.7,14.1,8.3,9.5,6.4 
27,10.6,6.5,10.2,10.1,12.5,16.8,14.0,14.3,8.1,7.3,8.9,5.0 
28,10.7,8.3,10.5,8.3,17.7,17.7,15.5,7.4,12.8,5.7,7.6,3.5 
29,17.1,,12.6,7.3,21.0,17.5,12.7,11.7,9.5,6.4,6.5,7.7 
30,12.8,,13.4,11.0,15.7,15.4,13.8,12.2,8.0,5.5,5.9,9.0 
31,9.6,,12.4,,12.3,,17.3,9.7,,7.8,,9.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:02:49
  
