dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,10.5,7.6,3.1,5.8,3.9,0.7,1.9,3.7,175.8,2.2,5.0, 
2,6.3,5.8,4.9,8.0,,0.8,2.5,3.6,,,4.7,6.7 
3,5.8,8.7,3.0,8.5,,3.2,4.8,3.4,,,9.0,8.5 
4,9.7,7.5,2.6,6.6,1.2,3.2,4.6,3.9,124.8,3.5,7.0,5.8 
5,5.7,5.8,2.5,6.0,,,0.6,3.6,,,6.6,4.7 
6,4.9,3.2,2.8,4.1,,4.6,2.4,5.2,,,5.5,9.1 
7,6.0,7.5,2.1,,7.0,,2.4,5.9,1.5,6.2,4.0,3.9 
8,6.3,7.0,2.4,3.9,,,4.2,3.3,,,11.7,4.4 
9,9.4,10.9,2.0,3.9,,2.6,2.8,4.6,,,13.6,7.2 
10,10.9,7.3,7.8,5.4,3.4,,2.5,7.6,9.4,16.8,7.4,6.6 
11,9.1,4.4,5.3,3.6,,,4.1,5.8,,,4.9,5.0 
12,4.6,6.6,4.2,3.0,,2.7,3.1,2.7,,,4.6,21.5 
13,7.2,10.5,3.2,2.0,2.5,,2.3,2.0,7.9,1.7,12.3,32.9 
14,8.0,4.3,2.7,2.2,,,2.2,4.2,,,5.8,33.5 
15,12.8,9.1,2.4,3.3,,1.6,3.8,4.5,,,6.2,19.9 
16,15.6,8.1,3.7,3.7,2.9,,3.7,5.2,14.5,12.6,6.0,4.8 
17,9.1,6.5,3.6,3.2,2.5,,4.5,17.8,,,5.0,10.8 
18,11.3,3.1,5.3,4.0,2.8,4.8,2.9,3.8,,,6.4,10.8 
19,7.6,5.5,9.5,3.8,3.1,,1.6,3.7,6.3,0.7,4.3,7.1 
20,3.5,6.6,4.2,6.7,3.6,3.5,1.1,28.2,,,6.6,11.8 
21,13.6,5.7,4.2,,3.2,9.7,1.9,4.1,,,8.9,8.2 
22,6.1,2.6,4.6,4.4,5.5,5.0,3.7,24.3,,0.8,17.3,6.1 
23,9.3,2.8,2.3,,5.7,5.4,3.3,1.7,,,8.1,8.3 
24,9.5,2.2,5.3,,4.1,2.4,9.9,1.5,,,7.9,9.8 
25,6.8,2.5,4.1,0.7,10.5,0.9,2.8,2.3,,16.0,5.2,16.0 
26,13.4,3.6,3.9,,3.2,0.9,,5.1,,13.5,10.8,3.8 
27,7.0,2.6,4.9,,1.4,3.4,1.4,12.5,,10.2,7.0,8.5 
28,15.5,3.9,6.2,4.3,0.9,3.3,1.9,8.3,3.4,11.2,9.3,6.8 
29,12.2,,6.6,,1.5,3.8,3.5,5.6,,12.1,8.4,5.0 
30,10.0,,5.1,,1.3,3.1,9.9,1.8,,13.5,6.3,7.0 
31,8.4,,5.8,,1.5,,2.8,4.1,,10.9,,12.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:05:37
  
