dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,3.8,,,1.6,1.9,,,,17.2,2.6,, 
2,,,3.6,,,,,10.5,,,, 
3,,0.2,,,,3.9,19.2,,,,3.8,1.4 
4,0.2,,,2.0,4.6,,,,9.1,3.0,, 
5,,,0.5,,,,,6.9,,,, 
6,,0.1,,,,3.8,4.5,,,,2.8,3.3 
7,0.6,,,0.7,2.6,,,,13.6,2.8,, 
8,,,1.9,,,,,7.3,,,, 
9,,0.8,,,,1.2,8.1,,,,0.6,5.1 
10,0.5,,,4.6,5.7,,,,5.8,9.9,, 
11,,,2.4,,,,,9.8,,,, 
12,,2.1,,,,1.3,,,,,2.0,4.6 
13,,,,0.6,1.7,,,,2.2,17.9,, 
14,,,2.8,,,,,2.3,,,, 
15,,2.1,,,,2.5,3.7,,,,1.8,5.0 
16,3.4,,,2.4,1.3,,,,9.7,11.2,, 
17,,,4.4,,,,,6.7,,,, 
18,,0.6,,,,2.5,30.8,,,,3.5,3.5 
19,0.6,,,4.7,2.1,,,,1.5,5.1,, 
20,,,2.6,,,,,8.4,,,, 
21,,0.5,,,,6.6,6.1,,,,4.7,2.6 
22,0.5,,,3.9,3.3,,,,1.9,2.4,, 
23,,,1.4,,,,,5.0,,,, 
24,,1.5,,,,5.8,7.2,,,,1.0,2.0 
25,,,,1.9,3.5,,,,2.5,3.5,, 
26,,,0.9,,,,,6.5,,,, 
27,,0.7,,,,2.0,4.5,,,,1.4,0.5 
28,5.5,,,2.3,5.1,,,,4.2,3.9,, 
29,,,1.6,,,,,7.6,,,, 
30,,,,,,5.5,6.9,,,,1.9,0.4 
31,1.4,,,,3.0,,,,,5.0,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:08:20
  
