dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,34.9,32.5,7.6,5.7,11.8,8.8,16.0,21.9,12.6,13.0,12.4,28.8 
2,26.6,35.0,5.8,6.6,7.5,6.2,16.3,13.8,11.9,10.5,4.3,37.5 
3,34.8,41.0,9.0,9.8,10.3,5.7,13.1,13.2,30.0,10.5,6.2,18.9 
4,37.7,28.9,15.5,10.1,10.0,7.6,17.0,11.9,8.4,9.9,15.5,7.1 
5,34.8,26.0,10.3,6.2,11.1,9.4,12.4,15.8,7.1,10.0,19.3,24.1 
6,52.0,9.2,11.6,4.9,9.6,10.0,9.5,16.5,77.1,11.2,23.2,31.0 
7,64.3,9.2,19.3,5.5,10.1,7.9,12.5,17.8,19.8,17.1,26.8,26.5 
8,71.6,7.8,13.1,5.1,8.9,13.9,11.1,20.0,28.4,21.8,19.5,34.3 
9,72.0,11.3,14.4,13.1,10.8,15.7,10.0,17.5,34.3,24.7,5.7,40.7 
10,69.2,12.1,13.0,15.3,11.2,9.1,12.5,10.8,27.3,19.3,8.9,35.0 
11,80.8,25.5,13.2,6.2,7.8,12.6,11.6,8.9,26.3,14.2,17.4,13.8 
12,64.6,19.8,18.9,7.5,8.1,15.0,11.9,10.8,19.3,16.6,22.5,22.2 
13,57.0,22.9,21.5,10.9,7.5,13.4,16.7,10.4,22.4,17.6,31.5,17.4 
14,40.0,26.7,11.9,5.2,6.0,15.4,10.8,10.0,22.4,16.8,43.0,7.6 
15,26.9,22.9,7.7,7.5,7.1,14.4,11.9,14.3,10.5,18.5,29.5,18.9 
16,29.5,18.3,7.4,10.0,7.6,16.7,14.7,23.4,5.1,19.3,5.9,31.7 
17,32.2,20.4,7.8,10.8,8.8,15.7,15.0,22.6,8.0,15.5,15.6,40.4 
18,34.4,27.4,5.0,11.4,6.9,12.5,14.6,32.0,10.1,4.9,25.0,30.5 
19,26.4,31.8,9.9,11.5,9.9,9.7,15.8,22.8,13.5,6.5,27.3,28.7 
20,14.1,23.3,16.6,11.5,9.5,10.7,17.9,16.8,20.7,12.7,34.4,14.4 
21,12.4,34.6,9.5,10.0,9.1,8.5,13.4,22.8,15.1,13.7,40.2,10.0 
22,22.4,26.3,6.6,11.4,8.2,8.3,9.7,47.3,10.7,14.8,42.6,4.8 
23,27.5,8.7,4.7,14.9,10.9,9.7,10.7,19.1,9.9,16.1,31.0,6.8 
24,34.7,12.6,5.6,8.7,12.3,13.6,9.3,13.9,15.9,19.9,25.9,15.1 
25,18.5,19.8,10.5,6.0,10.2,20.6,8.2,13.1,15.6,19.1,14.8,17.9 
26,31.5,22.7,11.6,6.9,8.4,19.3,11.0,13.1,7.2,18.6,19.3,26.5 
27,18.3,16.0,11.2,14.3,9.3,17.5,11.9,13.9,12.1,21.7,21.6,30.1 
28,23.3,4.7,9.0,13.3,9.8,12.5,14.3,19.9,18.7,11.3,22.7,18.8 
29,36.8,,12.1,10.8,10.6,13.5,19.4,11.7,15.0,15.8,29.9,22.4 
30,39.3,,11.9,12.8,10.6,18.5,20.7,9.5,14.5,15.8,21.7,27.1 
31,44.3,,6.9,,8.3,,20.8,24.9,,14.9,,42.4
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:11:05
  
