dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,51.3,15.8,9.4,8.4,9.3,6.9,6.4,9.3,9.7,3.8,22.0, 
2,43.3,4.0,5.7,4.4,7.3,8.6,6.3,6.0,9.6,7.1,23.3, 
3,33.0,2.7,2.9,5.1,8.8,9.4,7.8,8.3,8.2,8.6,27.1, 
4,33.2,2.8,3.1,7.3,7.6,16.5,20.8,7.5,10.7,13.7,20.6, 
5,14.8,3.5,7.5,5.3,5.5,15.4,10.9,6.9,13.2,10.5,25.2, 
6,7.2,12.4,1.4,5.4,3.9,5.4,10.0,11.6,7.6,13.2,24.1, 
7,6.8,13.0,2.7,4.7,4.9,4.8,11.8,11.9,8.4,13.9,25.8, 
8,11.2,10.1,3.6,7.5,7.3,5.1,6.7,9.4,5.4,17.6,31.7, 
9,10.9,4.2,6.8,3.6,8.8,8.9,8.1,6.9,4.5,11.8,30.4, 
10,14.8,7.0,6.6,3.9,7.2,11.3,6.7,7.1,3.6,7.4,28.9, 
11,16.1,10.2,4.2,7.8,8.1,13.9,6.2,5.8,8.0,11.5,27.4, 
12,15.0,12.0,8.6,5.8,9.4,12.6,6.1,9.3,11.4,15.6,26.6, 
13,10.0,6.0,3.8,9.2,4.3,10.6,8.9,10.6,13.9,13.7,29.9, 
14,12.9,2.9,9.7,6.4,6.4,7.0,5.2,12.1,14.1,15.2,21.7, 
15,6.8,3.2,8.9,3.5,4.7,8.1,5.5,13.2,10.1,17.6,15.9, 
16,5.3,7.0,12.1,5.3,3.0,7.1,3.7,12.9,6.5,22.2,24.7, 
17,5.6,8.8,10.4,6.9,4.4,10.2,5.6,11.9,5.8,5.6,, 
18,9.2,11.8,9.9,11.0,4.9,13.2,8.2,8.0,4.1,8.1,, 
19,16.6,12.4,8.3,15.1,2.8,11.0,5.5,8.9,4.7,6.1,, 
20,15.0,12.4,3.7,4.9,3.4,6.1,9.0,9.6,6.9,6.3,, 
21,4.6,4.0,5.3,7.2,2.8,8.4,8.5,7.1,11.5,12.5,, 
22,19.4,11.5,7.4,10.0,3.8,8.7,11.3,9.6,10.7,10.7,, 
23,20.8,23.5,7.3,13.2,5.8,8.8,9.8,14.4,10.3,11.3,, 
24,28.2,22.6,12.9,13.5,7.4,8.4,11.3,9.8,14.9,13.0,, 
25,36.9,9.7,9.1,11.1,8.2,6.2,13.6,9.9,13.0,14.9,, 
26,41.2,9.5,9.1,9.3,3.5,5.3,11.8,8.6,13.5,15.0,, 
27,37.1,5.4,5.8,11.2,4.3,3.9,11.5,9.8,14.3,25.4,, 
28,39.7,6.0,3.6,8.3,11.1,3.1,13.3,9.1,4.4,17.0,, 
29,41.2,,5.4,7.8,13.6,5.0,11.4,9.8,3.5,21.5,, 
30,44.7,,6.1,9.3,14.2,5.6,11.9,11.0,4.2,23.3,, 
31,25.5,,8.4,,7.5,,9.4,10.3,,20.1,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:09:59
  
