dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,8.7,5.3,4.7,6.8,1.7,5.4,6.8,25.6,18.9,,1.9,4.5 
2,14.5,0.4,3.8,4.1,3.6,4.0,9.4,17.2,20.8,,5.1,9.4 
3,15.7,1.0,3.4,11.4,8.8,5.1,10.3,40.0,15.8,4.3,1.3,6.8 
4,16.3,6.0,5.1,15.1,6.4,6.6,19.8,82.6,16.0,2.0,4.6,4.5 
5,9.4,3.0,2.3,11.9,6.0,6.6,14.2,13.2,14.5,2.5,1.0,6.4 
6,3.4,0.4,5.5,4.4,3.8,6.8,6.4,69.1,12.0,0.3,0.5,4.1 
7,7.1,2.1,4.1,5.6,5.4,6.1,2.6,52.2,23.3,0.7,2.7,10.0 
8,,4.9,3.8,4.9,6.2,6.0,5.8,42.7,10.1,-0.3,3.1,16.0 
9,,4.0,7.6,7.0,3.5,2.9,5.0,50.1,19.6,4.5,8.8,22.6 
10,,1.7,6.0,6.9,3.3,1.8,2.6,43.2,34.1,7.6,34.1,8.3 
11,,5.0,6.6,5.0,5.3,1.4,4.3,25.0,35.3,2.3,1.9,7.5 
12,,3.6,8.3,4.5,1.9,2.2,4.0,11.8,10.8,0.3,24.5,12.5 
13,,3.7,4.9,3.9,8.3,3.8,3.2,20.4,5.4,3.3,24.0,20.3 
14,,12.6,4.0,4.2,5.1,5.3,5.7,7.2,6.0,2.4,80.8,16.9 
15,,0.9,4.8,5.3,4.1,8.5,0.5,12.1,4.7,0.1,179.8,6.1 
16,,2.6,4.2,3.3,3.7,7.8,4.0,16.5,3.6,0.0,86.0,11.6 
17,,9.8,5.0,2.3,4.4,7.4,4.0,14.7,4.8,9.1,64.2,3.4 
18,,6.6,4.5,3.9,4.4,6.5,3.9,11.6,6.3,10.8,56.0,5.1 
19,,3.4,5.0,1.5,5.0,6.6,6.4,13.3,10.5,10.3,26.3,4.2 
20,,11.0,6.0,1.3,7.3,4.8,6.5,20.6,8.5,14.8,45.7,10.4 
21,,10.8,3.5,4.8,7.0,4.8,4.5,19.3,10.2,9.6,48.4,6.8 
22,,11.2,3.0,5.1,9.3,4.6,2.3,14.4,10.5,10.5,3.9,3.6 
23,4.4,5.6,3.4,5.6,3.9,2.7,4.8,20.5,11.7,9.5,2.3,7.0 
24,9.1,9.8,2.8,6.5,3.5,3.0,4.4,30.8,9.0,16.8,2.5,6.0 
25,4.7,6.3,4.1,9.8,2.5,5.4,6.6,33.4,6.3,9.5,3.9,1.1 
26,5.8,3.1,3.2,8.2,4.1,5.8,20.0,22.5,11.3,12.9,8.0,1.8 
27,7.3,2.3,4.6,6.0,2.7,9.7,10.9,14.4,11.5,12.8,13.0,2.3 
28,3.2,9.5,4.3,3.0,2.3,8.0,37.8,11.1,9.6,8.8,8.5,1.7 
29,10.0,,4.4,0.6,3.7,3.2,41.0,6.4,5.5,1.3,2.3,6.2 
30,7.6,,8.6,0.2,8.7,1.9,16.0,9.3,6.4,0.8,4.9,13.0 
31,4.7,,13.8,,7.2,,34.9,8.2,,1.8,,0.6
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:38:38
  
