dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,8.9,,,,2.9,9.9,6.4,8.1,4.8,5.0,6.0 
2,11.8,,,6.6,,,,2.9,17.9,7.2,2.3,2.5 
3,,,3.3,,6.3,,,6.1,11.8,6.1,3.4,1.5 
4,5.7,6.3,,,,5.0,6.8,6.2,9.2,3.4,5.2,13.9 
5,20.2,,,2.8,5.3,,,4.3,24.1,4.3,4.0,2.6 
6,17.5,,9.0,,,,,26.1,7.9,3.4,5.3,5.6 
7,11.1,11.6,,,,5.8,3.7,11.4,4.3,5.5,12.7,11.1 
8,13.1,,,8.6,3.3,,,2.2,2.4,5.7,4.7,0.9 
9,,,3.0,,,,,2.7,2.4,3.3,4.1,1.9 
10,,7.8,,,,3.3,3.8,0.9,3.1,7.7,16.3,10.4 
11,4.5,,,3.9,10.1,,,3.7,5.1,7.6,2.7,2.0 
12,,,6.2,,,,,6.7,,3.4,10.1,5.8 
13,,11.4,,,,4.4,3.3,19.8,3.5,6.2,39.5,14.9 
14,13.2,,,11.3,2.9,,,3.9,4.3,7.7,48.0,3.4 
15,,,1.8,,,,,7.2,2.4,2.5,29.5,0.6 
16,,6.4,,,,10.5,5.3,27.9,1.7,21.0,30.2,5.6 
17,3.7,,,4.4,2.2,,,12.9,4.4,23.0,29.3,0.9 
18,,,5.7,,,,,16.1,4.6,,29.1,0.6 
19,,10.6,,,,2.9,9.1,77.9,4.0,,39.6,14.0 
20,10.8,,,6.3,5.5,,,43.3,7.8,8.1,16.8,2.1 
21,,,5.8,,,,,30.2,5.3,,1.8,4.4 
22,,5.2,,,,5.7,4.5,18.5,2.1,,4.1,11.7 
23,4.2,,,13.6,3.8,,,24.1,10.5,7.4,1.6,0.4 
24,,,0.8,,,,,22.7,7.9,4.4,4.6,2.5 
25,,7.0,,,,5.3,2.6,7.4,5.2,2.7,13.9,11.4 
26,2.2,,,8.0,4.8,,,7.1,4.7,7.4,2.5,3.4 
27,,,4.9,,,,8.7,13.4,8.9,1.3,2.8,2.8 
28,,4.8,,,,7.2,12.4,36.8,5.7,3.4,5.6,10.8 
29,9.2,,,4.5,12.2,,6.4,24.7,5.0,6.9,3.3,4.9 
30,,,7.0,,,,8.8,5.7,3.2,3.8,2.7,2.6 
31,,,,,,,10.8,3.0,,4.5,,12.8
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:42:57
  
