dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,7.0,,3.7,6.9,7.0,2.0,2.5,2.7,52.0,7.5,19.5, 
2,,,5.4,7.9,1.9,1.5,,3.4,74.0,4.4,11.5, 
3,,2.2,2.9,,1.4,5.6,17.1,2.6,97.3,4.3,4.6,10.6 
4,12.6,,,8.8,2.0,5.8,9.5,2.8,166.3,7.6,2.1, 
5,,,2.8,5.8,,,2.3,4.4,35.6,8.6,1.1, 
6,,6.0,0.6,4.3,,6.3,3.8,13.5,39.9,23.0,8.2,16.7 
7,2.5,,1.5,9.4,12.5,15.0,,10.4,6.6,10.1,3.0, 
8,,,5.8,,6.8,,19.8,6.1,19.5,6.4,1.1, 
9,,3.2,2.4,2.5,5.4,3.4,12.7,27.8,,14.3,3.2,22.6 
10,3.8,,,4.8,5.2,2.6,,10.3,8.9,33.5,1.0, 
11,2.1,,3.7,1.8,7.5,,6.1,9.2,14.6,4.0,0.8, 
12,3.4,9.8,1.6,0.4,9.4,5.8,7.0,,,3.8,0.5, 
13,12.7,,,2.4,4.2,2.5,3.3,2.5,8.9,6.8,1.0,25.7 
14,,,2.8,2.2,,1.6,4.1,9.8,6.5,4.8,0.9, 
15,,2.4,1.4,3.2,2.7,3.7,5.7,,6.9,7.1,0.6,14.8 
16,18.3,,,5.9,3.4,,,9.0,10.0,16.0,1.0, 
17,,,9.8,0.8,4.5,2.6,6.1,8.5,3.9,6.7,, 
18,,2.6,0.7,2.2,,6.3,5.6,,2.9,3.0,,14.6 
19,2.0,,2.8,4.0,8.2,2.8,,9.0,6.0,2.4,, 
20,,,2.3,,7.8,9.9,1.8,17.4,3.0,4.6,, 
21,,,,,14.4,15.9,3.1,,3.2,0.6,5.3,17.5 
22,3.0,,7.3,4.6,21.3,13.9,,21.2,13.6,8.9,, 
23,,,8.4,2.2,,7.0,6.1,3.5,15.3,6.5,, 
24,,4.8,3.7,,6.7,2.0,14.6,2.8,7.1,4.9,,12.0 
25,11.8,2.6,2.4,1.4,11.1,1.2,2.9,,7.4,15.5,, 
26,,2.5,3.2,1.8,,,4.9,36.0,5.3,9.5,, 
27,,5.7,,,3.5,4.1,3.0,81.1,6.3,7.3,,6.0 
28,21.2,,8.1,5.8,2.8,4.8,3.9,60.0,6.2,8.2,, 
29,,,6.6,16.5,,,6.0,8.2,7.3,5.9,, 
30,,,,7.7,,4.2,8.0,2.3,4.1,5.3,,6.0 
31,19.0,,4.9,,1.9,,2.2,,,18.4,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:43:13
  
