dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,14.4,17.7,32.5,9.6,9.0,14.9,14.0,30.5,14.9,10.7,8.1,24.3 
2,17.3,12.5,20.0,13.7,11.5,23.8,27.6,14.6,12.5,27.9,11.6,48.4 
3,14.8,14.9,17.8,9.7,9.2,17.5,18.2,9.4,57.9,16.6,11.4,36.1 
4,26.1,9.8,17.9,11.2,13.8,13.2,33.4,10.4,39.2,9.4,24.8,20.2 
5,20.3,7.3,15.3,15.6,152.6,36.0,33.7,12.0,17.4,9.7,21.2,30.0 
6,9.5,6.2,110.4,19.0,17.6,19.0,23.7,15.6,19.1,7.7,22.0,34.2 
7,8.5,7.5,16.5,11.5,12.3,18.6,16.6,13.3,11.6,8.5,9.8,12.0 
8,13.6,6.0,8.2,5.9,11.5,17.4,13.1,16.3,10.5,7.3,10.7,13.8 
9,14.8,8.1,11.6,5.2,14.5,27.8,24.5,20.3,11.8,10.4,15.1,13.8 
10,21.3,8.5,8.9,7.0,10.8,19.6,92.6,10.7,11.2,13.8,13.5,39.5 
11,9.5,20.0,55.4,8.7,13.2,19.0,14.6,7.9,11.2,12.2,9.3,36.9 
12,7.7,12.6,11.4,6.2,12.3,16.7,21.4,12.8,40.0,17.0,10.5,28.3 
13,13.5,12.0,14.5,11.1,16.5,12.0,20.8,12.8,23.2,17.2,8.0,31.9 
14,47.0,8.6,9.6,28.5,21.5,21.7,16.9,11.0,8.2,23.5,15.8,25.6 
15,28.8,5.2,11.8,30.5,41.4,302.5,23.5,9.9,6.9,17.9,18.0,35.3 
16,14.4,11.1,10.8,5.9,30.3,15.5,15.8,10.3,14.0,17.3,27.2,74.3 
17,17.7,23.8,13.7,9.9,15.6,21.2,14.4,18.1,10.4,5.0,12.7,29.1 
18,42.5,16.9,17.1,13.2,9.3,13.3,12.8,17.8,12.2,8.5,9.0,7.0 
19,23.6,8.4,16.7,14.0,149.3,9.7,12.2,30.5,72.0,8.6,14.5,10.0 
20,19.3,12.3,16.3,11.8,169.4,21.7,12.5,21.0,7.1,6.2,34.8,20.2 
21,9.1,9.5,22.4,17.9,55.3,23.8,19.3,24.7,5.7,12.4,11.1,9.2 
22,13.7,15.0,62.1,46.1,12.9,47.7,16.7,16.8,106.2,25.6,6.5,8.0 
23,13.0,14.5,15.5,12.8,20.3,21.0,42.0,14.0,14.5,11.2,7.8,14.0 
24,16.8,7.2,10.3,68.4,95.8,23.0,28.1,13.5,6.3,16.1,7.9,4.8 
25,15.2,12.0,11.5,209.9,71.9,16.8,17.2,16.3,4.9,8.5,15.4,11.9 
26,9.3,14.3,19.7,17.6,11.6,16.0,14.7,13.4,9.0,8.0,21.4,8.3 
27,8.5,25.2,12.4,34.1,13.7,17.7,11.8,14.8,6.9,9.6,5.9,11.5 
28,11.7,31.6,307.4,22.8,12.5,22.7,12.5,13.6,9.0,27.3,11.8,11.5 
29,23.3,36.2,49.4,26.6,14.1,21.1,14.9,14.0,9.5,15.7,8.9,14.7 
30,27.5,,7.5,15.9,11.8,13.4,161.0,57.5,11.1,27.9,12.6,21.9 
31,21.4,,9.5,,13.2,,9.8,15.6,,5.0,,23.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:46:21
  
