dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,102.8,12.8,5.4,13.7,13.4,79.5,11.6,9.6,9.2,10.4,33.1,8.9 
2,63.9,15.1,6.7,13.7,17.7,76.5,10.8,7.3,8.3,7.3,18.8,11.0 
3,49.7,20.5,8.3,14.8,14.4,61.9,11.8,10.3,9.6,7.0,17.6,12.3 
4,25.5,37.9,13.2,10.3,18.9,27.1,12.1,16.4,12.8,21.6,9.9,46.3 
5,17.2,22.9,11.1,67.7,11.7,17.6,14.2,11.8,10.7,5.2,7.2,10.7 
6,16.5,36.2,5.4,68.1,49.1,12.9,14.9,13.1,7.8,6.2,6.8,10.3 
7,15.9,34.4,12.4,42.9,233.9,12.3,15.9,53.3,6.0,12.6,5.7,11.4 
8,24.6,14.3,17.8,6.5,38.0,24.8,90.6,7.5,20.4,7.7,18.5,17.6 
9,36.7,13.4,18.6,5.7,11.4,8.7,9.4,10.4,18.6,8.4,31.8,20.0 
10,29.3,9.7,17.0,12.0,11.0,27.7,8.7,10.6,13.4,15.5,11.8,48.2 
11,22.1,14.6,25.5,11.4,26.2,7.3,17.2,10.4,15.7,14.0,14.4,10.7 
12,15.9,8.1,7.5,14.5,55.3,13.0,11.7,11.0,6.2,18.2,10.7,7.3 
13,10.6,24.4,5.3,15.0,10.6,13.8,10.2,16.0,17.0,12.0,13.3,23.1 
14,15.6,19.5,10.0,28.2,107.6,16.0,28.1,13.0,21.0,11.0,23.6,17.7 
15,6.2,23.0,10.8,19.2,7.4,16.5,16.3,11.1,8.8,9.3,32.5,7.8 
16,15.0,17.5,10.4,13.4,12.8,13.2,16.8,18.7,9.7,6.4,12.1,16.8 
17,12.3,13.5,16.3,24.3,8.2,15.4,42.4,15.5,6.2,4.3,16.3,34.8 
18,16.4,17.5,12.0,17.5,24.3,20.7,12.3,15.7,11.1,14.4,21.8,9.4 
19,12.7,23.1,9.7,22.7,19.8,14.6,11.0,16.6,11.5,4.8,23.5,30.5 
20,15.8,23.7,11.3,14.6,13.5,18.9,8.9,12.2,7.8,6.3,21.3,9.5 
21,7.3,23.0,14.3,18.8,115.7,16.4,10.1,12.0,7.5,10.7,12.9,12.8 
22,12.7,18.5,15.0,21.3,100.8,18.0,12.6,11.8,6.2,15.5,33.0,18.8 
23,28.8,6.2,7.4,15.6,17.9,13.9,7.5,14.7,13.0,11.1,22.8,18.4 
24,10.6,9.5,8.7,101.1,7.8,16.5,7.3,13.7,10.9,8.5,30.5,11.6 
25,14.3,23.8,5.2,62.2,19.0,25.0,24.8,10.9,12.4,6.8,20.3,10.6 
26,14.4,26.1,8.4,28.0,10.2,22.0,50.7,13.8,10.3,11.1,11.5,88.1 
27,11.5,53.4,14.0,13.9,13.4,16.9,8.3,13.9,10.2,15.2,7.0,21.5 
28,10.0,32.1,9.8,8.7,22.2,17.0,12.3,11.4,9.2,20.1,7.3,16.0 
29,12.8,,10.1,14.2,14.2,14.1,11.6,10.6,10.3,13.5,7.3,18.3 
30,10.8,,13.8,9.0,18.3,14.5,11.4,20.8,14.5,15.4,9.3,28.9 
31,9.8,,23.2,,19.2,,9.5,8.0,,19.9,,10.8
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:46:35
  
