dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,2.3,25.7,4.0,3.4,2.9,7.3,13.6,15.0,5.5,4.2,3.5,3.4 
2,3.2,1.6,4.3,3.4,4.3,11.3,18.6,14.2,5.5,3.2,2.0,14.0 
3,5.5,3.1,4.5,4.7,5.3,7.4,8.1,14.4,6.0,4.0,2.9,2.7 
4,6.6,3.8,4.1,4.5,5.5,8.5,7.1,14.1,7.7,2.8,3.6,3.8 
5,6.3,3.2,6.7,3.8,11.1,10.7,7.3,9.9,12.4,2.3,4.9,4.7 
6,2.7,3.5,9.1,3.7,5.1,10.2,8.8,11.4,7.6,3.7,6.8,4.4 
7,2.5,3.1,2.7,3.4,3.6,10.6,8.7,6.6,9.1,3.7,5.6,5.5 
8,1.5,2.8,1.7,4.2,4.0,10.7,7.3,6.3,11.7,3.3,6.1,4.9 
9,3.9,2.5,3.4,2.5,6.0,6.6,4.8,5.9,11.7,4.7,5.1,5.3 
10,3.6,3.2,2.4,2.8,7.0,6.3,4.2,7.6,7.7,5.9,4.5,4.6 
11,3.2,3.9,4.6,3.9,5.0,15.9,5.0,8.2,10.1,3.3,4.8,3.2 
12,2.8,4.3,1.6,4.6,6.0,7.3,5.3,4.3,9.4,4.8,7.8,3.7 
13,3.2,2.7,3.3,6.4,5.6,6.6,6.9,5.9,7.5,7.0,6.7,3.5 
14,2.6,9.9,6.6,39.8,6.7,9.5,8.6,7.2,4.8,4.5,7.8,4.2 
15,2.7,2.6,4.0,25.5,5.3,11.1,9.9,10.6,5.6,7.0,15.8,7.1 
16,2.6,2.7,3.5,19.1,6.6,5.8,8.3,7.8,6.1,17.3,40.8,3.7 
17,3.7,4.5,3.8,5.6,4.4,5.4,6.7,9.0,5.7,7.3,4.2,5.2 
18,2.9,3.6,4.5,5.2,3.8,4.0,2.8,10.1,4.4,4.3,2.9,3.4 
19,3.3,2.9,5.6,6.0,8.9,3.5,4.2,7.3,7.4,3.0,12.6,4.1 
20,4.6,4.1,6.3,5.7,22.1,5.4,4.4,26.7,7.7,4.4,9.0,4.4 
21,4.2,3.7,8.2,4.4,6.3,6.2,5.2,56.9,6.5,5.0,5.0,5.6 
22,2.9,19.2,12.6,4.9,4.0,7.2,6.0,14.7,24.7,6.6,4.5,4.1 
23,3.3,2.7,1.7,3.7,7.1,4.0,8.5,10.1,4.1,12.1,6.1,4.0 
24,1.6,8.8,3.1,5.0,7.0,1.8,4.8,16.5,3.3,9.0,5.4,5.2 
25,2.8,6.0,3.3,16.2,5.3,7.4,14.3,27.9,4.1,6.2,6.7,3.0 
26,2.6,3.0,5.0,4.8,1.5,20.8,13.4,36.0,3.2,4.7,7.8,4.0 
27,4.0,2.9,5.2,4.9,4.0,10.8,9.5,18.3,4.5,6.5,2.9,5.5 
28,3.7,3.5,15.9,12.7,14.0,9.8,14.4,21.5,7.0,5.8,3.5,4.9 
29,3.0,4.6,3.1,6.0,6.2,8.4,10.1,12.1,5.9,4.4,2.5,6.1 
30,2.8,,2.6,5.3,9.2,12.0,12.5,11.2,8.2,6.6,4.2,7.7 
31,2.6,,3.4,,6.2,,19.8,9.7,,2.2,,4.2
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:48:08
  
