dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,4.9,5.3,3.0,27.0,6.5,4.8,50.5,6.7,9.2,16.1,7.8,3.0 
2,3.4,4.0,2.7,5.1,5.1,6.6,22.0,8.0,8.0,6.8,10.0,4.2 
3,3.5,3.0,3.4,10.6,3.7,7.7,11.4,6.8,12.1,9.6,8.4,17.7 
4,4.0,2.4,5.5,6.0,7.7,11.0,9.3,11.6,7.0,8.0,5.8,8.3 
5,3.4,3.6,17.8,5.4,8.0,7.5,17.7,14.1,6.3,10.0,3.6,2.4 
6,3.6,2.0,1.5,10.2,8.7,6.8,16.0,17.4,7.1,4.5,3.4,3.3 
7,3.9,4.4,2.9,18.6,6.0,9.4,11.9,8.6,6.6,7.8,3.3,1.7 
8,4.6,3.0,3.0,14.2,10.0,6.6,13.4,6.7,10.5,48.7,4.1,3.2 
9,1.7,3.0,2.3,3.0,6.1,5.0,21.1,9.9,8.2,7.6,4.5,7.0 
10,3.1,2.8,3.0,7.0,11.4,3.3,17.7,12.8,3.9,3.0,5.0,2.3 
11,2.2,16.1,3.0,8.6,11.0,3.9,16.9,10.7,4.7,17.8,4.9, 
12,3.3,11.0,3.5,6.4,8.0,2.0,14.3,21.0,4.7,20.8,5.6,4.0 
13,4.3,3.0,3.5,9.0,5.8,4.2,12.6,16.4,3.5,15.6,5.8,2.2 
14,3.8,3.1,3.4,3.8,5.0,5.2,11.3,13.3,5.9,9.8,4.8,7.3 
15,3.8,3.1,4.3,4.3,5.7,9.8,14.1,8.3,7.3,3.9,5.0,8.0 
16,5.3,3.4,4.7,6.9,4.0,8.0,9.3,7.3,12.8,7.4,5.6,56.0 
17,3.2,2.4,4.9,3.1,4.5,6.7,7.3,6.6,9.4,15.0,3.3,2.1 
18,6.2,1.8,4.9,3.2,3.8,4.9,9.8,6.0,14.9,16.1,4.2,2.2 
19,3.1,3.7,3.5,4.4,2.0,8.0,12.6,7.9,9.1,12.6,7.1,3.7 
20,3.2,3.5,5.0,5.8,4.2,10.6,8.3,8.5,5.5,3.6,6.3,15.6 
21,3.3,2.7,3.1,4.0,6.1,11.9,12.5,5.6,19.7,5.5,5.5,40.4 
22,,10.7,2.9,9.0,5.5,8.0,6.5,3.9,2.6,3.9,5.4,4.7 
23,2.5,3.2,4.3,7.5,7.1,16.4,7.4,5.0,3.6,3.8,4.4,4.7 
24,2.7,3.1,3.2,37.2,11.1,14.1,9.9,9.1,2.9,3.0,3.8,7.1 
25,2.8,2.8,2.8,5.1,3.8,8.7,8.2,4.8,3.6,2.6,4.8,5.5 
26,4.8,3.2,2.5,16.4,7.2,7.6,8.0,5.0,3.3,6.6,4.9,4.0 
27,4.6,2.9,15.0,16.5,4.7,5.1,10.4,5.8,3.3,3.6,61.0,3.8 
28,3.4,2.5,4.9,16.5,10.1,5.4,6.8,6.6,3.3,3.6,1.5,5.9 
29,3.1,,5.6,5.4,4.6,9.2,7.3,9.7,6.9,4.2,5.0,5.4 
30,3.8,,67.3,4.1,7.2,12.4,4.3,21.5,8.8,7.0,4.0,5.1 
31,5.0,,189.9,,7.3,,6.9,18.6,,8.1,,5.3
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:47:53
  
