dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,8.2,26.3,15.0,9.3,11.6,9.2,12.3,12.2,23.7,11.1,16.8,38.5 
2,10.5,18.8,24.7,9.1,10.3,10.8,9.8,16.3,34.2,9.4,16.5,45.7 
3,16.2,11.0,27.7,11.6,12.7,16.7,15.1,17.3,19.0,24.5,7.8,41.8 
4,17.1,7.3,19.6,8.8,15.3,9.1,45.7,13.2,13.8,13.5,7.5,12.2 
5,11.2,17.2,4.9,12.5,7.7,8.0,14.1,12.0,13.0,15.2,7.0,20.7 
6,14.0,5.1,7.7,12.9,6.4,13.8,18.3,12.3,13.5,14.5,10.9,28.0 
7,9.2,6.4,13.9,8.4,4.5,10.7,12.3,9.3,17.9,24.0,18.6,32.5 
8,7.2,8.2,29.5,4.7,8.3,6.6,13.9,16.7,15.8,18.1,13.0,44.9 
9,5.6,6.2,23.7,6.4,13.5,6.8,14.1,13.7,14.9,17.2,9.6,56.0 
10,7.4,6.4,29.3,9.5,10.5,5.6,29.4,15.5,15.0,10.7,7.4,76.5 
11,4.9,6.3,31.5,13.4,12.2,7.0,20.1,19.8,14.8,25.8,12.5,71.8 
12,7.5,11.6,33.2,8.0,7.6,5.8,14.9,15.5,10.0,21.9,21.3,71.3 
13,9.5,13.4,19.2,6.1,7.3,9.7,13.2,10.8,10.1,24.3,21.9,60.6 
14,17.1,26.8,24.4,5.9,5.6,11.8,27.0,10.0,7.5,29.3,26.9,65.3 
15,14.7,27.4,11.3,9.5,5.3,13.5,17.0,8.5,7.8,30.3,31.7,74.3 
16,20.9,11.3,9.5,9.8,8.5,15.6,12.5,12.3,13.0,31.7,10.8,44.7 
17,26.2,4.6,21.4,3.8,9.8,12.3,16.5,19.8,16.7,31.3,5.0,17.3 
18,20.0,2.2,14.0,6.3,8.0,19.4,15.4,19.2,15.0,31.0,21.5,31.8 
19,11.2,6.3,12.6,10.4,8.2,17.0,14.2,16.1,10.3,31.3,39.0,24.5 
20,6.5,7.1,12.2,10.7,8.7,13.9,12.9,15.8,9.5,6.5,35.3,17.1 
21,7.7,5.4,6.0,10.6,8.1,15.3,15.3,15.8,4.5,12.2,30.8,17.3 
22,2.6,3.4,3.7,12.5,11.8,15.4,13.8,17.4,7.9,17.3,42.8,22.6 
23,5.5,7.2,6.6,10.5,10.8,13.8,14.5,18.9,8.0,24.3,62.6,41.6 
24,9.2,11.4,7.7,4.1,8.6,15.2,13.0,17.5,6.2,29.3,48.7,69.7 
25,15.9,18.8,6.8,5.6,8.3,12.8,8.4,16.3,10.4,26.8,42.3,76.2 
26,18.7,16.2,9.7,6.8,7.6,13.5,9.9,19.1,9.1,21.8,28.4,75.7 
27,24.5,8.3,4.4,5.4,12.0,12.3,11.7,15.5,8.9,16.3,7.2,64.9 
28,34.2,7.5,6.0,9.1,18.5,7.8,9.8,16.8,12.9,20.2,18.6,101.8 
29,44.9,,11.2,9.9,15.8,12.9,8.8,19.2,11.8,19.5,33.5,70.3 
30,40.3,,12.6,8.9,8.5,15.5,12.0,12.8,9.3,17.1,37.6,82.9 
31,47.6,,7.8,,8.4,,10.1,14.9,,10.4,,88.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:49:49
  
