dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,7.3,35.3,12.8,14.9,11.8,4.8,10.3,12.1,27.0,10.2,20.5,45.1 
2,9.8,15.0,22.2,15.9,14.5,7.5,13.0,17.4,38.7,8.0,27.3,57.7 
3,10.4,9.0,15.5,9.8,12.6,9.0,12.0,22.3,38.4,12.7,12.8,32.3 
4,7.6,9.5,16.2,9.9,12.6,5.3,22.2,14.7,20.7,10.7,8.6,14.4 
5,6.1,13.9,2.9,13.7,6.6,6.9,13.0,15.3,19.3,12.9,4.9,20.7 
6,10.6,4.3,4.5,12.5,7.0,11.6,8.7,12.4,18.1,16.0,9.4,24.2 
7,21.2,3.8,10.5,5.5,9.2,9.8,13.0,12.6,19.4,18.2,20.8,37.9 
8,6.8,5.3,16.3,3.7,17.4,6.8,13.0,18.0,18.9,18.1,16.6,45.7 
9,3.0,10.1,29.9,5.8,22.4,6.8,11.0,19.2,16.2,12.3,4.7,59.5 
10,6.9,5.3,33.0,8.3,12.9,5.9,16.2,22.6,18.5,19.9,5.2,61.0 
11,4.5,6.5,30.8,16.8,9.5,4.9,12.3,18.5,17.6,34.6,12.6,64.4 
12,4.8,13.8,17.0,6.3,4.8,5.2,12.8,18.5,17.2,22.4,23.2,73.2 
13,10.4,17.6,14.5,3.8,4.3,7.2,13.5,9.1,9.7,29.1,24.2,61.5 
14,17.0,22.2,40.4,5.3,4.6,10.9,15.4,6.0,8.2,32.8,28.1,70.5 
15,17.0,38.0,21.2,8.6,6.4,7.7,13.0,13.5,7.6,30.2,33.1,78.8 
16,21.0,11.7,11.9,13.9,8.2,11.3,14.3,15.9,11.6,26.0,10.1,41.2 
17,25.9,3.0,22.4,6.1,5.2,12.2,12.8,17.9,18.8,32.7,4.6,24.2 
18,22.2,3.9,22.2,7.4,8.0,8.4,11.1,18.3,8.5,37.8,17.9,22.9 
19,5.2,4.7,15.0,8.1,11.8,12.9,11.2,23.2,8.2,28.6,34.5,33.1 
20,4.1,4.2,7.7,7.5,11.1,12.5,7.4,21.0,8.3,6.0,37.3,20.9 
21,6.1,3.8,6.4,8.7,9.8,13.4,7.5,18.0,3.5,13.5,49.2,19.5 
22,3.3,6.3,4.0,12.3,11.1,14.5,11.2,14.9,6.0,20.8,59.9,33.4 
23,4.7,4.8,7.3,4.6,13.6,13.9,14.0,19.4,7.7,23.5,54.9,49.1 
24,8.9,9.2,13.1,4.0,11.5,10.7,9.0,21.1,7.8,29.6,37.6,68.7 
25,13.2,16.8,7.4,6.0,6.0,11.4,10.3,14.5,8.5,31.4,42.9,74.3 
26,23.3,20.6,7.9,4.3,8.2,7.3,10.6,20.8,11.5,28.7,19.9,75.5 
27,25.1,9.6,4.5,5.5,10.4,7.2,10.1,17.1,13.8,28.0,6.4,63.6 
28,28.3,7.5,8.0,8.6,10.6,7.3,10.8,19.4,14.6,29.7,17.4,73.8 
29,34.8,,13.4,8.6,9.5,10.1,10.1,19.9,14.9,27.1,19.9,90.3 
30,30.8,,13.5,11.3,6.5,11.7,10.5,14.8,4.8,22.2,40.9,99.7 
31,46.2,,11.1,,7.3,,9.0,15.8,,12.6,,113.4
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:51:51
  
