dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,65.2,22.4,11.5,22.4,23.3,25.7,19.4,23.8,16.9,18.6,16.5,20.1 
2,37.0,29.4,14.8,17.7,23.3,17.8,19.5,22.0,17.3,14.4,16.2,14.7 
3,37.7,43.3,13.5,25.9,20.1,18.1,21.5,21.7,18.2,17.0,10.9,13.9 
4,38.2,65.9,12.0,48.8,16.1,18.3,39.8,17.3,16.3,11.3,10.2,17.1 
5,15.0,55.0,10.8,17.3,20.7,18.4,86.6,15.9,17.8,13.2,11.8,18.8 
6,12.8,51.7,12.2,10.5,13.8,18.0,23.7,19.0,19.0,14.8,12.5,16.9 
7,16.2,34.4,16.7,9.2,14.0,18.2,26.8,18.8,15.0,20.6,12.2,17.5 
8,24.7,22.2,17.9,9.2,11.9,21.3,19.8,17.5,14.4,25.9,14.5,21.5 
9,37.0,11.5,31.4,12.4,18.3,16.8,17.5,17.4,17.8,18.0,16.0,29.8 
10,44.4,16.4,40.7,17.5,19.2,19.8,15.1,16.1,21.9,12.5,12.1,24.2 
11,24.0,13.9,27.1,17.4,19.3,17.5,15.6,19.4,19.1,14.6,10.0,9.5 
12,36.5,10.2,15.7,15.0,17.6,26.5,17.1,15.0,17.7,17.1,10.9,8.3 
13,40.8,14.5,14.1,25.0,17.7,21.8,18.6,17.1,16.3,18.6,14.1,12.4 
14,21.4,14.1,11.0,24.8,10.0,21.5,19.0,18.5,17.9,18.8,22.2,8.9 
15,11.1,18.9,11.4,17.6,11.0,24.8,21.0,18.3,11.8,15.8,17.8,11.0 
16,13.4,35.6,13.9,12.0,13.0,28.8,22.1,25.5,20.5,18.5,7.2,15.6 
17,25.8,39.4,16.8,13.4,15.7,39.5,16.0,27.5,14.2,17.2,13.8,20.0 
18,37.2,46.0,22.8,16.5,25.6,33.8,17.9,24.4,16.5,14.4,16.5,19.7 
19,39.2,57.6,45.3,29.8,13.8,27.8,15.5,27.1,20.3,14.5,19.1,26.5 
20,58.6,47.2,40.6,21.3,17.8,26.2,13.8,27.3,16.6,15.1,19.1,22.7 
21,70.4,26.2,31.2,16.8,16.5,24.3,12.4,29.2,19.5,13.9,15.5,24.3 
22,27.4,16.5,23.2,14.8,13.2,24.0,11.4,30.2,26.3,16.4,9.6,19.9 
23,13.2,11.9,15.3,14.3,13.5,21.2,15.5,23.9,26.8,20.5,13.0,13.8 
24,22.3,9.9,12.1,12.3,16.5,22.0,18.3,25.0,25.5,13.5,16.5,15.5 
25,11.2,16.7,16.3,12.0,20.1,22.2,16.4,26.2,23.1,17.1,12.8,12.7 
26,12.1,21.8,11.5,14.1,22.3,23.2,15.6,29.7,23.3,17.5,19.0,14.9 
27,12.7,19.0,13.9,14.9,20.2,20.5,16.7,22.4,21.0,23.3,16.4,23.1 
28,14.6,9.6,14.3,13.9,21.6,21.0,20.6,21.1,21.2,22.2,15.0,19.9 
29,18.4,,17.2,19.2,30.3,21.3,21.9,18.5,18.2,9.8,12.0,17.9 
30,25.0,,26.8,45.3,34.8,21.7,23.3,14.2,18.7,9.4,13.6,27.4 
31,20.5,,24.4,,28.4,,21.1,19.0,,12.9,,28.0
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:56:14
  
