dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,2.7,,,0.5,3.2,,,,,,, 
2,,,2.1,,,,,,,,, 
3,,,,,,,,,,,5.0,2.0 
4,,,,,,,,,40.7,1.5,, 
5,,,,,,,,8.3,,,, 
6,,0.8,,,,4.9,2.7,,,,, 
7,2.6,,,3.4,4.1,,,,,,, 
8,,,0.5,,,,,,,,, 
9,,,,,,,,,,,3.4,3.8 
10,,,,,,,,,9.0,85.3,, 
11,,,,,,,,12.1,,,, 
12,,1.3,,,,2.8,6.6,,,,, 
13,3.7,,,1.7,2.3,,,,,,, 
14,,,1.7,,,,,,,,, 
15,,,,,,,,,,,3.5,7.5 
16,,,,,,,,,,13.5,, 
17,,,,,,,,12.9,,,, 
18,,1.1,,,,2.8,6.8,,,,, 
19,1.8,,,5.0,3.1,,,,,,, 
20,,,0.5,,,,,,,,, 
21,,,,,,,,,,,3.9,1.7 
22,,,,,,,,,1.8,1.5,, 
23,,,,,,,,21.6,,,, 
24,,2.0,,,,5.5,3.3,,,,, 
25,2.0,,,1.3,3.2,,,,,,, 
26,,,0.1,,,,,,,,, 
27,,,,,,,,,,,1.5,3.0 
28,,,,,,,,,2.0,3.7,, 
29,,,,,,,,4.5,,,, 
30,,,,,,4.5,,,,,, 
31,4.3,,,,1.2,,,,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:53:31
  
