dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,22.3,11.0,9.7,7.8,9.3,8.2,,10.1,9.9,,, 
2,25.6,4.5,5.1,5.6,8.4,8.9,6.4,7.4,9.7,,, 
3,19.3,2.8,3.6,4.7,8.3,8.9,8.4,10.2,11.3,,, 
4,23.5,1.9,3.5,7.1,9.3,14.4,11.1,7.2,11.2,,, 
5,10.5,3.3,5.0,4.3,6.0,14.1,11.5,8.0,12.2,,, 
6,5.9,5.2,2.2,4.8,,5.8,9.8,12.3,14.1,,, 
7,6.8,7.3,,5.5,,5.3,10.4,10.7,,,, 
8,11.1,7.6,2.4,7.7,,5.1,7.3,,,,, 
9,7.6,3.2,4.4,3.2,,7.6,7.6,5.6,,,, 
10,7.4,5.2,4.2,3.8,,10.9,7.0,4.6,6.0,,, 
11,12.2,4.3,5.7,5.6,9.5,12.7,5.9,5.8,,,, 
12,8.9,8.1,5.6,4.8,9.3,13.0,6.6,8.0,,,, 
13,5.4,4.2,3.9,7.2,5.0,10.7,9.4,11.7,19.2,,, 
14,9.6,3.3,6.6,7.0,7.7,6.9,6.3,12.6,19.7,,, 
15,5.3,3.0,10.4,4.6,5.4,7.7,6.9,13.1,16.3,,, 
16,4.7,3.5,9.9,6.2,2.9,7.4,5.7,11.8,10.3,,, 
17,4.9,4.0,8.6,7.3,5.7,8.8,6.9,10.9,9.9,,, 
18,6.0,5.4,7.8,10.8,6.1,11.3,,8.9,,,, 
19,7.5,11.6,8.4,10.1,2.6,10.9,6.9,7.1,,,, 
20,10.6,10.0,4.3,5.3,4.3,6.3,9.4,,,,, 
21,5.6,,4.8,6.6,4.1,9.1,8.0,,,,, 
22,9.5,,6.6,8.7,4.4,8.6,10.9,,,,, 
23,13.2,17.2,7.9,11.3,6.2,8.2,10.6,14.8,,,, 
24,19.4,14.7,8.4,10.8,8.0,9.7,9.8,10.7,,,, 
25,22.7,8.1,8.9,11.0,10.6,6.7,13.7,9.3,,,, 
26,22.9,6.6,5.8,9.4,4.0,5.5,8.7,,,,, 
27,22.6,4.1,4.7,10.2,5.0,6.2,11.7,9.6,,,, 
28,27.2,5.1,4.2,9.9,11.3,6.0,11.8,9.3,,,, 
29,28.7,,5.7,9.3,13.5,5.9,11.2,8.6,,,, 
30,33.2,,7.4,8.2,10.1,5.8,8.8,14.3,,,, 
31,18.0,,7.1,,9.3,,9.4,13.6,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:57:41
  
