dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,20.1,8.8,6.8,8.7,13.8,12.3,5.9,8.1,15.4,7.3,7.5,20.4 
2,21.1,10.4,8.0,8.6,9.9,5.8,7.5,7.4,10.1,7.8,6.9,7.0 
3,19.3,11.1,9.7,9.8,7.9,7.5,11.6,6.5,10.4,9.5,7.9,6.2 
4,13.8,9.3,11.7,9.7,9.8,10.4,9.8,7.3,12.5,9.3,10.1,9.0 
5,12.8,8.9,8.8,10.4,9.8,13.9,8.3,9.7,23.7,10.0,11.5,10.1 
6,25.1,16.8,12.0,11.3,12.3,10.4,7.5,12.2,24.0,9.6,18.1,9.4 
7,20.0,7.6,10.8,11.5,14.0,16.8,5.1,11.0,17.7,8.3,9.5,13.3 
8,7.8,6.7,10.5,11.9,7.8,13.3,4.1,18.5,15.4,10.3,9.4,17.2 
9,10.8,5.7,13.0,9.2,9.5,15.0,3.8,14.4,11.3,7.2,9.8,25.0 
10,12.3,8.6,9.9,10.7,10.5,7.1,3.8,8.3,15.4,7.5,10.3,17.9 
11,14.5,9.5,7.7,11.7,9.0,7.1,5.0,8.6,12.9,7.5,11.3,6.3 
12,10.2,10.3,6.8,13.0,11.2,10.3,4.8,9.4,13.4,7.6,9.9,8.9 
13,9.8,11.9,9.3,14.6,11.1,13.7,8.9,8.0,10.3,9.7,8.0,14.6 
14,14.5,10.2,14.5,12.5,12.9,12.8,10.2,5.6,11.4,11.1,10.4,18.6 
15,19.5,7.5,12.7,16.7,11.3,15.4,6.0,9.6,12.5,8.8,9.8,11.6 
16,19.8,9.4,12.1,17.5,13.0,13.4,4.9,10.3,11.5,,8.3,9.6 
17,30.9,7.0,10.5,14.8,11.6,10.2,2.8,7.9,8.5,2.4,9.9,10.1 
18,17.1,10.6,8.4,10.0,9.0,9.3,3.0,8.1,8.3,,15.1,13.5 
19,20.4,9.8,8.4,9.8,7.8,11.4,4.7,7.3,,,14.3,11.8 
20,11.9,8.3,11.7,14.4,8.7,9.2,5.1,6.4,2.5,5.1,11.5,17.0 
21,14.0,10.5,14.3,17.8,15.3,12.9,3.6,7.0,,8.3,13.2,10.3 
22,15.3,11.6,15.0,10.1,10.4,16.3,4.8,8.7,,8.6,10.3,8.7 
23,19.2,11.7,12.8,9.8,10.9,12.1,5.7,9.3,1.4,7.8,7.1,11.3 
24,38.2,12.7,12.8,10.8,12.9,7.9,6.7,7.6,3.3,7.5,10.5,11.7 
25,14.6,12.9,9.1,9.3,13.3,4.8,22.9,8.9,6.8,8.3,13.3,8.5 
26,15.2,10.1,6.8,8.9,11.1,5.0,12.1,9.0,9.1,7.6,18.6,11.2 
27,12.3,10.3,11.2,11.4,13.5,5.1,10.8,11.4,9.9,8.0,26.8,14.3 
28,10.9,7.4,9.0,15.5,10.8,7.5,6.4,8.9,10.7,6.5,16.1,18.7 
29,9.3,,10.8,12.0,11.3,10.1,6.3,8.5,8.8,10.2,11.6,9.8 
30,11.0,,9.2,11.3,18.2,13.0,6.5,9.7,7.4,11.1,10.1,6.0 
31,10.5,,9.2,,11.5,,6.9,11.5,,7.2,,13.4
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:00:26
  
