dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,4.8,3.5,9.8,6.4,5.0,5.9,9.8,9.5,56.7,10.7,23.4,7.4 
2,5.9,6.6,8.3,5.9,8.5,6.6,13.3,13.2,29.5,,26.8,10.0 
3,10.4,5.0,6.4,,6.6,7.5,11.0,21.6,40.7,,11.1,10.3 
4,11.5,7.2,5.8,4.0,6.3,5.5,5.8,12.1,65.5,11.1,10.9,5.4 
5,,5.7,4.9,3.3,5.9,4.8,,13.4,94.3,,14.3,9.3 
6,4.5,8.1,6.7,17.1,5.8,5.4,5.4,5.5,52.0,,17.3,6.2 
7,5.3,9.6,10.6,5.5,1.6,7.0,,6.8,36.0,33.6,10.4,6.4 
8,6.7,9.1,8.1,9.0,5.6,6.6,7.0,10.6,38.6,,10.7,6.8 
9,,9.9,5.7,9.8,9.6,3.9,9.3,19.6,19.9,,11.2,6.1 
10,6.9,5.8,5.1,14.8,8.0,6.3,,8.5,46.0,35.7,13.0,5.2 
11,3.9,7.3,2.5,18.0,9.8,5.4,4.6,25.7,14.9,,15.8,4.8 
12,4.3,9.7,3.6,11.9,7.3,9.7,6.3,17.8,8.5,,20.9,4.5 
13,12.0,8.9,1.5,6.4,8.4,8.0,6.3,11.3,16.1,40.6,22.0,5.8 
14,9.2,5.4,2.4,9.3,7.1,5.5,13.3,84.2,8.9,,18.7,6.0 
15,8.3,1.7,4.6,10.0,6.3,4.9,15.0,20.0,28.8,,26.5,9.0 
16,7.9,,3.2,8.5,11.2,8.1,6.1,26.8,29.3,,8.3,18.1 
17,,,4.3,5.1,12.3,2.1,,35.1,28.3,,6.0,19.9 
18,10.8,0.2,5.2,6.3,7.0,4.1,31.9,14.5,37.0,72.5,8.2,15.7 
19,5.8,,8.1,7.7,8.4,,92.8,10.3,32.4,82.4,17.3,13.4 
20,6.0,,13.9,6.4,12.0,4.1,109.8,41.7,24.2,18.8,7.1,13.9 
21,6.1,0.5,16.4,6.4,7.0,7.7,81.9,22.7,4.6,70.9,4.8,12.8 
22,8.8,7.0,14.1,7.3,5.5,1.4,34.2,36.4,9.3,51.7,7.6,15.0 
23,1.6,4.6,6.0,8.0,7.4,3.3,25.2,27.1,11.4,28.0,17.3,9.7 
24,5.7,6.6,8.8,3.3,7.8,5.1,14.0,9.7,8.8,24.8,9.7,7.2 
25,6.0,10.6,7.6,5.1,8.1,4.5,8.0,32.8,28.4,35.8,9.8,10.5 
26,8.6,7.8,14.1,5.8,6.8,4.5,7.9,36.3,12.8,39.5,10.9,7.8 
27,11.3,9.4,5.6,7.5,9.4,2.7,6.0,10.0,8.9,29.3,7.1,9.8 
28,11.1,8.6,8.5,5.4,8.5,,9.9,1.9,11.3,42.2,6.6,9.6 
29,8.0,,4.6,5.8,7.5,3.5,6.5,38.8,21.0,35.2,7.4,11.0 
30,3.8,,7.5,6.6,6.3,6.9,6.8,12.3,9.0,35.6,7.5,11.0 
31,3.9,,7.0,,7.3,,5.6,55.1,,38.9,,16.4
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:01:40
  
