dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,11.3,15.6,8.5,8.7,6.1,2.5,6.0,12.3,46.4,6.0,12.9,16.0 
2,9.0,3.5,7.5,6.1,5.4,3.4,7.0,13.8,15.2,9.5,13.8,16.5 
3,7.4,3.5,7.5,10.0,4.9,4.5,6.6,12.0,20.4,7.4,8.8,9.8 
4,5.0,3.7,5.5,8.0,2.8,5.4,6.7,12.0,53.1,7.7,7.7,16.7 
5,12.2,3.4,4.7,5.0,2.3,8.2,5.0,12.0,25.0,8.6,9.0,19.2 
6,14.4,3.3,8.6,6.0,7.2,8.0,5.8,13.4,10.8,8.9,7.6,22.4 
7,6.6,4.3,6.5,7.3,6.8,4.9,8.3,16.3,10.8,8.0,11.6,21.8 
8,0.0,3.1,7.2,5.4,9.0,2.4,4.6,18.4,10.8,5.5,7.5,20.3 
9,5.0,2.1,4.3,4.2,9.6,2.9,6.5,12.3,13.4,37.5,6.3,18.6 
10,2.5,5.0,4.0,8.9,8.0,5.7,5.7,11.5,12.6,127.4,6.5,16.5 
11,4.4,6.8,5.0,7.4,5.0,5.3,8.4,14.6,14.8,21.7,10.4,21.1 
12,8.5,7.5,5.2,3.5,5.1,4.8,9.9,14.8,14.7,33.0,8.4,20.9 
13,10.0,10.1,6.5,4.4,5.0,6.8,8.6,8.8,10.4,22.8,7.5,29.1 
14,13.1,7.0,6.1,7.1,6.1,3.9,9.4,8.3,8.0,22.3,10.1,32.3 
15,13.3,7.7,4.9,6.3,7.5,3.6,9.5,13.3,11.5,48.4,10.3,21.8 
16,10.2,6.4,1.9,5.5,4.4,2.9,7.8,12.7,27.5,34.8,6.0,11.4 
17,15.9,5.5,6.7,6.1,6.2,1.6,10.0,12.3,22.0,30.4,10.0,17.2 
18,12.0,3.2,4.8,4.3,8.5,3.3,9.0,16.9,6.6,18.7,20.2,14.5 
19,4.0,2.8,8.4,8.8,5.8,8.0,7.3,47.6,6.8,7.0,14.5,19.3 
20,4.4,3.8,3.8,6.3,5.6,6.0,5.2,34.0,5.7,7.6,12.0,9.6 
21,5.6,4.0,3.0,5.6,6.0,7.1,8.2,17.6,5.8,5.9,13.3,22.9 
22,4.6,6.8,5.3,6.5,6.1,7.5,8.2,13.6,7.0,7.5,12.2,23.5 
23,7.8,7.3,7.6,4.4,7.8,14.3,7.4,33.5,7.2,10.2,9.7,20.0 
24,9.0,11.0,6.0,2.3,5.1,4.9,7.0,38.1,7.0,6.3,6.3,18.5 
25,15.0,11.0,7.0,4.3,4.4,3.0,7.7,20.4,9.0,7.9,6.3,20.3 
26,9.7,10.0,5.5,2.8,6.4,2.4,6.8,12.5,9.9,6.5,5.6,20.4 
27,9.6,6.2,8.2,5.3,5.6,3.5,7.8,9.2,12.5,7.7,9.0,12.7 
28,14.2,9.3,8.2,8.5,6.1,3.3,8.1,9.7,8.5,5.1,13.1,13.6 
29,13.9,,8.8,8.3,4.9,6.7,8.3,9.1,6.7,6.6,13.6,15.9 
30,10.8,,10.0,6.5,2.8,7.5,8.8,11.4,7.8,6.8,16.0,15.7 
31,12.1,,10.3,,2.9,,8.9,39.8,,11.4,,20.6
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:03:24
  
