dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,28.9,2.9,14.5,,9.5,8.8,17.5,20.2,8.8,10.1,6.0,16.0 
2,32.4,6.3,9.9,,8.1,10.5,15.5,11.1,11.2,6.7,14.2,18.7 
3,43.0,18.8,5.4,8.0,14.4,12.2,9.8,16.8,10.0,6.5,13.5,27.3 
4,33.6,13.1,6.5,,9.7,14.2,13.2,13.0,10.7,8.4,31.9,31.5 
5,6.8,17.4,5.2,7.9,8.2,9.1,13.5,11.3,14.5,8.3,33.8,36.3 
6,1.3,29.0,2.2,12.5,6.8,10.5,11.6,11.0,18.5,9.8,14.5,19.1 
7,5.6,23.3,2.9,12.6,12.7,10.8,8.7,10.8,21.0,12.4,17.7,16.8 
8,10.5,24.1,,12.6,9.6,9.9,7.7,9.7,21.0,10.3,16.2,12.8 
9,7.1,18.8,,4.4,9.5,7.1,5.9,9.3,18.4,8.9,19.7,8.2 
10,14.6,19.1,13.1,4.8,12.1,6.1,6.0,15.3,16.2,12.7,28.1,6.3 
11,11.3,22.9,6.1,7.8,11.8,7.6,7.3,13.3,10.9,13.5,38.5,7.8 
12,18.4,28.2,1.0,8.9,13.3,7.5,7.1,13.8,13.0,13.0,21.5,14.2 
13,9.9,17.7,3.9,8.7,13.7,10.3,10.1,12.8,12.3,13.8,13.0,24.1 
14,10.7,16.2,2.3,7.5,5.2,5.8,10.1,8.7,15.0,9.1,18.9,31.5 
15,9.2,32.9,5.5,3.3,5.6,5.5,11.7,10.8,15.0,8.8,14.7, 
16,10.3,35.0,8.2,7.9,6.1,4.2,10.5,12.6,14.4,7.2,5.8,9.2 
17,9.4,14.2,9.4,11.1,6.4,5.9,7.7,19.5,16.1,8.6,12.3,14.1 
18,4.0,3.8,9.4,10.2,7.0,4.4,5.5,18.9,16.9,6.0,14.2,23.0 
19,2.7,3.7,8.1,9.0,11.0,7.6,5.5,18.3,15.8,8.6,11.1,16.8 
20,9.1,10.1,2.8,6.9,4.4,6.3,7.0,22.3,22.5,14.9,10.7,31.9 
21,12.9,14.5,2.7,5.2,4.6,8.1,6.3,15.9,7.8,16.3,9.9,27.5 
22,6.4,9.0,4.2,3.6,5.0,8.3,7.5,13.7,8.8,17.8,12.3,36.4 
23,3.4,9.3,3.5,5.5,4.8,6.5,8.0,11.7,10.0,22.0,9.3,25.9 
24,10.7,23.5,5.8,4.5,4.3,7.5,12.4,13.0,12.3,10.7,15.2,8.6 
25,13.1,20.7,5.6,4.9,6.7,8.0,15.3,11.9,13.4,9.5,19.2,8.8 
26,10.4,14.4,5.3,5.5,9.6,9.5,14.4,10.8,13.5,9.8,18.4,16.5 
27,12.8,3.4,3.7,6.1,11.3,9.8,16.2,14.6,15.7,19.0,7.8,17.4 
28,23.9,7.5,4.3,8.2,11.5,10.8,10.8,14.7,17.7,16.3,6.3,17.6 
29,43.0,9.6,1.6,9.6,11.8,10.6,8.3,14.9,17.4,20.3,13.7,42.8 
30,11.6,,4.3,4.0,12.7,15.3,8.8,8.3,12.5,10.3,17.2,41.8 
31,4.1,,7.8,,11.5,,12.7,6.7,,6.8,,13.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:05:34
  
