dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,0.7,,1.4,,,,,7.0,,,, 
2,,,,,,4.0,5.4,,,,0.5,0.7 
3,,0.5,,2.3,2.5,,,,2.3,0.4,, 
4,2.5,,0.6,,,,,5.6,,,, 
5,,,,,,5.2,3.3,,,,2.1,0.2 
6,,0.8,,,1.3,,,,2.9,1.0,, 
7,0.1,,,,,,,3.0,,,, 
8,,,,,,1.6,1.7,,,,1.6,0.2 
9,,0.7,,0.6,2.2,,,,3.9,2.0,, 
10,0.3,,0.6,,,,,7.3,,,, 
11,,,,,,2.1,1.4,,,,3.0,0.2 
12,,0.6,,,2.5,,,,3.8,2.5,, 
13,0.6,,0.6,,,,,3.5,,,, 
14,,,,,,1.6,2.3,,,,0.8,0.3 
15,,0.4,,1.6,1.5,,,,3.2,0.9,, 
16,0.3,,3.3,,,,,4.6,,,, 
17,,,,,,1.4,1.8,,,,1.0,0.7 
18,,0.4,,3.1,1.4,,,,29.5,6.4,, 
19,0.3,,1.4,,,,,11.2,,,, 
20,,,,,,1.6,1.4,,,,1.9,0.5 
21,,1.3,,1.7,1.3,,,,9.4,2.1,, 
22,0.5,,0.8,,,,,5.7,,,, 
23,,,,,,1.0,1.3,,,,,0.7 
24,,1.2,,2.3,1.3,,,,1.1,1.6,, 
25,0.3,,1.0,,,,,5.6,,,, 
26,,,,,,6.1,5.8,,,,,0.7 
27,,0.5,,2.5,3.1,,,,1.1,3.2,, 
28,0.4,,0.7,,,,,7.5,,,, 
29,,,,,,3.9,4.9,,,,,0.7 
30,,,,0.7,4.2,,,,4.9,0.5,, 
31,0.2,,1.4,,,,,3.4,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:07:42
  
