dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.3,7.3,6.2,4.8,8.2,8.0,6.0,8.0,9.2,4.3,4.1,5.0 
2,7.6,8.0,7.6,3.1,6.8,4.8,4.5,7.3,6.0,5.5,5.5,4.2 
3,11.8,6.0,9.1,3.9,4.8,6.0,7.3,5.9,4.8,5.7,4.8,5.2 
4,14.7,6.9,8.9,3.3,3.4,9.1,7.3,4.6,5.2,7.0,5.6,3.9 
5,21.0,6.4,9.8,4.9,4.0,9.7,10.1,3.2,9.6,6.0,5.0,3.1 
6,14.0,6.0,10.8,6.8,8.6,11.3,5.6,7.2,20.2,5.5,7.4,5.4 
7,11.8,8.0,9.6,6.9,9.4,14.6,5.3,6.0,15.3,5.4,5.7,6.3 
8,6.3,6.6,9.0,6.4,6.8,10.8,3.2,10.3,12.6,5.9,6.4,5.5 
9,6.0,6.3,9.8,7.4,4.0,9.0,4.5,8.6,8.2,5.4,5.6,4.9 
10,5.3,7.6,10.0,7.1,5.9,6.0,3.1,4.6,9.4,5.1,5.5,7.0 
11,5.8,6.8,5.8,9.2,4.5,7.0,3.8,5.7,9.5,6.2,6.9,4.2 
12,7.4,8.0,6.9,9.4,5.6,5.8,2.9,5.3,9.4,4.4,7.9,5.7 
13,4.8,6.2,10.5,9.0,6.3,6.5,5.2,3.4,8.0,8.2,5.1,5.0 
14,5.3,6.1,8.3,10.5,7.0,11.3,12.1,1.9,9.0,8.3,5.9,6.6 
15,6.1,6.5,5.3,11.5,7.5,11.5,10.2,4.6,8.3,5.7,7.3,5.2 
16,6.6,8.3,5.3,14.0,8.5,7.5,10.9,5.3,5.9,4.6,7.3,4.4 
17,6.1,7.2,3.8,11.2,7.7,8.3,4.7,4.6,3.8,3.7,5.6,5.8 
18,7.3,7.2,6.4,8.6,5.4,8.3,4.9,3.5,4.1,4.3,5.6,4.9 
19,10.0,8.2,7.7,7.2,3.5,6.9,3.5,3.0,5.7,3.0,4.4,5.4 
20,7.9,6.4,10.0,9.7,6.2,5.8,3.7,4.0,4.8,3.3,4.8,5.2 
21,11.2,6.1,12.0,13.5,6.7,9.8,2.6,3.7,3.7,4.5,5.7,3.8 
22,8.6,7.8,12.6,8.3,4.4,9.1,3.1,3.5,5.5,4.8,4.2,4.0 
23,9.7,7.2,10.3,6.5,5.0,9.8,1.1,3.0,5.1,4.3,4.0,4.8 
24,14.2,10.1,9.5,7.4,5.0,8.7,5.2,4.1,2.3,4.7,5.3,5.4 
25,11.1,12.0,6.2,6.6,8.8,3.0,10.8,5.1,3.7,5.6,5.3,9.3 
26,9.6,8.8,6.0,6.5,6.2,4.0,10.8,7.5,4.9,5.6,11.0,5.5 
27,10.0,6.7,7.9,7.0,8.8,2.5,9.6,7.0,6.2,5.1,5.4,7.6 
28,6.0,7.0,6.8,11.3,8.2,5.0,7.3,6.8,6.5,5.5,5.8,7.0 
29,7.7,,3.8,8.8,8.4,8.4,5.5,6.1,7.0,5.6,6.6,8.2 
30,7.0,,4.1,9.7,12.0,11.3,6.2,4.1,5.7,6.5,5.6,7.8 
31,8.2,,4.2,,9.0,,5.0,5.0,,5.5,,13.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:10:04
  
