dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,15.9,3.8,4.6,9.6,11.6,3.6,7.0,6.8,11.3,7.3,3.6,5.5 
2,5.4,3.1,5.7,7.9,12.3,5.7,6.9,6.5,15.7,6.4,4.5,8.7 
3,2.9,3.2,4.7,11.9,7.1,7.3,6.5,9.1,34.0,8.8,5.9,5.8 
4,2.4,2.7,3.3,6.9,8.1,8.2,9.2,8.0,43.6,7.9,5.7,3.7 
5,4.2,2.0,3.1,7.2,5.1,9.9,6.7,5.3,10.5,17.8,3.4,4.1 
6,5.7,3.4,3.2,6.0,10.1,11.7,6.3,5.5,14.7,12.6,2.2,3.2 
7,3.4,2.9,4.0,3.5,15.9,7.8,11.5,13.2,11.3,8.1,3.7,7.0 
8,6.2,3.1,5.7,3.0,12.8,4.9,13.4,11.8,10.8,12.3,3.0,9.3 
9,4.6,4.1,3.9,2.6,10.6,4.4,10.1,10.1,7.7,11.2,2.6,6.9 
10,1.8,4.1,5.0,3.8,7.2,5.6,10.8,10.9,9.3,12.3,4.8,4.8 
11,4.8,4.5,6.2,6.8,6.1,3.4,11.8,13.6,10.8,26.1,2.0,13.3 
12,3.0,4.8,4.1,3.0,4.6,8.2,12.1,11.9,10.5,29.2,1.8,7.0 
13,5.5,3.3,4.8,3.6,4.8,6.4,9.3,6.8,6.9,23.5,2.3,8.0 
14,4.3,4.8,6.2,4.0,5.8,8.1,9.1,6.0,7.2,12.8,2.8,8.8 
15,7.0,5.2,4.9,4.0,6.4,7.0,9.4,8.4,7.3,7.9,4.5,14.3 
16,7.4,4.2,4.2,4.9,4.0,7.5,14.6,8.8,12.1,12.3,3.4,9.7 
17,6.7,30.3,4.3,2.1,5.2,11.8,15.5,9.1,11.0,13.5,2.4,4.7 
18,11.3,6.0,6.5,3.0,7.4,16.3,12.5,10.8,3.5,18.3,4.0,8.0 
19,5.0,4.2,5.1,6.0,9.6,13.3,9.5,9.9,5.3,6.8,3.7,6.8 
20,5.1,3.3,4.1,6.5,6.6,11.6,6.1,8.8,3.2,3.5,4.8,6.3 
21,4.3,4.5,3.1,6.3,6.0,11.0,7.5,9.4,3.7,4.7,5.5,6.3 
22,9.0,4.2,3.3,5.5,7.0,12.1,7.6,10.2,4.2,5.3,5.6,8.4 
23,3.1,3.9,4.1,4.9,8.5,7.8,6.9,12.4,3.1,4.8,8.4,7.2 
24,3.2,4.3,4.8,4.2,6.3,5.6,5.4,8.9,4.8,4.7,5.7,18.4 
25,4.7,4.8,4.5,4.0,5.0,5.5,6.1,8.8,7.0,6.5,5.3,16.6 
26,6.0,5.4,3.8,3.3,3.0,4.0,4.7,13.7,7.7,9.1,5.3,11.2 
27,4.7,4.0,5.5,5.8,5.0,3.9,6.3,13.4,8.0,8.3,4.5,9.5 
28,5.8,3.6,6.1,8.9,5.3,6.5,8.7,17.1,7.4,8.5,3.9,6.4 
29,4.8,,7.0,9.8,4.8,9.6,9.5,17.5,6.1,8.3,4.0,8.4 
30,3.7,,9.8,7.5,4.3,8.7,6.1,7.7,6.0,5.3,5.3,8.7 
31,5.9,,8.5,,3.3,,5.2,7.3,,2.9,,10.0
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:09:29
  
