dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,12.1,9.8,3.3,9.3,5.5,-1.7,16.0,11.0,10.3,9.2,5.3,12.1 
2,8.9,9.4,,6.3,9.7,-0.8,8.2,11.3,13.4,8.0,7.6,7.2 
3,12.1,11.2,,5.8,,-2.1,6.5,13.9,14.1,6.9,9.0,16.3 
4,12.0,8.0,-2.0,4.3,,-3.0,7.4,12.1,14.5,7.1,12.5,21.0 
5,5.5,11.2,-5.3,5.4,6.8,-5.1,8.7,11.5,14.8,7.3,10.3,22.4 
6,4.1,9.3,2.7,6.4,6.2,-5.5,12.4,13.0,20.8,6.5,6.5,14.4 
7,7.7,10.3,1.8,8.1,2.6,,8.4,12.7,22.0,8.2,7.1,15.5 
8,6.7,5.1,5.0,7.3,2.4,,5.0,13.1,13.9,10.0,9.2,12.3 
9,10.1,8.3,,0.3,4.7,,4.9,11.2,,9.8,9.1,10.4 
10,2.0,9.0,,2.8,9.3,,9.3,12.3,,7.7,8.9,5.2 
11,5.2,11.9,3.8,4.7,9.0,,11.6,9.0,,9.3,12.3,13.4 
12,14.2,9.3,3.2,5.5,8.2,,11.7,6.9,,7.5,10.3,12.9 
13,7.9,7.5,3.7,6.7,7.6,,11.7,9.1,,5.8,11.8,11.0 
14,6.8,5.1,4.6,6.1,4.0,9.5,13.5,9.1,10.9,2.8,12.0,10.5 
15,5.0,4.7,6.5,5.2,4.8,8.8,12.0,7.0,8.8,5.4,12.2,3.7 
16,6.8,5.2,6.3,6.2,4.6,6.5,9.6,7.9,9.5,3.6,10.0,9.9 
17,5.0,7.3,5.7,7.2,5.5,5.0,11.3,7.8,7.7,7.9,12.8,16.3 
18,3.3,8.4,4.3,9.3,12.6,8.6,7.2,9.1,8.0,7.7,22.5,20.6 
19,5.2,6.9,3.5,7.0,8.9,9.2,7.2,12.9,8.4,9.6,10.7,18.6 
20,4.7,9.7,2.8,5.7,4.4,12.0,9.3,12.0,12.5,9.8,9.2,18.0 
21,6.4,6.8,8.0,2.1,4.3,16.6,8.3,8.0,9.3,7.3,7.5,24.4 
22,2.1,6.3,7.0,2.8,3.4,15.6,10.8,7.2,6.6,7.1,11.8,24.3 
23,6.0,8.3,3.0,2.5,2.5,9.9,13.8,6.7,7.3,8.8,10.7,14.7 
24,10.8,11.5,3.7,4.8,2.2,7.4,15.6,6.6,7.3,6.3,14.8,23.0 
25,6.6,10.7,5.9,6.2,3.0,12.8,12.3,8.2,8.0,6.1,16.4,17.4 
26,6.8,7.3,4.9,7.0,8.6,15.0,13.5,7.4,9.3,4.2,10.5,14.4 
27,8.0,2.6,2.8,3.3,10.9,11.4,12.0,10.4,7.4,3.7,8.2,18.6 
28,8.7,5.1,6.4,5.0,,14.1,11.7,9.5,8.1,2.3,6.6,18.5 
29,5.0,2.8,6.8,7.5,,13.5,11.0,8.3,9.3,2.6,10.4,23.3 
30,5.5,,7.3,4.0,,19.2,12.0,8.9,8.3,5.2,15.8,19.0 
31,5.2,,7.6,,,,10.9,9.3,,6.0,,18.4
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:11:21
  
