dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.3,14.8,8.8,9.4,11.0,11.4,,13.8,16.0,11.2,12.5,23.5 
2,22.8,15.8,9.5,11.0,12.4,10.7,,20.3,13.6,13.2,12.0,19.6 
3,18.0,,8.6,13.2,9.1,11.0,,23.6,14.8,14.1,17.7,12.9 
4,20.5,,4.4,13.3,12.2,11.5,,10.2,12.5,15.1,14.7,14.1 
5,19.9,7.0,11.0,11.6,10.3,11.5,5.1,11.1,9.2,13.0,17.0,18.4 
6,16.0,9.9,10.1,9.4,9.6,11.3,,11.5,11.1,9.9,16.3,13.8 
7,18.5,5.3,8.3,10.9,10.8,10.5,3.8,9.9,17.1,12.1,17.3,16.3 
8,16.8,5.8,12.1,9.5,10.0,11.1,4.0,17.5,15.9,12.5,17.1,5.9 
9,23.0,13.0,,10.6,12.6,13.0,,15.8,12.6,12.8,15.5,0.8 
10,18.5,14.4,14.1,13.3,13.8,11.5,12.5,14.3,11.4,13.0,15.5,11.8 
11,21.0,16.0,11.1,10.1,13.0,13.1,10.5,11.1,14.7,10.7,15.0,15.4 
12,15.4,5.9,7.0,11.5,13.3,10.9,11.6,9.5,34.4,11.0,14.6,16.6 
13,15.1,14.7,2.8,13.0,13.5,10.8,10.1,13.6,130.1,10.2,16.1,13.0 
14,14.5,12.0,,11.0,12.5,11.7,10.8,9.5,78.8,11.1,22.6,17.1 
15,18.3,14.8,6.3,9.6,12.4,10.0,10.2,8.8,12.5,12.0,16.4,21.2 
16,12.5,14.8,,9.7,15.8,12.5,15.0,8.7,11.5,7.8,12.6,22.8 
17,14.3,13.8,,10.2,16.1,12.1,11.1,10.5,12.8,6.7,16.6,22.0 
18,11.6,10.8,,9.4,14.4,15.4,8.8,13.3,12.0,7.0,18.5,14.8 
19,12.6,12.9,3.7,12.0,14.8,11.6,10.4,13.8,11.0,7.4,16.5,12.4 
20,14.5,11.4,10.5,15.5,12.7,9.3,12.5,12.8,10.4,3.3,15.7,15.8 
21,13.3,13.5,10.6,15.0,14.6,10.0,15.0,27.0,11.8,4.1,14.5,8.7 
22,19.9,11.0,10.4,12.2,14.0,10.4,12.1,24.2,9.5,6.3,15.0,-2.3 
23,21.2,11.6,9.0,12.9,12.7,10.9,13.0,15.3,9.0,12.2,19.4,0.6 
24,16.1,12.8,8.1,8.3,12.4,11.7,9.4,9.8,9.2,14.6,13.7,0.0 
25,14.8,13.2,9.4,11.0,11.3,21.0,11.2,9.3,11.1,13.1,17.1,1.3 
26,15.2,12.3,8.3,12.0,12.0,16.2,11.1,10.5,11.9,11.8,23.3,0.5 
27,12.7,15.0,9.0,9.6,12.2,14.3,23.6,12.3,10.7,15.6,18.5,2.5 
28,9.8,7.5,9.5,9.3,12.5,13.6,11.4,11.9,10.9,13.0,20.7,2.6 
29,13.9,,9.5,10.4,10.7,11.5,9.7,9.9,13.5,9.7,23.0,2.4 
30,13.9,,10.0,11.0,10.3,12.8,12.7,8.8,13.0,11.7,24.1,4.0 
31,11.3,,14.0,,10.6,,12.8,11.2,,12.4,,19.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:14:27
  
