dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,1.1,5.6,9.6,7.9,7.7,4.9,11.5,12.6,13.7,7.0,11.2, 
2,6.9,3.9,4.2,8.2,10.8,3.8,10.8,10.0,9.3,8.7,17.1, 
3,10.6,3.5,2.3,2.1,12.4,6.9,11.9,9.8,9.5,8.4,17.9, 
4,14.6,2.0,3.3,1.1,11.5,7.4,37.2,10.1,13.6,9.0,19.8, 
5,13.7,1.6,9.1,1.6,9.1,8.5,14.1,12.7,13.7,12.4,20.9, 
6,8.2,3.4,6.6,3.1,2.9,8.3,12.5,11.8,12.9,13.4,18.4, 
7,6.5,6.8,4.1,8.7,1.4,4.5,9.7,11.1,12.7,13.6,33.2, 
8,6.7,8.3,2.9,10.7,2.6,7.3,9.9,12.0,10.6,10.5,26.5, 
9,14.5,8.0,3.9,9.4,1.0,14.9,11.4,12.3,11.4,7.8,11.4, 
10,14.9,5.5,3.0,3.2,0.7,12.1,16.7,10.4,11.8,11.8,15.5, 
11,22.0,6.1,5.7,8.4,4.0,10.4,14.3,7.1,11.9,4.4,22.0, 
12,6.3,4.6,6.8,8.7,4.9,11.6,15.7,8.4,16.4,8.7,30.8, 
13,10.6,4.1,8.8,9.0,6.3,11.7,12.9,13.3,17.2,10.9,30.9, 
14,5.0,4.3,2.3,9.9,8.4,9.2,16.5,18.7,13.3,11.1,18.7, 
15,4.4,5.8,2.0,9.9,6.1,8.5,15.5,18.1,14.9,18.2,12.9, 
16,2.0,2.7,3.2,5.7,3.8,8.6,14.4,9.1,12.9,14.9,22.4, 
17,2.8,3.8,5.9,7.8,5.8,3.8,10.5,5.7,7.6,10.9,8.6, 
18,10.3,5.0,9.0,12.5,8.2,6.6,10.1,4.3,6.3,11.0,, 
19,10.7,6.8,11.1,12.1,2.1,11.0,5.4,7.6,6.0,14.0,, 
20,4.2,5.5,5.5,3.8,2.5,4.1,8.1,7.8,6.6,10.7,, 
21,2.4,4.1,4.4,4.9,4.8,2.0,7.6,9.9,10.7,9.7,, 
22,3.4,8.1,6.5,7.2,3.7,4.9,9.1,11.2,9.7,8.0,, 
23,5.2,7.2,5.3,13.1,6.7,11.5,11.1,10.6,8.4,9.8,, 
24,8.6,11.1,6.4,12.4,8.5,9.6,11.5,8.1,11.5,7.5,, 
25,4.7,8.9,12.8,8.8,4.5,5.9,14.5,8.0,9.8,4.4,, 
26,3.8,10.8,12.6,6.8,3.5,5.0,15.6,7.6,6.0,5.9,, 
27,10.3,7.4,5.5,6.6,4.0,9.2,12.7,9.2,5.3,10.5,, 
28,21.3,6.7,3.9,5.7,5.1,10.1,11.1,9.9,1.7,8.8,, 
29,20.7,,8.1,4.4,8.2,12.8,11.8,13.6,5.0,11.3,, 
30,14.7,,12.1,3.9,11.7,12.5,12.4,10.5,5.7,9.8,, 
31,10.3,,7.6,,9.5,,14.4,13.3,,8.5,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:18:25
  
