dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,10.0,12.5,7.4,8.9,6.9,8.5,8.6,8.1,6.3,6.5,12.0, 
2,21.3,3.9,6.5,4.7,7.9,8.0,8.6,11.0,5.8,5.8,10.3, 
3,27.0,5.0,6.6,6.1,10.2,9.2,10.2,6.8,7.0,6.0,9.5, 
4,28.2,3.8,5.8,6.6,10.9,11.6,17.1,6.3,7.7,7.8,9.7, 
5,17.5,7.6,4.7,5.1,8.0,11.4,9.7,7.8,5.6,10.5,13.2, 
6,6.8,7.3,2.7,5.6,7.0,8.5,9.9,9.7,5.7,7.7,14.0, 
7,5.3,7.6,4.1,5.2,8.9,6.8,10.7,10.3,4.5,10.8,12.4, 
8,10.8,10.7,4.3,6.0,12.3,6.0,8.7,10.4,5.4,13.2,11.2, 
9,7.1,7.8,6.3,3.2,11.1,6.9,7.6,9.4,5.2,6.7,8.5, 
10,7.5,4.4,4.7,4.8,7.9,8.2,9.4,6.2,5.1,5.0,8.3, 
11,8.8,7.0,5.5,4.4,12.3,9.1,7.0,8.1,8.3,14.9,13.1, 
12,10.9,5.7,3.2,5.5,12.0,11.9,6.7,7.8,8.9,22.7,9.8, 
13,11.4,4.2,3.9,6.8,7.6,10.5,5.6,8.3,7.0,19.6,14.9, 
14,11.4,5.2,6.3,7.6,6.9,12.6,6.0,8.0,7.3,13.2,37.1, 
15,5.2,5.0,7.9,6.7,8.0,10.2,5.8,7.8,4.6,12.8,7.6, 
16,5.5,4.8,7.3,5.9,6.8,11.9,7.2,9.1,4.3,12.5,13.4, 
17,7.9,4.3,8.5,8.2,8.1,12.0,7.7,11.7,6.2,4.6,13.6, 
18,7.9,4.8,8.2,9.3,6.8,10.9,8.6,9.8,4.4,6.9,, 
19,6.9,5.1,7.5,9.8,5.5,10.6,9.3,9.4,3.8,7.4,, 
20,6.5,5.9,4.8,6.6,5.9,8.5,7.9,9.3,6.5,9.8,, 
21,6.3,3.1,6.8,6.1,4.0,8.4,8.0,9.1,6.5,7.0,, 
22,8.1,6.4,7.9,5.7,3.8,6.7,9.3,6.3,11.6,11.4,, 
23,9.0,8.5,9.2,8.0,8.8,8.8,6.8,6.6,7.1,6.3,, 
24,13.5,9.6,8.4,9.9,9.5,10.8,5.9,8.0,7.4,8.4,, 
25,13.0,8.6,10.2,9.5,10.9,10.1,7.6,7.8,7.0,7.8,, 
26,19.0,4.0,5.5,10.5,6.2,5.8,7.8,8.0,10.1,8.6,, 
27,17.5,3.7,4.1,14.0,7.5,6.5,11.1,8.2,5.8,4.9,, 
28,16.9,4.2,5.1,13.0,7.3,6.7,9.7,7.2,6.3,8.4,, 
29,27.2,,5.4,12.8,12.4,8.0,13.6,8.7,4.9,7.2,, 
30,32.7,,6.6,12.7,9.7,8.2,9.8,9.0,5.9,9.5,, 
31,35.8,,6.3,,7.3,,9.7,6.4,,13.0,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:29:31
  
