dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,48.6,73.9,49.6,16.0,6.3,7.1,8.5,111.3,38.5,7.8,36.9,44.1 
2,10.3,58.8,43.7,18.0,6.1,6.5,8.5,70.5,31.0,10.4,24.4,42.9 
3,17.8,27.3,44.3,20.6,5.9,7.7,8.5,65.2,26.0,8.5,12.3,22.1 
4,28.7,14.7,14.8,19.9,6.8,6.5,9.8,37.1,35.3,14.1,10.6,18.3 
5,10.9,23.9,11.5,13.6,6.7,6.0,9.0,32.7,23.8,13.1,15.3,29.8 
6,19.2,10.6,11.4,11.5,10.3,7.0,6.6,74.2,18.1,10.9,31.7,33.7 
7,29.1,18.1,29.4,12.1,6.7,6.5,7.3,46.8,15.8,10.8,53.0,31.6 
8,18.3,38.3,36.5,14.7,5.3,4.7,12.0,41.5,15.2,8.7,48.7,30.2 
9,6.0,18.2,36.4,15.1,7.6,4.6,12.9,30.7,12.1,8.5,9.1,29.8 
10,4.8,17.3,42.0,23.4,9.0,4.9,7.6,25.0,12.5,28.5,13.0,35.9 
11,9.9,28.6,30.0,18.3,9.3,3.8,7.7,25.0,12.4,100.4,35.5,42.3 
12,27.9,29.0,26.7,8.3,5.3,6.7,11.5,18.7,11.8,19.3,43.7,40.5 
13,19.6,28.2,24.9,8.0,12.6,8.1,12.7,17.4,11.4,16.4,23.5,40.0 
14,24.0,37.3,22.9,11.3,9.5,4.9,13.8,11.0,12.5,11.9,23.7,37.5 
15,17.2,39.4,21.8,15.5,10.2,3.6,15.5,9.9,18.6,13.1,24.3,44.2 
16,27.1,20.2,17.6,14.5,9.7,4.6,8.9,14.0,17.2,20.5,16.9,8.1 
17,30.1,18.0,20.0,7.7,6.3,2.5,7.6,17.0,20.6,23.9,19.5,15.8 
18,35.3,17.0,30.0,11.2,7.0,3.4,8.5,14.2,13.7,22.3,47.1,30.8 
19,20.9,16.1,28.2,13.2,6.6,6.1,7.9,33.2,7.9,21.5,51.5,44.7 
20,14.3,22.0,18.5,8.2,7.7,10.4,8.8,28.5,10.2,12.1,48.0,20.3 
21,26.6,10.1,9.1,9.7,6.2,9.2,8.2,24.9,7.2,20.8,37.4,26.3 
22,9.8,10.9,14.5,14.2,6.9,5.8,9.5,20.3,12.9,20.4,14.2,37.8 
23,40.3,27.0,9.0,7.8,8.3,8.4,10.8,15.4,18.5,11.0,26.3,49.7 
24,37.1,29.2,13.3,6.3,8.5,9.5,12.3,11.3,11.3,9.5,24.1,37.5 
25,32.7,34.8,12.2,9.3,14.0,9.6,10.5,10.0,9.4,12.0,50.0,44.5 
26,23.9,29.4,19.7,7.8,9.8,6.3,10.4,10.3,8.6,12.0,14.9,47.5 
27,34.8,17.9,16.1,8.8,7.0,4.2,10.8,8.6,7.1,12.1,21.6,53.9 
28,27.5,38.8,18.5,10.5,5.9,4.3,9.0,9.3,11.9,14.4,40.8,59.7 
29,39.5,,16.0,8.0,7.5,5.6,23.6,10.5,11.6,14.1,37.7,60.8 
30,37.3,,8.6,11.0,7.6,7.8,84.8,25.3,15.1,26.5,48.0,49.1 
31,61.6,,6.1,,7.5,,108.5,29.3,,28.0,,57.3
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:37:13
  
