dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.8,41.8,8.2,18.6,18.2,4.1,8.7,9.7,7.6,24.8,17.8, 
2,26.0,24.7,17.1,11.3,12.0,4.9,8.3,8.3,9.3,22.2,27.5, 
3,43.1,14.9,7.6,13.7,10.6,5.8,9.6,8.5,7.2,18.2,27.0, 
4,49.7,10.0,6.7,19.5,11.7,7.7,8.9,9.9,9.1,13.1,22.0, 
5,24.6,18.0,8.0,15.9,12.7,7.1,9.8,9.2,10.0,6.7,23.9, 
6,11.5,32.5,4.0,9.9,13.1,4.6,11.9,8.6,8.3,8.6,23.1, 
7,22.0,33.2,6.2,10.3,12.0,2.2,12.3,9.8,7.1,7.1,25.3, 
8,55.4,23.4,3.9,10.8,10.5,6.3,9.5,9.9,7.5,20.4,23.8, 
9,23.4,11.5,4.2,7.3,8.8,6.0,8.0,9.3,9.0,11.9,22.3, 
10,27.7,14.5,4.7,15.3,6.8,9.2,8.8,9.5,10.7,9.4,26.3, 
11,50.3,28.8,22.8,15.0,10.5,9.3,7.5,7.3,33.5,18.7,19.9, 
12,37.3,27.0,30.1,15.0,10.7,11.2,7.8,8.8,26.9,21.7,26.3, 
13,43.1,19.3,11.7,16.3,11.5,12.5,7.9,9.8,18.2,28.9,28.4, 
14,18.9,4.9,12.4,11.0,10.9,12.1,6.8,7.9,9.4,22.0,26.9, 
15,16.1,8.0,18.0,12.8,11.7,11.9,6.8,8.0,8.8,20.1,31.3, 
16,14.5,21.1,26.5,9.7,14.0,10.7,9.0,9.4,8.3,25.1,26.8, 
17,10.0,22.8,24.8,11.9,10.5,7.7,8.9,11.3,8.9,15.0,16.9, 
18,27.7,36.0,21.4,2.2,11.6,9.0,9.5,10.3,8.5,19.3,, 
19,42.8,25.2,26.3,7.1,9.0,9.6,10.8,9.9,10.4,21.3,, 
20,18.7,19.0,15.3,9.4,8.0,10.3,10.4,6.8,11.8,31.0,, 
21,20.4,13.5,16.0,7.3,8.6,7.3,9.6,8.3,12.0,24.5,, 
22,18.9,22.3,21.4,8.0,10.0,7.3,8.3,7.9,10.5,22.7,, 
23,38.5,19.4,21.9,6.6,2.9,7.5,8.8,8.1,9.3,16.8,, 
24,29.7,13.8,26.7,5.3,3.0,7.7,9.1,10.6,8.3,10.3,, 
25,21.1,8.3,22.8,2.8,3.3,10.8,8.5,9.3,6.7,13.6,, 
26,23.9,13.9,11.0,3.0,2.0,7.1,9.7,7.5,8.9,13.4,, 
27,50.6,10.5,13.7,3.8,3.1,7.8,12.5,10.2,10.6,9.3,, 
28,26.5,16.1,16.5,6.2,2.1,8.2,11.6,9.8,11.7,16.7,, 
29,37.8,,18.7,5.9,2.9,7.7,10.2,8.8,12.0,17.4,, 
30,36.3,,29.2,26.2,4.2,9.5,7.3,6.9,20.1,15.0,, 
31,41.2,,18.9,,3.3,,8.3,6.1,,34.5,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:36:08
  
