dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.5,5.3,24.0,17.2,17.1,24.2,21.5,16.9,22.3,14.0,16.1,16.7 
2,25.3,9.7,24.4,18.6,20.3,28.8,15.9,19.2,25.5,15.1,11.7,6.2 
3,32.2,8.8,25.6,16.0,19.4,21.6,15.0,12.9,14.6,13.4,7.8,11.1 
4,12.6,4.9,18.9,14.1,19.1,21.0,22.2,16.4,14.6,13.5,14.7,19.0 
5,12.5,3.4,15.4,18.2,9.9,20.8,60.9,20.7,15.5,13.8,22.7,36.0 
6,7.7,5.7,5.1,18.5,7.4,18.0,18.0,22.3,21.6,18.0,24.7,23.0 
7,7.4,6.0,6.0,18.4,8.5,16.0,19.1,21.3,23.9,9.8,19.4,21.6 
8,16.5,4.3,6.5,22.8,11.5,19.3,21.4,21.8,23.0,14.7,13.2,29.0 
9,19.9,4.9,11.5,8.5,11.5,23.4,20.0,24.6,20.5,15.2,8.2,36.0 
10,15.7,12.3,19.0,7.9,17.4,24.6,14.8,20.0,21.8,13.8,10.0,40.6 
11,6.1,22.0,13.0,8.8,27.0,12.4,14.8,17.7,18.7,17.5,12.2,30.4 
12,17.5,35.3,6.2,12.7,24.8,7.4,18.9,18.2,18.0,28.5,16.2,26.5 
13,25.1,45.4,10.3,13.6,19.1,13.3,22.7,16.7,8.4,28.1,13.2,40.4 
14,25.6,26.9,6.6,20.3,16.4,17.3,23.6,16.5,12.5,36.9,20.3,39.5 
15,28.1,6.8,14.8,12.3,20.4,21.1,21.6,14.8,14.1,25.5,21.1,32.7 
16,31.0,9.4,10.0,5.2,11.8,18.6,25.0,16.0,18.0,13.0,26.8,8.3 
17,47.3,14.1,18.6,8.5,14.0,23.7,23.2,15.4,25.3,10.3,8.2,17.4 
18,37.8,12.9,30.7,10.6,22.6,19.7,13.8,18.1,21.9,20.9,7.7,13.4 
19,25.5,12.4,31.9,12.4,21.4,16.0,16.0,16.8,25.1,11.9,18.0,2.6 
20,26.2,20.8,31.1,12.8,10.0,20.6,14.0,14.7,21.7,4.6,19.3,11.1 
21,16.6,30.8,25.2,11.8,8.3,20.7,13.9,14.2,15.3,14.1,7.6,7.5 
22,16.0,14.4,9.3,13.6,8.3,17.5,17.8,15.5,19.3,17.1,17.6,7.5 
23,24.1,7.6,6.8,10.7,8.5,19.2,22.3,16.0,19.0,13.6,28.2,11.5 
24,14.9,7.2,9.1,13.0,7.7,20.2,17.9,20.7,17.1,13.1,17.1,10.2 
25,8.0,14.6,18.1,12.6,6.6,25.6,17.5,24.2,11.6,20.3,21.3,38.0 
26,5.0,23.9,22.1,13.9,11.6,24.7,16.7,16.5,9.9,29.7,16.3,11.3 
27,11.1,33.7,22.5,20.8,17.4,22.2,13.8,29.6,13.1,39.0,10.3,14.0 
28,18.6,35.3,10.9,11.9,18.0,20.9,14.7,22.3,12.6,24.8,14.3,10.2 
29,27.8,32.8,8.6,16.0,13.2,22.0,22.1,24.5,13.7,17.9,5.5,25.8 
30,20.9,,10.5,13.8,18.2,23.7,110.6,24.1,15.3,11.3,9.3,16.0 
31,5.0,,11.9,,20.4,,15.0,23.2,,9.7,,13.8
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:42:15
  
