dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,5.3,11.2,9.8,6.2,6.5,6.8,8.0,5.5,4.7,5.9,19.7, 
2,33.3,3.0,5.0,5.0,7.3,6.7,8.7,5.9,4.5,6.1,26.3, 
3,40.9,2.0,7.5,2.6,11.1,7.2,9.3,4.1,5.7,5.2,20.6, 
4,41.4,1.0,5.4,3.5,8.9,10.7,23.4,3.5,5.6,6.1,19.9, 
5,22.5,2.9,5.3,4.4,6.2,12.9,9.5,8.3,4.0,6.5,20.8, 
6,7.8,6.9,1.9,4.4,4.0,6.0,9.8,8.1,3.3,13.5,19.0, 
7,4.1,12.8,1.3,5.4,5.7,4.4,9.0,7.9,3.7,11.3,21.1, 
8,9.8,12.6,2.3,7.8,8.4,3.7,7.1,6.0,3.5,9.2,19.8, 
9,4.6,6.6,2.0,1.0,7.4,4.0,7.0,4.6,4.3,6.9,16.9, 
10,10.3,3.1,3.5,2.5,6.4,7.1,3.6,2.6,4.7,6.0,17.8, 
11,7.8,4.9,3.6,3.7,7.7,8.2,4.3,4.0,5.9,14.4,18.9, 
12,11.6,7.4,3.5,2.1,6.6,9.5,6.0,5.5,10.5,20.7,17.8, 
13,18.6,2.4,4.2,4.6,3.3,9.5,5.7,7.0,13.1,18.6,22.0, 
14,16.8,3.0,3.3,5.6,2.7,7.9,5.8,7.5,7.7,13.5,8.7, 
15,2.8,3.6,6.0,6.5,4.3,7.7,5.4,8.1,4.5,15.3,8.5, 
16,7.3,3.3,8.6,4.0,4.5,8.2,5.1,9.3,3.1,9.4,19.4, 
17,5.9,5.4,8.0,5.6,4.7,10.5,8.0,11.0,4.0,4.8,23.1, 
18,9.7,6.5,10.1,7.9,3.9,9.0,6.5,6.5,3.3,4.9,, 
19,9.0,2.5,10.9,7.8,3.6,8.5,7.3,5.3,3.3,6.5,, 
20,4.8,4.4,4.3,5.0,3.4,7.3,6.3,5.0,6.2,14.7,, 
21,2.5,1.4,5.9,6.1,3.8,5.5,6.2,5.0,6.8,7.5,, 
22,4.9,4.7,6.8,6.4,2.6,6.9,6.8,4.2,5.9,11.0,, 
23,11.3,10.5,5.6,7.5,7.0,8.4,7.8,7.8,4.3,11.8,, 
24,21.2,12.6,6.3,9.4,7.4,9.7,6.7,6.4,4.3,6.1,, 
25,20.3,5.4,8.5,10.0,6.0,7.8,7.5,5.3,7.4,15.9,, 
26,24.0,4.0,1.6,10.4,5.1,3.8,5.8,5.3,9.1,15.3,, 
27,27.2,2.7,3.5,13.3,6.0,4.9,7.8,4.3,4.4,19.8,, 
28,23.4,4.6,4.3,14.8,6.8,5.0,9.4,5.4,5.1,6.1,, 
29,34.5,,5.9,11.3,11.8,6.7,13.8,6.8,4.0,9.7,, 
30,35.0,,6.2,11.2,8.3,6.4,7.9,7.0,4.4,9.8,, 
31,37.1,,8.5,,5.8,,9.7,6.9,,15.8,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:44:29
  
