dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,3.4,2.3,1.5,3.1,6.9,1.3,5.0,6.2,6.7,4.1,4.1,9.0 
2,6.8,7.5,2.2,3.6,8.0,2.1,3.8,4.8,3.6,5.4,1.7,6.0 
3,7.3,9.8,2.7,6.1,7.5,3.5,0.8,4.5,3.5,6.3,2.9,3.8 
4,8.0,7.6,3.4,7.3,5.0,4.0,7.2,2.4,3.3,4.6,1.3,1.9 
5,8.3,6.2,6.4,1.8,5.8,4.8,3.1,2.7,2.4,3.3,2.0,4.3 
6,9.0,4.5,7.8,2.5,7.0,1.0,2.7,7.4,3.4,4.9,4.2,4.7 
7,6.8,1.5,5.0,0.5,5.0,2.5,2.9,5.5,1.4,6.8,3.0,6.3 
8,3.6,1.7,7.4,1.5,7.4,4.5,4.6,5.6,3.9,7.4,2.4,6.5 
9,3.0,4.4,8.9,2.4,5.8,2.6,-0.9,1.9,6.7,5.9,0.1,3.6 
10,5.3,3.1,7.6,0.1,5.3,4.0,0.8,1.7,4.7,3.7,2.1,2.9 
11,9.2,1.8,,0.2,4.3,6.7,3.4,0.5,5.0,3.3,2.2,1.9 
12,12.8,2.6,5.3,3.3,4.9,6.6,2.2,0.0,7.7,4.1,4.1,4.2 
13,7.6,4.2,3.0,4.0,2.8,5.5,2.8,2.0,4.5,4.6,6.5,3.3 
14,4.5,7.6,2.1,3.2,1.3,11.2,2.7,,3.5,3.2,5.7,2.5 
15,6.8,3.3,2.1,3.1,2.5,9.7,3.1,,4.2,4.5,2.5,3.0 
16,3.1,4.3,2.7,2.1,2.8,9.9,2.3,19.9,1.1,5.7,2.3,2.3 
17,5.8,7.4,2.5,3.5,2.5,9.3,3.7,,4.0,3.7,4.5,1.9 
18,7.9,10.5,3.4,7.3,3.3,6.8,3.0,18.7,3.2,1.9,3.7,2.2 
19,2.5,14.7,4.1,4.7,2.9,4.6,2.0,11.5,2.4,0.4,5.5,1.8 
20,3.0,10.1,3.3,4.1,3.4,4.8,4.6,12.3,3.2,2.9,3.6,1.2 
21,5.6,5.9,2.8,4.1,2.0,3.6,5.1,10.3,6.0,3.3,4.3,1.7 
22,7.5,4.2,2.9,3.0,1.7,5.4,3.6,6.0,8.0,4.7,6.8,2.5 
23,5.6,3.8,3.2,6.5,4.8,7.2,5.6,6.3,3.8,5.3,7.3,4.3 
24,6.2,3.1,3.5,4.4,4.1,7.4,2.9,10.6,3.5,5.7,5.6,3.1 
25,2.8,5.3,4.6,1.3,0.8,7.5,2.4,11.3,2.5,6.7,4.0,3.3 
26,1.7,5.9,2.3,3.3,0.4,6.2,3.8,9.6,2.9,2.7,5.2,2.0 
27,2.2,2.3,2.6,3.5,2.4,3.3,6.7,6.5,5.3,4.5,3.0,3.1 
28,3.4,0.8,4.9,5.9,2.8,0.4,6.1,2.8,7.6,4.6,4.0,5.7 
29,4.8,,4.8,6.0,4.2,3.1,5.9,0.8,6.3,3.6,4.6,5.5 
30,6.9,,5.5,5.8,4.2,5.3,6.0,3.4,6.8,3.4,8.8,5.2 
31,3.1,,4.5,,3.1,,5.3,4.0,,2.7,,8.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 23:31:31
  
