dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,5.0,13.1,20.3,12.7,13.0,11.9,19.3,18.3,17.0,14.3,19.1, 
2,9.7,5.5,5.8,15.2,17.8,10.4,18.3,19.3,14.6,17.0,20.0, 
3,16.0,6.5,5.3,9.3,20.2,14.5,17.3,17.2,15.6,19.2,27.7, 
4,21.7,7.3,8.4,6.9,19.5,19.1,27.1,15.6,17.1,19.3,33.8, 
5,28.5,6.8,18.8,5.8,12.5,17.3,71.3,18.5,18.1,18.1,35.4, 
6,15.4,10.2,7.5,7.6,10.6,17.7,17.9,18.0,17.9,19.6,34.0, 
7,12.3,13.0,9.0,13.2,8.3,14.0,15.4,15.6,15.6,21.5,37.2, 
8,6.2,15.9,8.4,18.4,11.3,15.5,15.1,19.5,11.7,21.8,23.1, 
9,7.5,20.1,7.7,15.3,12.0,14.8,17.9,19.2,15.1,17.1,13.8, 
10,30.1,13.4,8.6,9.6,6.4,20.5,20.2,15.4,13.2,14.8,19.0, 
11,31.2,11.5,10.2,14.7,10.6,20.9,23.4,10.6,14.6,10.2,32.0, 
12,14.3,10.3,11.2,13.2,11.1,19.6,25.0,15.5,20.4,14.8,33.6, 
13,15.1,12.2,13.5,12.2,13.3,17.4,21.6,12.2,18.2,19.8,40.2, 
14,9.5,6.8,4.9,11.9,19.2,13.8,18.3,19.7,18.9,17.2,44.1, 
15,9.7,10.6,3.2,14.7,16.6,15.7,23.6,20.1,16.2,21.6,33.2, 
16,4.6,8.2,7.0,11.2,8.2,16.0,21.1,16.1,16.4,18.9,28.2, 
17,6.6,8.1,9.8,13.5,12.5,10.3,16.4,10.7,13.4,20.0,16.4, 
18,16.1,10.6,15.4,17.5,11.5,14.2,16.4,10.2,14.9,14.9,, 
19,11.4,14.7,21.1,23.0,7.0,15.7,12.6,14.3,14.7,18.6,, 
20,10.0,15.4,13.4,11.9,9.4,14.1,12.1,17.4,12.3,14.8,, 
21,6.4,15.8,11.7,9.4,9.1,7.2,14.0,18.9,15.3,11.8,, 
22,5.6,15.7,12.3,13.1,11.0,8.7,17.3,19.6,11.4,15.4,, 
23,13.7,13.9,11.9,20.7,13.7,14.0,12.1,18.2,15.5,18.6,, 
24,13.5,16.4,11.4,22.5,13.6,16.4,8.7,14.3,16.7,8.9,, 
25,9.6,22.7,22.3,20.9,10.9,15.0,11.1,13.8,12.7,15.7,, 
26,7.8,24.1,24.6,14.6,7.3,14.4,19.4,13.0,17.9,16.0,, 
27,12.4,23.0,14.9,19.1,7.3,14.8,20.7,15.4,12.6,20.2,, 
28,33.5,15.5,10.5,17.7,12.4,16.2,17.7,14.3,8.2,22.1,, 
29,43.7,,13.2,9.2,15.2,17.2,16.6,17.4,10.4,25.2,, 
30,28.2,,13.7,10.1,18.8,15.1,18.0,16.7,13.0,19.1,, 
31,25.1,,10.7,,19.7,,19.7,17.3,,32.9,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 23:35:31
  
