dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,62.5,17.8,6.8,21.6,22.6,11.8,17.9,12.0,15.1,17.1,15.5,18.1 
2,26.3,12.6,7.0,20.1,17.2,10.4,16.5,13.2,13.3,12.2,11.6,16.8 
3,29.4,25.5,7.6,21.7,14.7,9.9,9.9,13.4,10.0,15.0,5.1,13.9 
4,35.9,39.1,14.6,18.7,11.4,9.6,8.2,14.6,9.5,7.3,7.7,20.4 
5,16.5,47.0,14.6,15.1,7.2,9.8,6.0,13.3,12.1,7.2,11.0,17.4 
6,9.4,47.8,17.0,6.7,7.8,8.0,5.8,11.9,14.8,14.2,11.6,14.0 
7,11.6,26.3,14.2,4.6,9.5,11.1,7.6,15.4,15.6,14.9,9.6,23.1 
8,14.2,21.7,16.8,4.9,9.7,15.4,10.5,11.6,20.2,18.5,13.1,28.7 
9,18.1,18.0,18.4,10.3,11.1,15.1,7.3,11.8,24.0,21.5,14.3,36.3 
10,18.5,19.8,33.3,10.0,12.0,11.9,6.5,11.1,16.6,13.6,8.1,27.6 
11,10.4,11.7,29.7,12.9,16.9,8.0,4.4,9.6,19.1,17.3,11.0,9.2 
12,12.1,8.3,27.8,15.0,16.9,10.5,6.0,9.6,13.5,21.2,10.8,18.7 
13,13.6,14.0,16.5,14.8,12.8,6.8,9.6,13.3,9.6,14.0,15.3,13.6 
14,9.6,12.9,12.0,14.1,8.3,7.9,10.5,16.8,9.3,12.5,15.8,9.8 
15,9.6,15.3,11.2,20.5,6.1,11.5,13.6,15.5,3.5,7.0,11.3,14.8 
16,10.1,27.3,14.1,12.8,9.0,17.7,11.7,20.1,5.2,7.2,7.8,11.9 
17,15.2,25.8,17.2,17.4,9.9,22.7,11.0,19.5,6.6,10.5,13.7,16.9 
18,20.0,25.7,17.5,19.6,7.9,17.8,10.8,17.8,11.7,6.1,17.7,23.2 
19,16.7,35.9,14.0,17.7,7.7,19.5,9.7,17.9,14.1,8.6,23.0,23.7 
20,26.6,32.8,18.1,13.9,7.6,22.6,6.0,17.2,13.5,8.7,22.8,11.7 
21,32.6,14.8,28.3,10.5,6.5,17.1,2.5,20.1,17.1,14.4,12.9,22.4 
22,12.8,7.7,13.4,10.6,5.4,16.0,4.4,22.7,13.5,15.8,10.3,6.7 
23,9.1,10.1,10.0,9.3,5.1,15.8,5.9,18.1,17.3,16.0,16.3,13.0 
24,12.3,12.3,15.6,7.5,10.0,17.0,9.2,17.4,31.1,18.3,14.0,27.0 
25,11.4,15.3,19.2,8.2,8.3,15.0,10.6,21.9,18.1,15.0,6.9,12.8 
26,8.9,19.4,15.4,11.3,6.9,15.0,11.3,25.1,15.4,17.2,11.8,12.5 
27,9.0,15.5,19.1,14.6,6.7,11.8,9.7,19.9,18.7,17.3,12.2,20.9 
28,16.1,5.8,16.8,16.0,10.3,10.9,11.2,18.6,18.0,25.9,11.0,15.0 
29,16.8,,17.3,19.3,16.1,11.1,13.7,15.9,19.1,10.4,10.9,23.9 
30,15.1,,19.1,23.7,20.0,15.5,12.3,10.4,20.7,17.1,15.9,15.9 
31,17.6,,19.5,,18.7,,12.3,13.8,,16.3,,32.7
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 23:52:16
  
