dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,22.0,4.5,3.5,4.0,9.1,9.3,3.8,9.3,11.6,8.1,5.0,12.9 
2,20.4,5.0,3.7,3.4,2.7,3.5,4.8,7.5,5.4,8.8,5.8,3.4 
3,17.0,5.3,5.1,4.4,2.6,6.1,9.0,5.5,7.5,11.8,7.2,3.1 
4,12.8,5.9,5.7,3.4,2.6,11.4,8.6,2.2,12.0,10.9,10.9,5.6 
5,9.4,4.0,8.2,6.0,3.9,13.2,6.2,4.0,17.5,8.0,11.7,7.0 
6,25.0,6.4,9.1,9.5,6.0,10.4,3.4,5.8,19.5,,14.4,2.7 
7,16.2,4.9,7.7,10.1,8.6,16.4,2.7,7.3,11.8,,8.8,11.2 
8,4.7,,9.4,7.8,4.2,12.2,2.2,14.5,10.3,,10.3,7.4 
9,6.6,3.6,6.7,3.5,3.2,13.3,2.0,11.0,7.5,,8.9,14.5 
10,10.0,3.9,4.8,6.3,2.9,4.4,0.9,3.4,11.8,,12.0,13.6 
11,6.1,6.3,3.1,8.6,3.4,7.9,1.2,6.7,10.0,6.2,6.7,3.1 
12,6.7,7.3,5.8,9.6,7.6,4.5,1.8,3.0,10.1,12.0,5.8,5.9 
13,7.6,5.3,6.0,11.2,9.8,9.9,5.3,3.7,10.2,12.5,4.4,11.5 
14,11.3,3.5,11.1,11.5,9.6,14.6,11.9,2.5,10.9,8.0,8.4,5.6 
15,14.6,6.0,7.9,13.2,8.6,14.2,5.6,5.6,7.9,5.1,9.8,5.5 
16,17.8,6.8,7.3,14.0,8.7,9.4,3.1,5.5,6.8,7.4,5.4,5.0 
17,33.3,6.6,6.6,10.7,6.0,9.7,2.5,3.4,4.8,5.6,6.3,7.6 
18,20.3,7.7,6.1,8.7,4.0,11.8,1.3,3.9,4.6,5.6,16.2,5.6 
19,22.0,5.8,8.5,4.6,3.2,8.1,1.8,2.1,4.9,3.0,9.8,5.4 
20,18.0,7.1,13.2,8.9,4.5,8.5,1.0,2.8,4.3,3.8,10.9,13.3 
21,12.5,7.9,13.1,12.3,11.3,12.3,1.3,3.3,2.6,3.8,11.2,0.8 
22,14.8,9.5,13.5,3.2,4.8,10.5,0.0,4.2,4.4,7.2,3.6,7.9 
23,13.1,8.0,9.2,2.4,2.6,10.5,1.1,4.3,1.8,6.4,4.2,10.1 
24,25.8,9.0,9.5,5.2,7.9,7.1,6.4,3.5,0.9,6.5,9.3,3.8 
25,18.3,11.0,5.0,2.4,11.0,2.2,14.7,5.7,2.5,6.0,15.6,0.9 
26,15.6,5.9,6.2,1.7,7.5,2.0,11.7,3.5,6.0,6.1,19.2,2.0 
27,8.4,5.8,8.3,4.3,10.2,1.1,10.4,6.7,8.0,5.2,27.4,7.9 
28,6.3,3.5,4.1,8.3,6.9,3.4,5.6,3.3,9.4,6.5,13.8,13.6 
29,3.4,,4.7,8.1,10.7,8.2,6.0,4.6,8.1,11.4,6.6,8.8 
30,6.7,,4.7,9.3,13.2,14.2,3.8,6.3,7.2,9.6,5.5,4.1 
31,5.4,,3.3,,8.0,,6.1,7.3,,4.4,,5.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:52:13
  
