dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,13.7,50.1,10.0,10.4,8.0,5.2,8.8,11.1,40.4,8.0,16.2,31.4 
2,9.1,11.1,14.8,14.1,5.6,6.1,10.8,17.9,36.5,7.0,17.6,30.6 
3,12.4,5.9,16.7,7.9,6.6,7.3,9.2,12.2,28.8,11.1,19.7,3.2 
4,5.1,5.8,4.0,10.4,8.5,7.4,12.6,13.1,34.5,10.7,7.2,2.2 
5,5.6,9.4,3.9,9.1,7.8,9.3,10.0,13.9,11.5,8.2,7.1,7.9 
6,12.6,5.7,8.1,9.1,7.2,17.7,5.6,12.4,12.5,14.5,8.4,36.7 
7,13.5,4.8,13.6,5.7,8.8,11.5,5.7,20.6,11.5,20.5,15.8,36.0 
8,4.7,5.6,7.8,5.2,12.2,5.5,5.1,15.8,15.7,15.6,18.8,37.1 
9,5.1,7.7,10.0,6.4,11.3,5.3,6.1,16.8,12.6,22.9,5.9,44.0 
10,5.5,5.3,10.5,7.1,9.5,5.0,9.6,19.0,12.7,24.3,9.8,37.7 
11,6.8,2.2,10.7,9.9,6.5,5.1,13.2,18.1,13.8,42.7,10.4,33.2 
12,8.3,10.5,4.5,6.3,5.2,7.8,13.2,18.8,13.1,23.3,15.2,37.0 
13,6.9,14.6,9.7,5.4,3.8,8.3,12.6,11.8,7.5,53.8,13.2,38.4 
14,14.8,15.9,17.4,5.3,6.5,7.3,10.3,12.5,10.4,16.3,6.8,51.6 
15,21.9,28.1,13.8,7.0,8.6,7.2,15.9,14.3,11.5,22.0,13.6,50.8 
16,22.7,8.7,4.6,10.5,6.0,5.9,11.8,13.3,18.5,28.0,4.4,8.3 
17,26.7,5.0,10.8,9.8,3.9,6.6,14.1,14.2,25.4,29.5,3.0,14.1 
18,23.1,4.0,12.4,5.1,7.1,7.0,14.3,15.0,7.2,26.7,14.9,36.4 
19,5.6,4.7,7.5,9.3,8.0,9.2,14.1,16.0,8.3,10.3,23.5,31.9 
20,4.7,3.8,8.2,6.9,9.6,13.5,12.4,16.2,4.2,6.0,37.0,8.0 
21,6.2,4.5,4.9,6.4,9.0,13.0,9.2,12.3,4.9,6.5,24.3,10.6 
22,4.3,3.8,5.0,6.6,9.6,15.6,10.5,13.3,6.3,6.9,22.9,36.8 
23,5.8,5.3,5.4,5.4,10.6,10.5,10.5,22.8,5.7,10.3,14.4,41.6 
24,8.7,9.8,13.0,4.9,9.5,7.3,9.5,16.5,6.2,19.0,11.3,41.9 
25,18.8,9.8,8.5,4.1,8.4,6.1,9.4,16.7,9.0,25.2,26.5,37.0 
26,11.5,8.3,5.3,4.6,8.1,5.2,7.5,14.9,12.3,20.3,35.5,33.3 
27,15.0,4.0,3.7,6.7,7.8,5.1,8.6,11.3,13.3,21.5,5.2,34.5 
28,21.3,6.0,4.3,6.0,8.7,8.9,12.5,13.8,12.3,16.7,13.5,35.4 
29,22.8,,9.5,6.5,7.0,11.4,11.3,14.0,8.5,14.8,14.7,48.3 
30,30.1,,8.7,9.7,10.6,10.7,9.3,7.8,6.8,11.7,27.5,51.5 
31,37.7,,5.2,,4.5,,7.2,22.1,,9.7,,47.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:02:24
  
