dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.4,3.5,4.5,6.8,7.8,2.0,19.4,7.2,7.4,17.2,12.6, 
2,12.1,5.2,3.0,5.0,13.8,2.5,16.8,4.1,8.3,8.6,14.3, 
3,10.2,5.2,2.0,1.9,11.2,3.4,13.6,4.0,8.0,11.2,10.3, 
4,10.3,3.5,4.5,3.4,9.1,6.2,11.4,5.2,8.2,12.8,9.8, 
5,6.5,4.3,3.5,2.3,7.7,7.5,6.3,8.5,6.8,8.0,9.3, 
6,5.8,4.9,3.3,3.0,3.3,6.7,8.2,7.0,8.0,8.3,10.5, 
7,7.5,5.5,3.2,9.5,2.9,20.9,9.3,6.3,16.6,6.8,11.2, 
8,6.2,4.4,4.7,11.8,4.2,9.5,7.7,10.1,24.8,6.9,11.5, 
9,5.5,3.4,3.3,21.0,3.7,11.5,7.1,9.3,25.7,8.9,15.3, 
10,7.3,5.3,4.7,18.6,2.0,11.2,5.5,5.7,12.6,8.3,10.3, 
11,7.3,6.0,4.1,20.0,15.0,11.3,4.8,6.5,6.5,10.3,9.0, 
12,5.4,5.9,18.3,16.8,7.2,6.9,4.7,6.9,9.3,10.0,8.6, 
13,6.7,3.1,10.5,7.8,6.2,6.3,7.0,5.9,9.8,8.6,8.2, 
14,4.5,4.6,5.9,5.9,6.5,4.8,7.5,5.8,9.4,9.5,8.8, 
15,3.6,3.2,6.5,8.6,5.1,5.5,14.7,5.0,4.5,10.2,9.5, 
16,5.5,5.9,12.1,10.4,4.5,2.8,11.3,4.7,5.1,7.8,11.3, 
17,10.3,5.1,7.6,9.9,12.9,3.4,7.5,5.5,18.0,22.1,12.5, 
18,10.0,4.8,8.0,7.3,4.2,4.6,6.5,5.2,9.5,14.3,, 
19,7.8,6.6,5.3,4.2,4.6,4.2,4.9,3.5,21.0,17.2,, 
20,6.7,6.7,4.8,6.4,6.5,3.4,5.8,8.6,13.0,8.2,, 
21,9.5,4.1,4.5,19.5,8.0,3.6,4.7,26.2,9.3,4.5,, 
22,6.1,5.9,3.7,11.3,11.8,6.9,5.1,4.3,9.7,9.2,, 
23,6.5,7.2,7.7,11.5,4.6,5.9,5.8,5.5,4.6,12.5,, 
24,8.2,6.7,10.0,10.5,6.7,5.3,9.3,8.2,7.8,10.8,, 
25,16.0,5.0,7.1,7.2,6.5,3.9,14.9,5.6,9.6,6.9,, 
26,11.3,4.0,5.0,5.3,4.2,7.4,6.4,3.2,9.5,10.6,, 
27,14.0,3.3,3.2,7.2,8.6,12.8,4.9,4.0,7.0,13.0,, 
28,14.2,3.6,4.9,6.5,17.3,7.0,6.0,4.1,10.2,15.0,, 
29,9.5,,10.5,7.1,11.0,6.6,11.1,12.9,16.8,12.3,, 
30,9.4,,13.9,9.3,5.3,6.6,11.5,7.2,14.7,10.8,, 
31,5.1,,8.9,,4.0,,6.0,6.8,,7.2,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:18:12
  
