dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,8.8,2.0,-2.4,8.0,10.2,11.7,17.2,10.6,9.1,5.0,4.8,7.3 
2,10.0,4.3,-1.0,9.3,13.3,13.7,10.2,11.2,11.5,4.4,5.7,5.7 
3,15.4,10.0,-1.2,8.7,11.4,12.5,8.6,14.6,11.0,4.2,7.7,7.6 
4,6.6,6.8,-0.6,8.4,9.5,12.5,8.8,9.6,12.8,4.9,10.8,9.0 
5,0.7,8.5,-0.8,8.7,7.8,10.7,10.1,6.9,14.2,6.8,10.5,6.5 
6,1.2,11.3,-1.0,10.2,7.3,8.9,10.1,13.2,16.4,7.4,5.8,4.4 
7,5.9,5.2,-1.2,12.9,6.7,7.7,7.3,12.1,18.4,7.8,11.3,6.6 
8,8.1,7.0,-0.1,12.1,7.3,7.0,6.3,10.6,,7.1,9.7,2.0 
9,7.0,10.9,,6.6,8.8,6.9,7.3,10.3,,6.5,11.1,3.8 
10,11.0,13.9,,6.5,12.1,8.6,9.3,10.1,,7.0,17.7,1.8 
11,10.9,13.7,-4.0,6.8,11.4,10.2,12.0,12.4,,6.7,15.4,4.3 
12,13.0,9.8,-3.9,8.5,12.5,15.8,11.3,12.3,,8.7,8.7,5.8 
13,4.8,6.8,-3.8,11.1,9.5,11.2,11.7,9.8,,5.6,10.9,10.2 
14,2.9,5.5,0.8,10.4,7.3,10.3,16.4,9.5,9.4,4.5,14.7,5.9 
15,7.5,4.3,8.9,9.6,5.9,9.1,12.3,7.7,9.8,5.1,5.9,1.1 
16,5.8,6.6,10.3,7.3,9.7,8.0,11.3,11.8,11.4,1.9,4.0,2.9 
17,4.8,2.2,8.5,9.0,10.4,7.5,8.6,11.2,10.0,7.0,6.0,7.5 
18,4.9,,9.7,10.6,18.3,7.6,7.1,9.7,9.4,6.8,7.1,8.4 
19,5.3,,8.4,9.2,12.5,10.0,7.4,15.5,12.9,6.4,2.9,9.1 
20,8.4,,5.0,8.3,8.5,12.5,9.0,13.5,10.9,9.8,3.1,12.6 
21,7.8,,8.3,5.6,7.6,15.9,8.3,11.0,7.5,6.8,3.6,7.0 
22,3.1,,7.7,5.9,6.8,13.4,12.2,11.3,7.2,7.2,3.9,8.8 
23,5.1,,6.8,7.3,6.5,11.2,16.6,12.8,6.8,6.6,4.5,4.4 
24,5.0,6.6,7.4,8.0,5.0,10.0,16.6,12.7,6.7,5.8,7.8,5.5 
25,4.5,6.9,10.5,9.6,7.0,16.8,14.0,12.0,6.0,3.7,8.1,12.2 
26,9.2,1.2,8.1,10.7,10.0,15.6,10.8,9.3,9.7,6.0,2.1,6.2 
27,12.5,-0.1,7.4,10.1,14.4,14.8,10.6,11.6,7.8,6.5,1.9,9.0 
28,10.2,-0.7,9.0,11.0,16.3,16.0,7.7,13.0,6.7,2.6,5.2,9.5 
29,4.1,0.1,6.8,10.1,17.0,13.5,8.8,10.2,9.8,2.7,5.9,11.3 
30,3.0,,8.9,7.9,14.6,19.5,8.5,9.3,8.1,2.5,6.8,14.0 
31,1.6,,8.8,,14.6,,9.3,9.1,,4.2,,9.2
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:35:01
  
