dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,8.5,7.0,16.6,9.3,12.5,7.5,9.5,5.5,8.8,10.8,5.9,7.5 
2,9.5,4.9,9.9,8.8,11.2,8.4,10.5,7.7,8.9,7.7,5.3,7.7 
3,6.6,3.8,6.0,8.3,7.9,9.7,7.1,13.0,10.5,5.9,5.2,9.9 
4,7.0,7.2,7.5,10.8,6.4,7.0,10.6,16.4,10.0,7.4,7.6,10.9 
5,5.8,7.6,4.7,8.7,4.8,4.3,5.9,8.7,11.9,10.3,11.9,8.7 
6,5.8,5.0,6.3,7.8,5.8,4.6,7.5,14.8,13.9,7.7,12.0,7.5 
7,4.7,5.4,4.3,10.5,4.0,5.5,9.1,17.3,15.0,7.3,10.8,13.0 
8,6.9,4.1,7.3,7.8,1.6,6.4,7.3,16.4,11.9,6.9,9.6,4.1 
9,5.5,4.3,5.7,5.9,3.4,9.2,5.8,12.6,10.9,6.2,11.1,2.3 
10,7.6,6.0,5.2,4.6,5.9,6.8,13.5,9.1,9.3,5.4,9.4,6.2 
11,6.5,5.3,5.7,3.5,6.0,10.0,14.5,10.5,9.5,6.4,7.0,7.9 
12,6.2,9.2,6.3,6.0,7.4,8.0,12.2,7.2,8.0,5.2,9.4,8.3 
13,6.0,12.3,5.1,8.6,8.4,9.1,10.3,12.9,8.0,7.3,10.7,12.8 
14,9.2,5.8,6.9,13.1,8.6,9.2,8.7,10.4,7.6,7.5,10.5,10.7 
15,5.1,5.7,7.3,11.6,5.7,7.9,8.5,9.2,10.7,3.3,6.9,6.4 
16,6.8,3.9,6.0,8.1,7.2,26.0,10.3,10.3,12.6,2.3,7.1,6.0 
17,7.3,5.0,8.9,5.8,9.1,12.2,9.2,12.0,13.3,5.8,5.3,6.0 
18,5.5,6.1,11.5,7.0,8.3,9.7,8.5,9.3,12.4,7.0,5.5,9.5 
19,3.9,5.4,10.2,9.4,8.3,11.7,9.8,19.1,22.1,5.8,7.6,6.8 
20,4.4,6.7,10.0,7.0,6.3,17.4,10.4,9.5,28.6,6.8,5.3,6.6 
21,6.1,8.0,4.8,3.2,5.1,17.1,9.6,13.3,14.0,7.4,5.2,8.0 
22,8.8,6.3,8.2,4.0,4.8,13.5,11.1,13.0,30.9,11.5,6.0,8.7 
23,8.0,4.8,6.5,6.7,5.2,12.6,20.8,10.1,10.1,10.8,6.2,6.7 
24,5.1,4.8,9.2,10.2,3.1,10.1,20.3,11.1,9.0,6.2,7.3,9.0 
25,4.4,7.9,11.8,12.7,5.0,15.3,10.0,13.1,8.1,5.1,9.0,8.3 
26,5.3,11.6,12.3,11.4,6.9,15.8,12.2,8.6,4.5,4.7,8.2,7.0 
27,7.0,10.3,12.4,8.0,11.6,14.6,7.2,7.8,7.7,5.8,5.4,6.3 
28,7.5,11.8,8.8,10.2,13.0,14.8,7.7,10.6,9.7,2.9,5.5,7.8 
29,10.0,6.4,8.1,9.7,7.8,13.0,19.3,10.9,7.1,4.9,4.0,7.7 
30,5.5,,13.7,11.3,7.5,12.0,8.3,12.8,9.9,3.3,5.8,7.2 
31,5.2,,7.4,,9.2,,7.8,9.3,,5.0,,9.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:43:09
  
