dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,26.6,5.7,7.9,9.2,7.7,11.8,14.3,15.3,8.1,7.6,6.4,10.4 
2,18.5,8.5,5.4,8.9,12.5,13.3,8.3,10.4,16.5,7.7,8.3,7.0 
3,18.8,10.9,4.2,9.8,10.2,15.9,6.3,12.6,10.2,6.1,11.5,11.5 
4,11.8,9.5,2.5,7.4,10.3,13.0,14.3,12.6,8.5,5.2,14.1,14.0 
5,6.2,12.5,2.3,11.5,5.6,9.9,8.9,5.8,12.6,8.2,14.2,7.8 
6,3.9,20.3,5.4,10.0,6.1,7.2,7.6,10.7,17.1,8.8,7.8,7.7 
7,7.3,13.0,5.0,10.6,5.0,6.6,7.8,9.6,18.6,9.6,10.6,9.0 
8,10.8,24.5,7.3,11.5,6.9,8.2,5.3,9.3,10.3,10.3,11.3,3.2 
9,6.5,16.5,4.9,6.1,7.4,6.0,3.5,8.1,13.2,10.2,14.9,4.3 
10,10.8,22.3,4.6,4.8,12.4,7.9,5.3,12.2,,10.8,17.6,2.8 
11,8.1,21.3,5.6,5.3,12.0,8.5,11.9,12.5,,7.6,17.8,5.9 
12,7.9,16.0,6.0,6.7,13.7,9.5,9.2,11.3,,10.6,11.6,12.0 
13,6.8,10.4,4.2,9.0,10.9,8.4,9.1,9.0,8.7,7.0,11.8,13.0 
14,6.3,10.3,7.2,8.0,5.7,6.3,14.0,7.0,10.3,5.2,19.5,4.6 
15,10.1,6.7,8.1,6.7,4.0,5.3,8.9,9.2,11.6,4.5,7.3,2.3 
16,6.2,11.8,9.8,7.6,8.7,4.8,7.4,11.0,13.2,3.1,6.8,6.6 
17,4.2,6.6,9.1,7.5,10.3,4.6,6.6,10.7,13.6,7.3,10.0,10.5 
18,5.1,5.7,9.8,7.8,13.0,6.5,5.3,10.0,13.3,8.0,9.0,13.3 
19,6.1,5.5,7.5,7.9,10.4,7.4,4.4,12.3,15.3,6.9,5.8,15.9 
20,9.7,10.1,3.0,6.7,6.3,9.0,6.5,11.8,11.4,11.3,6.1,20.2 
21,6.4,9.3,6.9,5.0,6.4,10.5,6.0,9.2,10.5,11.1,6.8,15.2 
22,5.3,9.2,5.7,7.0,4.2,12.7,7.0,9.1,7.4,9.0,7.5,13.3 
23,6.1,9.4,6.9,5.1,4.5,8.3,11.7,9.2,8.0,10.2,6.7,6.5 
24,8.9,12.8,5.8,5.6,4.1,6.5,15.6,10.9,7.6,5.9,11.7,14.1 
25,8.9,19.7,9.4,7.5,7.5,12.5,19.7,11.1,7.5,4.9,11.8,14.3 
26,11.8,14.4,9.7,9.2,8.0,12.1,13.8,7.0,11.3,5.5,5.6,13.0 
27,15.1,5.8,5.9,8.3,11.6,12.8,11.7,8.7,9.7,5.9,7.2,16.8 
28,16.0,9.6,6.9,9.4,16.6,14.1,9.0,9.5,9.6,5.5,6.5,16.2 
29,6.9,12.7,7.2,9.3,13.8,16.0,8.1,7.4,14.1,6.2,7.8,20.3 
30,5.3,,7.4,8.1,12.3,15.1,10.9,5.8,17.4,3.2,8.6,17.3 
31,5.8,,9.8,,12.2,,11.0,6.2,,5.2,,14.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:51:34
  
