dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,18.5,8.7,5.2,9.8,9.6,2.9,8.2,3.0,18.2,7.3,5.9,10.3 
2,9.8,2.1,5.5,6.7,12.1,5.5,4.8,4.7,20.9,3.0,5.5,11.6 
3,1.7,3.2,6.6,11.5,6.4,8.0,4.8,5.7,32.2,5.8,6.9,5.6 
4,0.4,2.7,4.3,7.8,4.7,8.2,7.6,6.0,35.0,2.6,5.1,3.8 
5,3.8,2.0,2.0,6.7,3.8,9.2,9.3,3.7,11.8,6.4,5.0,8.2 
6,3.5,4.3,4.3,5.6,9.5,9.0,7.2,4.3,10.0,8.9,5.2,11.0 
7,3.9,1.2,5.2,4.0,14.9,6.4,9.8,11.6,13.4,11.3,7.3,16.8 
8,1.8,1.4,6.2,1.9,15.1,3.6,12.3,8.5,8.8,14.9,6.2,14.1 
9,1.5,2.6,5.1,3.1,10.5,3.5,9.6,6.5,5.2,12.6,5.5,14.1 
10,2.1,3.0,4.8,4.9,6.1,3.8,7.3,8.6,7.7,16.9,4.6,16.8 
11,2.7,2.0,7.6,6.4,4.6,3.6,10.7,7.2,9.1,41.1,5.7,14.5 
12,2.4,5.0,6.9,3.5,3.4,6.0,9.5,9.8,7.4,22.4,7.5,19.6 
13,3.5,4.7,5.4,2.5,3.3,7.5,7.4,5.9,5.4,36.8,5.1,19.0 
14,6.9,7.5,7.8,3.7,5.4,8.5,6.7,5.3,5.4,17.0,5.4,23.8 
15,9.0,7.3,4.5,6.0,6.1,8.3,10.4,8.4,7.5,8.7,5.3,18.3 
16,11.2,3.2,4.8,5.3,2.5,8.0,15.0,8.2,10.6,12.4,5.5,6.5 
17,11.2,6.5,3.8,2.8,4.1,13.1,15.0,7.0,12.8,47.3,3.8,6.8 
18,7.0,4.4,4.9,3.6,9.1,14.9,10.5,8.6,5.9,35.5,4.7, 
19,4.4,3.5,5.2,4.6,7.4,10.9,8.7,8.0,4.0,24.4,9.4, 
20,4.5,13.6,5.9,8.0,5.6,7.8,5.8,5.9,4.1,13.3,8.0, 
21,5.3,8.2,3.5,7.3,6.8,8.3,8.0,6.8,3.2,20.7,6.4, 
22,6.3,3.9,3.6,6.6,4.6,7.3,7.4,8.6,3.8,16.7,11.0,13.2 
23,2.9,4.1,3.6,4.0,4.0,2.5,4.2,11.2,3.2,16.1,12.3,14.3 
24,5.0,6.0,3.7,3.2,4.0,3.7,1.9,7.0,4.3,7.5,7.6,16.8 
25,3.5,5.4,4.8,3.1,3.3,3.6,2.5,8.9,6.9,8.7,5.1,12.0 
26,7.1,5.2,4.0,3.3,2.1,4.5,2.6,7.7,7.3,10.4,6.3,10.7 
27,9.8,4.6,4.4,4.6,4.9,2.3,3.1,10.8,6.6,7.7,5.1,10.4 
28,8.0,4.3,4.8,6.1,4.7,4.7,5.7,14.1,5.5,7.1,7.2,11.3 
29,10.9,,8.4,10.8,4.3,9.0,5.8,15.0,6.8,7.9,8.6,13.9 
30,13.3,,9.2,10.7,3.2,7.7,2.4,7.3,6.7,4.0,7.3,16.1 
31,10.8,,6.0,,4.5,,2.7,5.3,,3.2,,14.6
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:58:19
  
