dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.0,5.1,6.9,6.0,11.0,5.5,8.6,3.5,6.9,2.9,11.2, 
2,14.1,6.7,3.0,5.0,7.5,2.5,8.1,2.8,6.0,4.5,11.1, 
3,16.8,5.7,2.8,3.5,9.3,5.6,8.2,2.9,5.7,4.8,10.9, 
4,13.4,4.6,5.1,3.3,9.5,11.4,10.0,5.7,7.9,6.0,11.5, 
5,5.7,3.6,3.8,4.0,5.1,11.7,10.4,8.4,5.8,5.3,10.4, 
6,4.8,6.5,4.2,3.5,2.2,7.9,10.5,7.5,5.0,4.9,10.5, 
7,5.3,7.1,4.1,6.4,2.1,8.2,11.1,6.3,3.8,6.0,14.5, 
8,6.5,6.2,3.0,6.9,5.7,8.1,7.9,4.2,3.1,8.6,16.8, 
9,6.4,4.3,4.2,5.5,5.2,7.1,4.2,4.2,3.7,7.3,14.7, 
10,6.8,4.0,4.3,6.6,3.7,9.6,2.6,4.3,3.5,6.1,13.5, 
11,5.8,5.8,4.0,8.6,5.8,10.9,3.9,4.3,5.6,9.1,8.9, 
12,4.9,5.7,7.1,7.1,7.5,10.4,4.7,5.9,7.8,7.6,7.5, 
13,4.8,5.9,4.0,6.9,7.3,5.4,5.5,6.6,10.2,8.0,9.7, 
14,5.6,5.3,6.5,7.8,6.4,5.4,6.3,7.9,8.0,9.3,8.0, 
15,4.2,5.5,6.3,6.3,5.0,4.3,3.1,9.4,5.8,9.8,4.9, 
16,5.4,6.5,9.2,4.4,5.2,5.1,4.5,8.8,3.0,9.2,8.1, 
17,9.9,5.0,7.7,6.3,,4.1,4.7,6.8,4.8,5.1,8.0, 
18,8.9,6.3,8.0,7.5,,6.5,2.5,2.1,5.5,8.9,, 
19,9.0,5.5,7.5,5.0,3.8,2.8,5.3,2.9,4.8,9.2,, 
20,7.0,4.5,5.6,4.5,4.5,3.8,4.5,4.3,7.0,5.9,, 
21,3.8,2.5,3.6,10.6,4.1,9.8,4.7,5.4,6.8,7.0,, 
22,6.3,4.4,5.1,11.9,4.8,11.9,5.8,6.2,4.7,6.4,, 
23,7.4,7.4,5.4,11.5,8.9,11.3,6.2,4.5,6.2,8.0,, 
24,9.6,8.4,6.9,12.4,4.5,9.5,9.2,6.2,8.8,4.3,, 
25,9.9,6.2,9.0,11.7,8.4,8.9,10.3,5.3,8.1,5.7,, 
26,12.3,7.5,4.2,9.2,5.0,3.8,4.2,3.3,6.6,13.1,, 
27,10.8,2.4,5.6,11.0,4.5,4.5,3.7,3.2,3.0,,, 
28,10.5,3.3,4.9,12.9,5.9,5.8,6.5,5.1,4.2,,, 
29,9.2,,6.4,10.6,13.0,6.1,8.0,7.8,3.8,14.6,, 
30,10.3,,5.2,11.0,3.3,7.9,6.6,6.4,4.8,9.5,, 
31,6.1,,7.5,,6.3,,7.1,8.3,,11.6,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:56:20
  
