dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,21.1,24.7,17.4,9.4,10.6,10.0,11.2,33.8,52.3,9.1,24.1,28.2 
2,14.1,26.0,14.2,6.8,10.6,11.9,13.3,29.0,44.7,10.9,25.7,41.5 
3,14.1,7.7,21.0,10.4,8.9,12.0,16.1,21.4,91.9,10.0,18.4,29.3 
4,12.5,6.1,11.2,15.4,9.3,11.1,12.2,16.4,67.3,12.4,14.5,12.1 
5,14.9,7.2,6.7,18.3,8.0,9.2,13.6,17.8,33.3,13.5,17.4,12.1 
6,20.4,5.5,10.7,13.6,9.9,12.9,11.4,17.2,27.0,15.2,18.7,9.5 
7,19.9,4.7,13.5,13.5,12.1,12.0,9.1,16.2,22.0,14.8,20.6,19.4 
8,12.8,6.8,10.5,14.4,8.8,8.5,6.4,19.5,21.2,12.0,27.9,25.5 
9,7.5,4.4,10.1,12.3,11.4,9.6,10.2,19.2,19.9,10.1,14.7,28.1 
10,4.5,4.4,8.8,15.6,14.5,9.3,10.6,17.1,20.7,36.8,15.6,25.1 
11,5.8,7.7,207.3,17.5,12.7,6.8,11.5,19.7,20.6,20.4,18.2,20.4 
12,10.3,11.2,,11.7,11.5,9.6,10.9,20.5,20.0,10.8,24.6,25.5 
13,10.3,,,14.8,11.1,9.4,10.1,17.4,18.6,12.0,15.0,27.8 
14,16.2,19.1,6.9,14.4,11.3,9.9,11.3,12.0,13.1,8.8,16.8,20.9 
15,19.8,23.6,11.8,14.4,11.3,7.5,11.7,20.0,27.1,14.0,19.2,31.2 
16,23.2,13.1,9.9,16.5,13.6,5.0,8.1,20.7,29.0,16.6,13.8,8.8 
17,39.1,9.6,11.2,14.0,12.3,4.8,12.9,27.6,28.7,22.9,20.1,11.4 
18,23.0,5.6,9.5,13.0,8.7,6.4,13.8,26.7,16.4,25.1,27.8,22.9 
19,9.7,8.0,9.2,15.8,9.4,9.4,16.4,54.3,1.6,22.0,37.5,26.4 
20,8.3,8.8,8.8,13.3,9.6,10.4,15.5,37.1,,10.5,29.0,20.6 
21,8.6,6.7,5.7,14.9,9.3,7.1,13.0,31.6,12.2,14.8,16.2,17.8 
22,6.9,,11.4,12.9,9.4,9.0,12.4,32.1,11.2,13.0,19.6,32.2 
23,11.0,13.2,10.3,11.3,9.1,9.4,13.2,29.9,10.8,12.4,16.9,31.7 
24,15.3,14.4,12.1,10.9,13.3,12.6,15.9,25.8,11.5,8.3,20.3,33.4 
25,22.7,15.4,9.9,12.9,12.4,12.9,14.6,24.6,11.3,16.6,19.2,24.1 
26,16.8,15.9,12.6,13.6,16.5,9.8,14.2,14.4,10.9,12.7,15.2,21.1 
27,18.5,14.1,9.7,12.6,14.1,10.8,15.8,12.1,10.2,15.6,14.5,28.3 
28,24.0,17.2,11.1,11.8,16.7,12.0,13.2,19.2,12.6,14.7,21.4,19.2 
29,23.5,,10.0,13.7,16.5,11.8,13.2,18.5,15.1,15.2,13.3,25.0 
30,21.3,,9.7,14.1,15.4,13.4,20.4,21.8,14.1,17.2,19.3,24.9 
31,26.9,,11.6,,12.4,,26.0,96.6,,19.3,,29.0
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:08:00
  
