dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,19.3,14.8,7.5,10.3,10.4,6.9,7.5,11.7,10.0,6.2,8.9,5.2 
2,29.0,15.9,7.5,9.7,12.0,8.7,14.7,13.1,15.8,6.5,13.2,7.3 
3,49.0,25.5,7.7,13.1,8.7,13.5,18.4,21.3,17.8,2.5,12.3,7.0 
4,39.0,26.9,10.6,9.7,8.3,10.0,10.5,22.4,17.8,1.6,9.3,9.8 
5,15.0,15.3,6.2,7.5,8.3,10.1,7.5,12.4,18.5,4.3,3.8,9.3 
6,9.7,8.1,7.2,6.6,5.0,8.0,4.8,18.9,12.4,2.7,3.9,9.5 
7,12.6,19.0,9.9,9.0,6.7,10.0,6.6,13.3,12.8,4.8,6.7,14.7 
8,9.9,23.3,6.9,9.8,6.1,8.5,9.1,29.7,9.5,4.8,24.6,20.2 
9,5.2,12.7,7.5,8.5,4.6,4.2,8.1,25.4,9.6,8.3,22.8,24.5 
10,6.8,10.9,12.2,8.7,10.6,4.1,8.6,15.7,10.2,6.5,86.9,23.1 
11,13.7,7.5,10.5,7.5,10.0,7.0,6.0,8.0,11.6,5.7,105.0,14.3 
12,11.8,6.9,12.9,6.4,10.9,12.0,5.7,12.8,6.0,3.6,113.8,15.8 
13,17.3,7.0,6.3,7.8,8.8,12.8,5.3,22.7,7.3,4.3,82.5,19.7 
14,30.1,10.3,5.7,10.5,3.6,12.7,5.4,9.3,6.4,7.4,70.5,18.2 
15,24.5,11.1,7.3,10.5,3.9,13.7,6.5,17.0,5.1,3.6,150.5,18.9 
16,17.7,12.1,5.3,6.0,4.0,10.7,8.7,17.8,3.0,9.0,250.3,17.7 
17,15.5,10.7,7.3,6.7,5.0,10.2,6.7,14.3,5.1,14.5,159.5,7.9 
18,16.8,5.4,10.7,6.5,4.5,11.1,8.2,16.8,9.2,14.0,113.6,10.6 
19,6.8,5.6,9.1,8.3,6.0,8.0,6.8,23.9,12.3,15.0,103.2,10.5 
20,11.7,9.0,9.9,11.2,6.2,7.5,8.4,24.7,13.0,14.8,76.0,15.3 
21,14.8,7.7,11.1,11.8,6.0,8.0,7.0,16.1,13.3,12.2,56.3,12.7 
22,17.7,5.9,6.2,15.0,6.2,12.2,9.6,27.2,8.3,10.4,6.8,11.3 
23,9.3,10.4,6.1,18.0,2.7,11.6,9.6,32.4,10.1,6.2,6.5,11.0 
24,11.9,10.6,5.7,13.0,4.6,13.3,10.5,24.8,13.9,6.1,8.6,9.6 
25,6.8,8.8,4.5,12.9,3.6,6.3,8.8,18.0,13.9,6.3,11.4,8.4 
26,8.9,5.3,5.5,11.1,4.8,12.1,8.5,13.2,11.5,9.3,12.3,7.4 
27,10.7,6.3,7.7,9.2,9.0,11.8,10.9,14.9,6.7,5.8,14.6,10.3 
28,7.7,11.3,9.9,5.3,13.6,13.3,15.3,7.1,10.0,3.6,12.6,9.5 
29,17.1,,9.8,4.5,18.6,12.7,10.9,9.9,7.6,5.8,6.9,12.3 
30,16.1,,10.9,7.8,14.3,12.2,14.2,11.2,6.0,7.2,6.0,16.2 
31,15.0,,11.5,,6.8,,17.2,8.3,,7.4,,7.7
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:20:16
  
