dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.8,9.9,6.5,7.8,12.0,10.5,8.3,5.4,5.8,5.2,15.3, 
2,17.9,5.8,4.3,4.4,9.8,3.2,10.0,4.7,8.0,6.2,17.5, 
3,23.3,4.2,6.3,3.1,13.5,7.8,10.5,4.0,6.8,5.3,15.4, 
4,32.5,4.7,4.7,3.3,9.5,15.7,11.7,8.0,6.9,5.8,14.8, 
5,22.9,5.1,6.2,3.9,5.6,15.8,10.5,9.6,6.2,7.4,15.5, 
6,5.4,8.5,5.2,6.0,4.0,8.4,13.0,12.1,4.8,7.4,11.5, 
7,5.3,9.7,3.9,6.7,4.0,6.7,11.9,9.6,4.7,8.8,13.2, 
8,8.2,8.9,4.1,6.5,6.7,9.7,8.3,6.2,3.6,9.8,19.8, 
9,9.0,6.7,4.4,5.4,5.6,9.3,5.5,3.6,4.8,17.0,17.2, 
10,9.1,6.0,8.6,6.7,5.2,9.5,4.3,3.6,6.1,7.9,17.3, 
11,9.1,11.2,7.5,5.9,7.5,12.3,5.3,5.6,6.5,8.1,16.8, 
12,12.8,10.8,5.2,5.6,6.8,11.7,6.5,9.1,11.3,11.3,24.2, 
13,13.1,7.2,6.2,9.5,4.4,6.4,8.1,10.9,12.3,10.7,23.7, 
14,7.5,5.1,7.5,7.5,4.5,7.5,8.9,11.6,9.8,10.9,13.1, 
15,6.8,5.1,9.2,7.3,5.2,6.5,8.7,13.4,6.0,11.3,4.0, 
16,4.2,5.1,9.3,5.4,6.4,6.9,6.0,17.3,4.5,7.3,12.6, 
17,12.9,4.8,9.9,7.5,5.8,10.5,10.5,13.8,4.4,4.7,22.2, 
18,10.4,7.8,11.0,8.9,5.8,8.0,5.5,8.0,4.8,8.8,, 
19,11.7,7.9,12.2,6.5,5.7,5.7,11.6,6.0,5.2,7.5,, 
20,5.4,3.9,6.1,7.2,5.0,10.4,7.1,5.0,5.1,6.8,, 
21,6.9,7.9,5.2,7.5,8.0,13.5,6.8,6.5,6.5,7.2,, 
22,9.3,6.7,5.9,11.0,6.9,15.8,8.3,7.0,8.0,9.0,, 
23,12.9,9.5,6.3,11.3,11.7,14.3,7.8,11.4,6.6,9.9,, 
24,15.5,9.1,6.9,12.8,6.0,11.3,10.6,8.2,8.3,5.3,, 
25,17.8,6.8,6.2,14.8,10.2,10.4,12.1,6.6,11.2,11.3,, 
26,24.5,4.5,4.8,14.0,7.4,5.1,7.3,5.5,11.2,18.6,, 
27,25.0,5.1,4.5,15.5,6.9,5.5,9.7,5.3,5.3,6.0,, 
28,24.1,5.0,7.0,16.7,9.3,6.1,14.9,6.2,6.7,11.4,, 
29,19.1,,6.1,12.5,14.8,8.5,14.0,9.3,5.8,15.7,, 
30,19.0,,6.5,13.3,6.7,8.9,10.3,8.7,3.7,6.3,, 
31,27.9,,6.0,,10.0,,11.0,8.7,,9.4,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:19:45
  
