dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,5.6,3.5,4.3,9.4,9.5,11.3,8.6,13.2,8.2,3.8,9.0 
2,,6.6,5.4,3.6,5.5,6.7,9.7,8.1,8.8,8.9,3.8,5.4 
3,,5.2,4.5,4.6,4.1,7.3,13.0,8.1,11.5,9.6,4.9,4.0 
4,,7.6,4.0,4.3,3.9,11.0,10.3,5.7,15.8,9.7,5.8,7.3 
5,,7.6,5.7,5.5,3.8,19.4,8.9,5.0,26.3,9.7,6.3,5.3 
6,,7.0,7.3,5.3,5.8,15.1,9.4,9.4,24.1,,6.0,6.0 
7,,4.8,5.8,5.2,7.8,15.8,8.5,11.5,17.5,,3.0,8.0 
8,,2.3,6.2,6.3,4.2,14.2,8.6,14.0,12.8,,3.5,14.0 
9,9.3,1.8,6.8,3.3,5.3,20.1,7.3,13.9,9.2,,4.3,16.1 
10,6.3,4.2,3.7,3.4,3.6,11.1,5.6,7.5,11.5,6.5,6.8,12.2 
11,9.0,4.5,1.9,7.7,4.7,11.8,4.8,8.8,10.9,5.1,7.9,3.2 
12,7.7,3.6,2.7,9.8,5.6,7.7,4.5,6.8,9.8,2.7,6.2,6.1 
13,7.9,3.8,5.4,9.9,8.6,7.9,9.2,4.7,8.3,6.5,3.7,8.0 
14,11.8,2.2,8.8,7.2,9.5,12.8,12.1,5.2,12.0,7.1,5.8,10.6 
15,15.8,2.2,6.8,8.5,10.8,12.3,8.5,10.3,12.0,3.4,7.8,6.0 
16,16.2,6.0,6.6,8.8,10.0,9.4,4.3,8.1,9.8,3.2,5.3,7.8 
17,24.6,5.6,5.5,8.4,8.3,9.0,3.1,5.3,8.9,3.6,8.9,5.4 
18,15.7,5.8,5.0,6.4,7.2,9.2,2.6,6.8,10.1,3.9,12.0,8.0 
19,11.1,3.4,5.2,4.5,5.2,10.0,3.7,6.0,7.8,1.7,11.8,9.0 
20,12.8,5.7,6.2,8.0,7.0,8.3,3.7,6.2,8.3,3.6,11.0,15.8 
21,12.1,6.4,8.5,10.9,11.5,13.7,3.9,6.0,8.5,2.1,11.3,7.2 
22,11.3,5.7,9.4,3.9,10.5,12.2,3.8,8.5,8.5,3.6,4.3,6.0 
23,11.3,5.2,9.6,3.9,8.3,12.0,3.6,8.3,7.2,5.0,7.9,6.0 
24,20.6,8.5,7.0,5.5,11.0,7.1,7.8,7.3,6.4,3.5,8.6,4.0 
25,13.8,9.3,6.9,4.6,11.0,6.5,12.1,6.1,8.3,4.9,11.2,4.8 
26,12.5,7.5,4.3,3.6,8.6,4.3,13.8,8.0,8.2,2.2,12.7,8.8 
27,7.3,6.0,6.3,6.0,10.3,4.0,11.0,8.0,9.8,3.5,17.4,11.7 
28,6.7,4.1,4.6,7.9,7.0,6.7,6.5,6.7,11.2,2.7,9.9,13.8 
29,2.4,,5.5,7.3,10.0,10.6,5.7,7.7,9.8,4.0,5.8,6.7 
30,6.8,,4.3,7.5,14.8,17.3,6.5,8.3,9.0,3.4,6.7,3.9 
31,5.3,,5.1,,13.3,,5.6,9.6,,3.3,,6.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:36:26
  
