dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,22.0,5.7,20.0,10.5,5.9,10.5,18.0,10.9,4.8,9.4,4.8,8.1 
2,33.4,16.2,12.7,11.3,8.5,13.0,12.3,7.0,6.2,7.5,10.8,10.5 
3,47.2,23.6,9.5,10.4,9.6,11.5,6.6,14.1,9.3,8.3,16.5,33.6 
4,42.7,18.7,11.0,7.3,8.4,12.5,12.1,10.0,11.0,6.3,33.0,42.0 
5,12.2,24.7,10.7,9.5,8.7,11.8,9.9,7.4,14.1,6.8,31.8,40.6 
6,8.3,26.2,7.8,18.4,6.5,9.1,9.5,8.5,19.6,6.8,9.9,21.8 
7,9.4,28.3,6.1,15.6,10.5,7.2,5.5,8.5,27.0,12.5,11.8,17.9 
8,18.0,34.4,14.0,13.0,5.7,7.5,3.1,6.3,18.6,14.4,18.5,18.2 
9,17.8,33.2,19.9,4.4,7.5,6.8,2.3,7.8,13.8,14.0,18.5,12.4 
10,22.5,29.8,28.2,4.0,10.3,6.8,2.8,13.2,11.4,10.5,35.8,14.2 
11,25.0,35.1,11.5,5.1,12.0,7.4,5.2,10.0,8.7,8.9,45.5,6.0 
12,27.5,38.2,8.9,7.9,11.4,9.0,5.0,12.2,8.7,12.7,11.1,13.5 
13,19.3,21.2,10.8,8.3,10.1,12.0,6.3,10.8,11.0,15.8,16.4,27.1 
14,13.5,14.4,10.1,7.3,4.0,7.0,10.3,7.0,13.8,8.1,25.7,33.2 
15,18.8,28.9,12.8,3.0,3.4,5.5,8.8,7.3,13.6,7.5,14.0,13.5 
16,16.0,36.5,12.5,8.6,5.4,5.5,9.0,8.8,12.3,3.2,3.4,4.3 
17,19.7,24.2,21.1,13.6,6.0,4.3,7.5,14.1,16.0,6.9,11.9,15.2 
18,12.0,8.1,20.4,12.0,7.8,4.6,3.7,14.0,16.0,5.5,27.0,23.0 
19,6.7,12.5,13.8,10.1,10.0,4.8,1.8,15.5,17.6,7.5,11.7,32.6 
20,13.3,13.0,7.3,7.8,6.4,5.8,3.3,14.4,17.7,13.6,7.9,40.3 
21,16.5,17.3,9.5,4.7,5.0,6.7,4.8,11.3,6.2,18.6,9.9,37.3 
22,12.1,13.6,9.6,3.7,1.6,6.7,4.0,9.5,7.5,14.7,16.1,38.7 
23,8.6,19.0,10.4,5.2,5.1,5.8,8.2,9.8,8.2,13.6,11.3,34.2 
24,11.5,24.8,12.4,5.4,4.4,6.0,8.9,8.7,10.6,7.6,20.0,10.4 
25,13.0,25.0,12.3,5.2,5.5,7.3,11.9,9.4,12.9,9.1,29.6,20.6 
26,20.6,27.5,12.8,6.5,6.7,7.8,10.0,7.5,15.8,11.0,21.3,12.5 
27,29.0,10.3,8.7,6.2,10.5,10.0,12.1,9.4,19.3,12.2,11.5,19.9 
28,31.5,13.6,7.7,4.8,10.9,8.7,9.3,10.3,21.5,9.0,5.2,26.5 
29,52.3,15.6,7.0,9.2,13.8,10.9,6.6,8.8,11.6,14.9,6.6,36.5 
30,15.7,,11.9,4.5,11.8,15.8,5.7,5.5,10.5,6.1,16.5,53.7 
31,7.3,,11.1,,10.7,,9.5,4.5,,6.0,,20.6
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:40:13
  
