dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,33.8,27.8,4.1,2.4,8.7,2.7,8.9,11.1,7.8,9.1,8.8,15.6 
2,32.4,25.6,6.1,2.9,12.7,3.8,7.7,14.3,5.1,7.6,6.3,28.8 
3,33.4,12.7,6.3,6.6,9.3,6.2,5.6,8.7,6.2,6.1,4.8,28.9 
4,30.9,32.8,9.2,8.6,8.6,6.4,13.3,7.2,7.4,9.4,9.0,13.1 
5,29.3,18.2,10.3,2.9,10.7,6.0,8.4,6.2,3.5,8.3,18.3,16.5 
6,25.8,8.8,9.5,2.9,7.6,7.7,4.3,10.5,7.6,10.7,14.4,13.1 
7,27.9,5.3,11.3,2.4,6.2,7.2,5.6,11.5,10.6,13.2,19.9,15.5 
8,23.7,5.2,12.5,4.1,9.6,12.3,5.2,15.0,11.0,14.7,16.7,16.8 
9,33.2,5.7,14.1,4.7,11.6,8.7,6.0,10.9,10.4,15.2,11.4,12.2 
10,35.1,5.0,13.3,4.6,10.3,7.6,5.0,14.5,7.7,6.8,14.8,16.1 
11,34.3,10.5,10.8,5.9,7.5,7.6,4.5,4.8,8.1,6.5,22.5,6.3 
12,22.4,10.2,4.5,4.5,7.3,8.3,4.9,4.9,12.7,10.4,21.7,16.8 
13,8.7,9.9,7.6,6.1,6.1,13.3,6.5,4.7,29.3,11.7,25.0,12.1 
14,36.1,12.3,12.3,2.3,9.0,16.1,6.1,3.9,6.8,17.6,33.3,4.4 
15,27.4,12.8,5.6,,7.4,14.5,8.1,15.4,7.5,7.7,14.1,3.5 
16,19.5,9.2,4.5,4.0,6.3,12.2,8.1,12.9,4.8,7.9,6.6,16.2 
17,15.6,11.0,7.7,6.3,6.4,12.4,6.4,12.4,3.1,5.0,10.0,22.6 
18,24.3,15.3,3.6,10.6,8.8,9.4,5.7,28.5,7.1,4.7,23.3,20.9 
19,20.2,15.8,5.4,8.7,11.1,5.0,5.6,14.8,11.2,4.9,21.0,13.8 
20,16.8,9.4,8.6,13.7,8.9,6.0,6.3,9.9,10.7,5.3,18.1,8.2 
21,18.9,14.7,5.0,6.9,5.8,5.5,8.2,15.2,8.7,6.0,30.1,15.4 
22,22.9,4.6,4.3,9.3,4.9,5.3,7.2,11.7,9.1,10.3,28.2,13.1 
23,21.0,2.3,5.0,12.3,8.6,7.7,9.6,9.4,13.4,17.4,28.1,8.8 
24,24.7,5.0,7.6,6.0,10.0,9.9,9.3,8.4,12.7,14.2,12.2,7.9 
25,16.4,11.4,3.6,3.3,6.1,11.6,4.9,11.4,8.6,7.0,20.6,11.6 
26,21.9,7.8,5.4,6.0,4.8,10.4,5.3,9.0,7.0,7.4,11.0,11.5 
27,28.2,4.2,6.6,3.7,6.8,5.7,7.7,11.7,5.1,13.6,9.4,17.7 
28,15.8,6.3,3.6,5.3,6.9,3.5,4.4,6.6,6.8,17.9,19.0,9.7 
29,16.6,,6.4,7.7,6.7,3.1,9.3,2.5,6.9,6.0,21.7,13.2 
30,9.8,,7.3,7.3,6.3,7.3,10.2,4.4,9.5,10.0,21.0,14.6 
31,5.4,,5.0,,5.8,,9.1,5.3,,12.3,,12.0
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:44:31
  
