dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,6.7,12.4,9.1,8.4,8.7,7.5,9.7,11.3,11.3,4.0,17.0, 
2,23.0,5.6,8.0,7.1,9.7,9.8,11.0,12.0,9.4,6.7,16.9, 
3,31.9,4.5,10.6,5.0,10.8,8.5,11.8,11.4,9.9,6.0,19.5, 
4,39.3,4.1,9.9,6.0,10.0,11.6,24.0,8.2,12.0,5.6,14.8, 
5,19.6,5.3,7.7,5.9,8.4,9.7,17.1,12.1,9.1,6.3,18.1, 
6,7.6,9.7,5.7,5.9,7.5,7.8,12.5,12.3,9.0,10.2,15.3, 
7,6.7,13.1,5.4,6.6,8.2,6.2,11.9,12.3,7.5,10.3,16.8, 
8,10.3,10.9,5.4,8.6,10.6,5.3,10.9,9.7,8.5,14.0,13.7, 
9,6.5,6.7,5.6,4.8,10.4,5.7,10.0,9.2,8.8,4.1,11.7, 
10,10.9,7.8,6.6,5.2,7.8,9.2,8.9,7.9,10.5,3.5,13.1, 
11,9.5,7.3,5.3,5.0,10.5,11.3,7.7,9.8,9.8,10.0,15.4, 
12,12.5,8.5,5.8,5.5,9.8,12.8,8.6,11.0,13.1,15.1,15.8, 
13,18.4,5.2,5.7,8.3,8.0,12.1,9.6,12.7,12.7,15.6,18.6, 
14,13.6,4.3,5.8,8.1,6.3,11.4,10.2,14.1,10.6,16.8,11.3, 
15,6.8,4.8,9.2,7.4,7.8,10.9,9.7,12.3,6.2,14.5,12.0, 
16,4.3,5.1,11.8,7.3,5.9,10.0,9.1,12.7,4.7,14.3,15.5, 
17,7.9,5.0,12.2,10.0,7.4,12.4,11.9,14.7,3.7,3.4,16.3, 
18,9.2,4.7,11.8,14.7,6.0,11.4,10.4,11.2,3.8,7.0,, 
19,10.0,5.6,15.7,13.4,6.6,10.9,9.0,10.0,4.5,6.4,, 
20,5.8,7.0,7.6,6.8,5.8,8.8,11.2,10.3,4.5,6.7,, 
21,4.7,2.3,7.7,5.3,5.8,7.0,8.9,11.6,5.5,3.8,, 
22,6.3,4.1,7.3,5.7,4.8,8.2,11.3,8.7,7.1,12.3,, 
23,10.7,13.8,9.1,7.6,6.6,9.7,10.6,11.2,4.2,6.2,, 
24,15.0,10.3,9.2,12.6,,13.2,7.8,12.3,4.2,5.3,, 
25,17.0,5.5,11.5,13.0,,10.8,10.5,10.0,6.0,10.8,, 
26,26.7,5.9,4.5,12.7,,7.5,9.3,12.7,9.8,9.0,, 
27,21.4,5.7,5.1,14.2,,6.9,15.2,10.8,6.1,5.9,, 
28,23.5,5.9,6.1,18.1,,7.9,15.8,8.8,6.9,5.0,, 
29,29.1,,7.4,13.3,12.0,8.4,15.9,11.5,3.3,6.0,, 
30,38.7,,7.3,11.6,9.1,9.3,12.2,11.0,4.2,5.4,, 
31,29.1,,7.8,,8.5,,13.0,11.1,,10.1,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:42:42
  
