dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,-1.2,12.3,5.9,5.5,3.8,3.7,5.7,8.7,5.3,2.5,7.5, 
2,11.9,2.0,3.8,4.9,5.0,6.0,4.3,7.8,4.7,2.6,9.0, 
3,15.3,1.4,4.8,2.6,4.3,8.4,4.1,7.9,4.5,3.9,3.7, 
4,11.2,1.5,5.3,4.7,5.4,5.8,11.3,5.6,4.1,1.0,5.3, 
5,10.4,3.2,5.2,2.4,6.2,4.5,10.9,3.8,4.8,0.9,8.5, 
6,1.1,6.8,3.0,2.2,5.6,2.1,7.7,5.0,3.7,2.3,6.7, 
7,-0.5,7.5,1.8,2.9,6.5,1.9,8.3,8.8,10.6,3.5,9.0, 
8,2.5,5.9,2.1,4.1,6.5,1.3,10.6,8.1,4.6,4.2,6.1, 
9,1.2,3.3,2.6,1.1,5.5,2.1,10.3,6.5,3.1,,4.5, 
10,2.7,4.2,2.8,2.1,4.1,5.7,5.5,4.3,4.6,,2.1, 
11,4.0,7.1,2.7,1.7,8.0,7.2,6.0,3.0,2.1,,3.5, 
12,4.5,5.8,1.9,1.8,7.4,8.8,5.5,4.3,6.8,5.9,6.6, 
13,7.1,,2.1,6.2,6.0,10.0,6.5,6.0,6.4,9.2,4.8, 
14,4.3,1.1,3.7,7.0,4.8,9.7,5.8,6.4,7.6,8.4,10.8, 
15,3.0,1.1,5.6,4.8,3.5,11.9,2.5,5.3,6.1,7.9,8.3, 
16,-1.9,2.8,6.1,2.8,2.3,10.1,4.1,4.8,2.8,12.6,5.2, 
17,1.3,3.2,7.5,3.8,2.0,6.7,7.8,7.3,3.5,3.5,5.6, 
18,3.5,1.4,5.7,5.2,3.3,4.1,7.0,9.6,3.1,2.8,, 
19,-0.2,4.4,8.4,8.0,1.3,4.0,5.8,5.7,0.3,7.5,, 
20,1.8,3.8,3.8,4.4,2.0,1.8,6.7,7.3,1.7,3.1,, 
21,0.9,1.9,2.6,1.8,2.3,2.6,5.8,6.4,2.0,2.2,, 
22,,3.8,4.4,2.3,1.3,1.5,6.6,7.0,3.0,2.6,, 
23,3.0,9.7,4.8,2.5,1.9,3.3,7.7,5.7,1.8,2.7,, 
24,2.8,9.2,6.1,4.4,6.7,2.2,3.9,7.6,1.9,2.8,, 
25,3.9,3.4,8.5,7.0,3.5,1.9,4.8,7.0,2.4,3.1,, 
26,11.5,2.1,2.4,4.3,3.1,3.3,7.4,5.0,8.3,3.0,, 
27,14.7,2.5,1.8,8.3,4.5,4.3,13.9,6.9,7.4,,, 
28,13.8,2.5,2.6,8.4,4.0,3.6,16.1,7.4,3.9,,, 
29,19.9,,4.1,4.6,6.4,4.4,13.7,7.3,2.6,,, 
30,15.9,,2.1,6.3,4.9,4.0,9.9,5.7,2.3,,, 
31,12.9,,2.8,,4.3,,9.0,4.7,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:46:58
  
