dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,,15.5,,,6.3,10.0,9.7,6.1,6.6,,11.5 
2,,,7.8,,,5.4,11.5,7.8,5.5,5.5,14.0,18.3 
3,,,10.7,,,7.3,9.0,11.4,17.2,7.6,19.1,23.4 
4,,,11.0,,,8.1,7.5,12.1,17.3,6.8,16.2,16.0 
5,,15.3,8.4,,,6.3,7.5,15.3,29.1,7.2,24.6,10.0 
6,,16.7,4.6,,,8.7,7.0,9.4,19.3,7.3,15.5,15.8 
7,,19.4,7.8,,,,6.6,6.7,10.8,7.1,16.2,19.8 
8,,11.9,11.8,,,,4.5,7.0,27.1,7.7,12.8,17.5 
9,,13.5,11.5,,,,5.1,7.1,19.6,8.6,,23.5 
10,,18.1,,,,,4.8,9.1,9.7,7.3,,8.3 
11,,14.6,,,,,4.8,9.2,10.3,7.6,,18.8 
12,,14.6,,,,,5.0,11.6,7.1,8.4,,20.6 
13,,7.0,,,,,6.7,12.1,6.8,22.1,,21.1 
14,,9.2,,,,,5.8,11.6,10.5,9.3,,22.4 
15,,10.5,,,,,8.1,12.3,10.2,12.6,,22.6 
16,,13.8,,,,,6.3,10.6,9.2,7.3,,5.7 
17,,14.3,,,,,6.1,12.2,6.4,8.1,,15.8 
18,,8.3,,,,,5.8,11.9,5.7,9.0,,23.8 
19,,16.3,,,,,6.5,16.0,4.9,13.6,,29.1 
20,,10.7,,,,,6.3,15.5,5.0,12.0,,33.6 
21,,11.0,,,,,5.5,11.4,4.8,,,23.3 
22,,13.1,,,,,6.1,12.1,4.8,,11.2,28.2 
23,,14.9,,,,,7.2,8.3,7.8,,13.8,21.3 
24,,11.7,,,,,7.9,20.3,5.0,,14.9,21.3 
25,,18.0,,,,,8.5,8.7,5.1,,19.0,20.6 
26,14.5,20.4,,,6.9,,9.3,9.4,6.6,,7.5, 
27,12.5,13.4,,,9.1,,11.0,9.1,8.7,,3.9, 
28,,14.9,,,9.7,,9.0,9.1,9.1,,8.2, 
29,,12.3,,,6.3,8.1,15.1,7.3,9.0,,18.9, 
30,,,,,7.3,9.8,13.2,7.8,10.1,,22.3, 
31,,,,,8.8,,8.3,3.4,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:54:44
  
