dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,45.5,13.2,10.8,9.5,15.3,13.5,8.7,12.4,16.1,7.4,18.3, 
2,28.6,5.6,4.2,9.0,16.0,10.5,10.4,13.6,12.5,9.3,20.3, 
3,31.1,1.7,2.8,5.6,17.1,11.8,13.1,14.8,11.6,10.9,19.1, 
4,27.0,1.3,3.5,7.8,15.7,17.3,21.0,14.0,11.4,9.4,19.4, 
5,11.5,2.7,6.3,7.2,11.3,18.3,20.8,14.9,14.6,12.5,22.0, 
6,7.0,11.4,2.1,8.8,11.5,12.6,14.9,13.7,12.8,12.6,31.6, 
7,3.8,12.7,3.0,8.3,13.7,7.5,16.0,14.2,12.0,16.9,30.8, 
8,6.5,14.7,3.3,11.4,18.4,8.5,13.8,12.3,6.3,12.2,40.0, 
9,8.9,5.0,8.0,5.2,18.3,12.5,19.7,12.9,8.0,15.2,33.4, 
10,9.5,5.0,6.6,4.3,8.0,13.7,26.6,11.4,7.3,11.5,27.4, 
11,11.8,6.6,7.3,8.3,12.2,12.3,28.6,10.2,8.9,23.6,29.7, 
12,17.1,9.6,7.9,11.2,14.8,11.6,25.9,11.0,12.7,14.4,28.3, 
13,14.8,4.4,7.2,8.7,14.3,12.7,24.0,12.7,17.5,12.1,33.1, 
14,12.2,3.3,11.4,10.8,12.0,14.0,17.8,16.3,15.5,15.3,31.3, 
15,4.4,3.0,7.9,8.7,10.6,12.9,13.8,15.3,9.0,19.3,26.7, 
16,4.4,3.8,12.4,6.1,5.5,14.0,10.8,16.2,8.0,24.0,29.8, 
17,5.0,4.9,11.8,16.0,7.9,13.0,11.4,11.4,8.6,11.4,29.6, 
18,14.5,8.5,14.3,22.1,8.4,16.5,15.1,11.1,11.2,9.5,, 
19,15.1,10.8,6.3,19.1,3.6,16.0,15.4,7.5,6.5,16.7,, 
20,10.1,7.6,4.8,15.3,9.0,16.8,19.0,12.5,7.6,15.3,, 
21,4.8,3.9,3.6,13.2,6.9,15.3,19.3,12.4,9.7,15.7,, 
22,13.9,8.2,6.4,12.7,6.5,14.4,16.6,11.6,9.9,17.1,, 
23,16.5,21.8,9.7,14.7,5.9,10.5,17.8,12.7,13.0,17.3,, 
24,28.9,12.8,14.8,16.4,8.3,12.5,17.4,11.5,11.8,16.8,, 
25,35.2,7.2,10.5,20.3,11.3,9.4,14.1,12.9,13.1,17.0,, 
26,40.0,8.3,13.4,16.9,6.3,10.3,13.9,13.0,13.1,14.2,, 
27,47.9,6.7,5.4,16.4,6.8,8.3,15.4,13.9,14.5,29.4,, 
28,44.9,5.2,4.4,11.8,10.5,11.8,13.1,11.8,6.8,22.8,, 
29,50.8,,7.4,14.8,14.6,12.5,10.6,10.0,5.7,16.8,, 
30,47.2,,8.7,9.5,18.0,10.8,13.5,15.1,7.3,21.3,, 
31,12.5,,12.1,,15.1,,11.3,18.3,,14.8,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:56:30
  
