dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.8,9.1,4.9,13.6,16.3,19.1,11.9,14.0,16.0,11.1,9.3,8.8 
2,13.8,8.1,6.0,10.5,15.4,12.8,11.5,14.0,14.2,8.3,6.3,7.0 
3,21.1,12.5,5.1,8.7,15.1,13.1,9.7,15.2,12.8,11.8,5.0,9.1 
4,15.9,21.7,5.0,11.4,11.7,10.5,33.0,11.4,11.9,7.6,8.4,9.8 
5,4.9,32.3,4.3,12.3,10.9,11.5,17.0,10.2,13.0,5.6,6.3,8.9 
6,3.3,23.2,2.8,6.3,12.6,10.7,13.5,14.2,12.5,8.8,7.7,8.9 
7,3.0,15.1,5.3,6.1,11.8,10.2,14.7,16.5,12.7,13.2,6.2,7.3 
8,7.0,8.0,8.6,6.3,11.9,13.9,13.0,15.9,14.0,13.5,7.6,8.1 
9,23.3,5.7,16.5,9.4,13.4,11.4,10.4,12.7,15.0,15.2,7.4,8.6 
10,27.3,5.5,15.2,8.1,14.5,12.1,6.7,12.3,16.8,10.7,5.7,13.8 
11,6.4,2.6,15.7,11.1,14.9,10.6,7.4,12.0,14.6,10.6,6.8,6.3 
12,9.7,2.0,6.2,11.7,15.4,17.0,8.4,9.1,12.2,12.5,6.8,9.4 
13,6.8,3.4,3.4,13.8,13.0,15.1,9.2,10.6,12.2,12.3,6.8,6.7 
14,4.0,6.0,5.9,14.6,8.7,12.8,11.3,12.0,12.1,7.5,8.6,6.2 
15,3.6,9.3,7.0,10.8,7.6,15.5,15.0,15.3,6.5,8.5,7.0,9.4 
16,5.5,18.0,8.9,7.5,11.0,17.0,16.0,18.9,7.7,11.7,6.1,10.6 
17,6.7,32.5,12.1,10.5,12.8,17.5,13.8,21.9,8.0,10.1,7.0,9.9 
18,7.5,22.8,15.7,13.0,10.6,16.1,10.1,21.6,9.8,8.5,6.9,8.8 
19,10.0,21.7,16.5,16.6,8.6,15.9,8.3,21.9,12.4,7.4,6.7,11.8 
20,20.3,31.4,21.5,16.7,9.3,17.5,7.9,23.1,10.6,7.8,5.9,11.0 
21,7.9,20.1,23.1,13.6,9.6,16.1,6.0,23.7,15.7,6.8,7.5,6.9 
22,4.5,10.1,15.2,11.8,7.6,17.5,8.4,24.4,17.3,10.0,5.8,6.3 
23,3.5,6.4,7.5,11.0,8.9,17.9,8.3,18.8,17.1,12.8,7.9,10.8 
24,2.4,6.1,6.1,11.8,11.4,16.8,10.5,17.4,14.7,8.9,12.1,11.0 
25,3.3,7.4,5.6,9.7,13.6,17.0,11.7,22.0,15.6,9.7,10.3,5.6 
26,4.7,11.8,7.7,14.9,14.1,13.6,9.6,22.6,15.1,8.7,9.5,17.5 
27,7.1,11.4,8.0,10.0,14.3,10.9,12.1,18.6,13.7,11.5,8.7,10.8 
28,4.0,5.9,11.7,11.2,12.8,11.1,16.5,14.5,13.6,11.5,9.7,6.5 
29,4.5,,13.4,16.3,15.7,11.1,14.9,11.6,11.0,7.7,10.3,10.0 
30,6.8,,13.8,18.7,16.7,13.2,15.3,10.9,11.4,7.0,9.0,12.1 
31,11.5,,16.2,,19.3,,18.6,14.5,,9.0,,11.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 02:02:57
  
