dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,18.1,11.3,8.2,7.3,9.1,8.5,10.0,18.5,19.0,7.4,11.9,4.0 
2,17.4,15.9,3.8,7.7,12.5,8.3,13.5,19.8,16.5,5.7,14.2,6.4 
3,27.8,13.8,4.6,6.4,10.0,8.5,17.6,25.6,19.7,4.1,4.0,5.7 
4,29.6,24.5,5.5,8.5,8.3,7.5,17.1,30.0,17.4,3.7,9.2,11.8 
5,19.3,13.8,6.2,5.8,7.5,9.4,12.5,13.7,14.2,5.0,4.4,7.7 
6,2.5,3.0,6.3,5.5,6.1,9.4,8.9,33.8,7.2,3.7,4.7,5.7 
7,5.0,12.1,8.6,8.0,6.8,9.0,7.2,16.1,7.0,4.4,8.7,10.8 
8,4.5,16.5,6.3,6.6,7.8,9.4,7.4,29.6,4.0,5.2,19.5,15.3 
9,,12.3,9.9,7.9,5.0,3.3,7.2,33.8,4.0,7.2,15.2,22.6 
10,7.2,8.6,9.5,8.7,8.2,3.1,5.7,20.2,7.8,6.0,95.0,15.3 
11,15.3,4.3,8.2,7.4,9.9,5.6,9.6,7.3,13.6,10.5,37.6,10.1 
12,11.5,3.5,13.3,8.8,6.7,7.7,6.0,14.2,8.5,4.0,89.6,16.0 
13,16.0,3.7,6.8,6.8,9.2,14.0,6.3,22.3,6.1,5.8,79.9,22.8 
14,19.4,8.5,6.3,10.0,5.0,11.8,6.2,11.1,5.5,5.0,65.1,17.0 
15,15.4,4.6,10.3,10.1,5.2,13.7,7.1,14.8,3.9,2.9,227.5,9.4 
16,17.7,9.3,9.0,6.0,5.1,11.3,8.0,19.3,3.6,10.2,165.4,21.3 
17,12.8,12.0,8.3,9.3,5.8,10.6,7.3,14.0,5.5,13.6,110.0,3.5 
18,25.4,5.1,10.0,8.0,6.7,9.0,9.2,17.5,6.4,14.7,104.7,5.3 
19,7.3,3.8,10.5,6.5,8.7,9.6,8.8,18.8,10.0,16.5,67.3,4.9 
20,6.3,2.5,13.3,9.3,8.2,6.1,10.3,29.0,10.3,15.5,45.6,13.1 
21,11.0,5.5,16.6,13.2,9.1,7.3,7.8,17.6,11.1,12.7,53.4,9.1 
22,14.8,4.2,4.2,14.3,9.8,9.2,10.0,19.2,9.8,10.8,5.7,5.3 
23,6.4,4.4,3.8,13.9,4.9,5.7,8.3,25.4,7.4,8.5,4.8,7.4 
24,14.0,6.1,1.9,17.4,4.3,6.7,9.5,24.0,8.3,9.7,4.6,10.1 
25,5.8,6.4,1.7,13.0,3.9,7.6,12.9,24.2,9.7,11.0,7.8,2.8 
26,10.0,5.3,0.3,13.0,3.9,10.9,12.9,15.8,11.8,8.5,10.5,4.0 
27,11.8,2.0,2.3,11.5,6.4,12.6,14.0,15.7,11.3,8.7,17.0,4.2 
28,10.1,9.9,3.7,11.8,6.3,14.0,16.5,10.5,8.0,2.3,14.1,2.5 
29,16.2,,4.3,7.2,11.0,6.8,14.7,11.3,5.9,4.7,3.4,10.9 
30,12.1,,,10.7,13.0,5.9,16.8,19.3,4.4,3.5,5.0,23.8 
31,11.9,,9.2,,8.4,,19.9,8.5,,3.6,,4.8
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 02:04:57
  
