COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
California,2015.00,Total population,All ages,All ages,191904.00,50.40,
Alameda,2015.00,Total population,All ages,All ages,9939.00,64.30,
Alpine,2015.00,Total population,All ages,All ages,0.00,0.00,
Amador,2015.00,Total population,All ages,All ages,196.00,58.40,
Butte,2015.00,Total population,All ages,All ages,1044.00,50.20,
Calaveras,2015.00,Total population,All ages,All ages,185.00,48.00,
Colusa,2015.00,Total population,All ages,All ages,97.00,41.40,
Contra Costa,2015.00,Total population,All ages,All ages,6858.00,65.20,
Del Norte,2015.00,Total population,All ages,All ages,140.00,53.00,
El Dorado,2015.00,Total population,All ages,All ages,592.00,36.40,
Fresno,2015.00,Total population,All ages,All ages,7936.00,77.00,
Glenn,2015.00,Total population,All ages,All ages,122.00,42.60,
Humboldt,2015.00,Total population,All ages,All ages,835.00,63.40,
Imperial,2015.00,Total population,All ages,All ages,1388.00,71.20,
Inyo,2015.00,Total population,All ages,All ages,88.00,53.50,
Kern,2015.00,Total population,All ages,All ages,5859.00,62.30,
Kings,2015.00,Total population,All ages,All ages,1250.00,78.60,
Lake,2015.00,Total population,All ages,All ages,478.00,80.40,
Lassen,2015.00,Total population,All ages,All ages,148.00,45.30,
Los Angeles,2015.00,Total population,All ages,All ages,52227.00,53.10,
Madera,2015.00,Total population,All ages,All ages,1031.00,62.30,
Marin,2015.00,Total population,All ages,All ages,541.00,22.20,
Mariposa,2015.00,Total population,All ages,All ages,79.00,47.40,
Mendocino,2015.00,Total population,All ages,All ages,479.00,57.40,
Merced,2015.00,Total population,All ages,All ages,2425.00,87.40,
Modoc,2015.00,Total population,All ages,All ages,53.00,67.90,
Mono,2015.00,Total population,All ages,All ages,43.00,32.00,
Monterey,2015.00,Total population,All ages,All ages,2194.00,50.20,
Napa,2015.00,Total population,All ages,All ages,572.00,41.90,
Nevada,2015.00,Total population,All ages,All ages,351.00,42.80,
Orange,2015.00,Total population,All ages,All ages,10275.00,33.90,
Placer,2015.00,Total population,All ages,All ages,1125.00,31.40,
Plumas,2015.00,Total population,All ages,All ages,99.00,56.30,
Riverside,2015.00,Total population,All ages,All ages,10111.00,43.20,
Sacramento,2015.00,Total population,All ages,All ages,10109.00,69.20,
San Benito,2015.00,Total population,All ages,All ages,285.00,50.10,
San Bernardino,2015.00,Total population,All ages,All ages,12761.00,59.30,
San Diego,2015.00,Total population,All ages,All ages,11646.00,37.00,
San Francisco,2015.00,Total population,All ages,All ages,3141.00,41.30,
San Joaquin,2015.00,Total population,All ages,All ages,4802.00,66.20,
San Luis Obispo,2015.00,Total population,All ages,All ages,950.00,40.10,
San Mateo,2015.00,Total population,All ages,All ages,2695.00,36.40,
Santa Barbara,2015.00,Total population,All ages,All ages,1734.00,40.70,
Santa Clara,2015.00,Total population,All ages,All ages,6521.00,35.10,
Santa Cruz,2015.00,Total population,All ages,All ages,910.00,36.50,
Shasta,2015.00,Total population,All ages,All ages,1015.00,60.50,
Sierra,2015.00,Total population,All ages,All ages,9.00,,Rate not available due to statistical instability
Siskiyou,2015.00,Total population,All ages,All ages,176.00,47.00,
Solano,2015.00,Total population,All ages,All ages,3415.00,83.20,
Sonoma,2015.00,Total population,All ages,All ages,1936.00,40.20,
Stanislaus,2015.00,Total population,All ages,All ages,3281.00,60.70,
Sutter,2015.00,Total population,All ages,All ages,337.00,34.10,
Tehama,2015.00,Total population,All ages,All ages,323.00,52.70,
Trinity,2015.00,Total population,All ages,All ages,67.00,60.50,
Tulare,2015.00,Total population,All ages,All ages,2542.00,51.30,
Tuolumne,2015.00,Total population,All ages,All ages,257.00,53.10,
Ventura,2015.00,Total population,All ages,All ages,2933.00,35.30,
Yolo,2015.00,Total population,All ages,All ages,852.00,44.10,
Yuba,2015.00,Total population,All ages,All ages,346.00,45.40,
California,2015.00,Child vs. adult,0–17 years,0–17 years,74050.00,80.60,
Alameda,2015.00,Child vs. adult,0–17 years,0–17 years,3426.00,96.70,
Alpine,2015.00,Child vs. adult,0–17 years,0–17 years,0.00,0.00,
Amador,2015.00,Child vs. adult,0–17 years,0–17 years,45.00,85.10,
Butte,2015.00,Child vs. adult,0–17 years,0–17 years,308.00,68.70,
Calaveras,2015.00,Child vs. adult,0–17 years,0–17 years,46.00,63.00,
Colusa,2015.00,Child vs. adult,0–17 years,0–17 years,48.00,77.00,
Contra Costa,2015.00,Child vs. adult,0–17 years,0–17 years,2330.00,95.20,
Del Norte,2015.00,Child vs. adult,0–17 years,0–17 years,49.00,85.20,
El Dorado,2015.00,Child vs. adult,0–17 years,0–17 years,170.00,46.80,
Fresno,2015.00,Child vs. adult,0–17 years,0–17 years,4482.00,156.00,
